"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","2,545.00","2,604.10","2,524.50","2,534.20","2,582.00","2,582.10","2,568.33","3,345.00","2,025.00","17,11,167","4,39,48,37,920.10","56,427"
"06-Jun-2025","EQ","2,514.90","2,553.30","2,504.00","2,504.40","2,535.00","2,534.20","2,534.95","3,743.90","2,025.00","6,40,680","1,62,40,90,172.10","53,932"
"05-Jun-2025","EQ","2,495.00","2,530.10","2,487.50","2,489.40","2,510.00","2,504.40","2,510.52","3,743.90","2,025.00","6,73,209","1,69,01,06,619.00","38,579"
"04-Jun-2025","EQ","2,480.00","2,503.00","2,441.10","2,470.90","2,487.00","2,489.40","2,475.85","3,743.90","2,025.00","5,52,667","1,36,83,23,179.00","34,151"
"03-Jun-2025","EQ","2,511.00","2,512.50","2,452.00","2,518.80","2,471.10","2,470.90","2,480.64","3,743.90","2,025.00","9,62,708","2,38,81,30,046.80","48,961"
"02-Jun-2025","EQ","2,527.00","2,564.00","2,514.90","2,519.90","2,524.70","2,518.80","2,534.89","3,743.90","2,025.00","10,08,716","2,55,69,83,906.10","49,113"
"30-May-2025","EQ","2,550.00","2,564.00","2,513.80","2,540.80","2,518.00","2,519.90","2,530.54","3,743.90","2,025.00","6,84,592","1,73,23,90,518.50","37,146"
"29-May-2025","EQ","2,536.70","2,559.00","2,511.00","2,515.00","2,543.00","2,540.80","2,535.48","3,743.90","2,025.00","8,02,317","2,03,42,55,480.20","41,626"
"28-May-2025","EQ","2,559.00","2,559.00","2,510.00","2,540.30","2,517.50","2,515.00","2,529.94","3,743.90","2,025.00","5,75,989","1,45,72,16,561.00","26,261"
"27-May-2025","EQ","2,545.90","2,569.10","2,526.10","2,547.70","2,536.00","2,540.30","2,547.98","3,743.90","2,025.00","5,14,936","1,31,20,47,698.40","37,644"
"26-May-2025","EQ","2,549.10","2,568.90","2,541.30","2,540.00","2,543.60","2,547.70","2,554.17","3,743.90","2,025.00","5,52,912","1,41,22,34,006.30","31,870"
"23-May-2025","EQ","2,499.00","2,548.10","2,490.50","2,487.60","2,537.00","2,540.00","2,530.50","3,743.90","2,025.00","9,68,415","2,45,05,71,901.80","37,154"
"22-May-2025","EQ","2,500.40","2,521.90","2,465.30","2,500.40","2,496.60","2,487.60","2,492.02","3,743.90","2,025.00","9,06,909","2,26,00,32,832.60","50,284"
"21-May-2025","EQ","2,509.70","2,524.50","2,483.70","2,501.60","2,503.00","2,500.40","2,503.22","3,743.90","2,025.00","5,29,234","1,32,47,89,276.20","34,568"
