"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,482.00","1,484.00","1,463.10","1,471.70","1,467.00","1,467.10","1,471.02","1,604.95","995.65","14,93,331","2,19,67,18,131.70","62,088"
"06-Jun-2025","EQ","1,456.70","1,478.90","1,453.70","1,456.70","1,469.00","1,471.70","1,469.57","1,621.40","995.65","12,69,864","1,86,61,47,918.50","56,930"
"05-Jun-2025","EQ","1,443.80","1,467.70","1,438.00","1,436.20","1,453.00","1,456.70","1,456.37","1,621.40","995.65","20,19,939","2,94,17,85,278.20","67,402"
"04-Jun-2025","EQ","1,432.30","1,441.10","1,423.10","1,432.30","1,434.30","1,436.20","1,434.00","1,621.40","995.65","14,46,972","2,07,49,60,694.60","50,641"
"03-Jun-2025","EQ","1,470.00","1,472.00","1,426.70","1,468.00","1,434.00","1,432.30","1,441.63","1,621.40","995.65","36,77,200","5,30,11,71,762.50","1,23,296"
"02-Jun-2025","EQ","1,432.80","1,482.00","1,425.30","1,432.80","1,464.30","1,468.00","1,464.77","1,621.40","995.65","31,64,701","4,63,55,70,158.80","1,00,382"
"30-May-2025","EQ","1,442.00","1,457.50","1,428.80","1,438.60","1,432.30","1,432.80","1,437.61","1,621.40","995.65","25,75,127","3,70,20,28,910.10","55,013"
"29-May-2025","EQ","1,421.00","1,441.00","1,410.50","1,411.00","1,435.50","1,438.60","1,428.03","1,621.40","995.65","16,62,886","2,37,46,54,805.80","64,630"
"28-May-2025","EQ","1,405.00","1,427.80","1,403.00","1,404.20","1,411.20","1,411.00","1,414.25","1,621.40","995.65","20,35,398","2,87,85,66,125.70","69,509"
"27-May-2025","EQ","1,397.00","1,419.00","1,385.40","1,400.20","1,404.80","1,404.20","1,402.58","1,621.40","995.65","25,71,237","3,60,63,71,934.30","86,667"
"26-May-2025","EQ","1,395.80","1,410.60","1,394.80","1,395.40","1,396.70","1,400.20","1,403.34","1,621.40","995.65","10,24,835","1,43,81,96,306.10","52,604"
"23-May-2025","EQ","1,383.10","1,398.50","1,375.00","1,371.40","1,394.00","1,395.40","1,391.36","1,621.40","995.65","17,15,309","2,38,66,04,691.50","65,730"
"22-May-2025","EQ","1,380.10","1,408.00","1,358.60","1,384.60","1,376.10","1,371.40","1,380.15","1,621.40","995.65","31,86,493","4,39,78,40,306.30","1,15,514"
"21-May-2025","EQ","1,380.00","1,391.00","1,370.20","1,384.60","1,387.60","1,384.60","1,381.32","1,621.40","995.65","19,93,690","2,75,39,20,339.10","45,637"
"20-May-2025","EQ","1,399.00","1,407.30","1,381.40","1,398.30","1,386.80","1,384.60","1,391.84","1,621.40","995.65","29,70,441","4,13,43,67,211.70","89,770"
"19-May-2025","EQ","1,407.50","1,410.60","1,392.00","1,407.40","1,396.70","1,398.30","1,399.60","1,621.40","995.65","13,17,210","1,84,35,72,769.80","59,206"
"16-May-2025","EQ","1,410.90","1,424.90","1,401.00","1,406.20","1,404.10","1,407.40","1,411.83","1,621.40","995.65","27,77,119","3,92,08,14,646.50","76,581"
"15-May-2025","EQ","1,375.60","1,409.90","1,371.90","1,371.80","1,401.50","1,406.20","1,395.34","1,621.40","995.65","37,06,424","5,17,17,37,002.00","1,28,942"
"14-May-2025","EQ","1,380.00","1,381.90","1,362.00","1,369.20","1,377.00","1,371.80","1,373.76","1,621.40","995.65","15,57,379","2,13,94,62,540.30","68,596"
"13-May-2025","EQ","1,360.60","1,391.90","1,347.10","1,362.10","1,370.00","1,369.20","1,371.81","1,621.40","995.65","33,56,599","4,60,46,12,631.50","1,13,339"
"12-May-2025","EQ","1,360.00","1,375.00","1,345.50","1,306.30","1,361.50","1,362.10","1,362.35","1,621.40","995.65","36,62,785","4,98,99,80,394.10","1,08,208"
"09-May-2025","EQ","1,300.00","1,324.90","1,292.60","1,333.10","1,313.00","1,306.30","1,308.75","1,621.40","995.65","29,79,366","3,89,92,43,341.50","1,17,720"
"08-May-2025","EQ","1,340.00","1,366.90","1,316.40","1,338.20","1,320.00","1,333.10","1,347.70","1,621.40","995.65","50,77,662","6,84,31,42,148.60","1,81,619"
"07-May-2025","EQ","1,298.80","1,341.30","1,298.70","1,320.80","1,337.50","1,338.20","1,328.96","1,621.40","995.65","32,69,847","4,34,55,09,640.10","1,11,178"
"06-May-2025","EQ","1,350.00","1,356.30","1,315.00","1,347.10","1,316.40","1,320.80","1,327.58","1,621.40","995.65","36,04,276","4,78,49,60,529.70","1,06,576"
"05-May-2025","EQ","1,290.00","1,377.00","1,285.70","1,267.10","1,346.50","1,347.10","1,340.74","1,621.40","995.65","1,41,91,797","19,02,75,20,645.20","3,06,181"
"02-May-2025","EQ","1,255.00","1,295.00","1,242.70","1,216.50","1,269.70","1,267.10","1,273.43","1,621.40","995.65","1,20,24,229","15,31,20,12,660.60","3,19,276"
"30-Apr-2025","EQ","1,215.10","1,226.50","1,203.90","1,216.40","1,215.80","1,216.50","1,218.89","1,621.40","995.65","18,24,334","2,22,36,57,524.70","69,871"
"29-Apr-2025","EQ","1,212.00","1,223.90","1,202.50","1,209.90","1,216.70","1,216.40","1,216.50","1,621.40","995.65","23,81,980","2,89,76,67,983.20","69,608"
"28-Apr-2025","EQ","1,188.10","1,214.70","1,184.10","1,193.00","1,207.00","1,209.90","1,204.43","1,621.40","995.65","26,46,406","3,18,74,01,335.70","1,02,513"
"25-Apr-2025","EQ","1,236.30","1,243.40","1,181.20","1,236.40","1,189.50","1,193.00","1,198.87","1,621.40","995.65","36,28,854","4,35,05,35,463.20","1,29,403"
"24-Apr-2025","EQ","1,238.00","1,248.00","1,231.60","1,239.10","1,236.00","1,236.40","1,238.81","1,621.40","995.65","21,33,285","2,64,27,27,020.50","69,539"
"23-Apr-2025","EQ","1,240.10","1,242.80","1,216.80","1,233.20","1,237.00","1,239.10","1,232.79","1,621.40","995.65","25,80,999","3,18,18,38,657.80","72,145"
"22-Apr-2025","EQ","1,249.60","1,255.60","1,227.00","1,243.10","1,228.20","1,233.20","1,245.23","1,621.40","995.65","29,32,537","3,65,16,79,927.70","95,418"
"21-Apr-2025","EQ","1,259.40","1,260.00","1,209.40","1,259.40","1,243.40","1,243.10","1,231.63","1,621.40","995.65","60,49,182","7,45,03,39,084.70","1,48,403"
"17-Apr-2025","EQ","1,232.90","1,282.50","1,218.60","1,232.90","1,261.00","1,259.40","1,253.24","1,621.40","995.65","42,80,765","5,36,48,11,285.10","1,38,507"
"16-Apr-2025","EQ","1,210.00","1,235.50","1,201.60","1,210.80","1,235.50","1,232.90","1,217.92","1,621.40","995.65","19,09,731","2,32,58,94,724.50","74,756"
"15-Apr-2025","EQ","1,200.00","1,225.90","1,179.00","1,164.55","1,212.80","1,210.80","1,209.91","1,621.40","995.65","31,76,522","3,84,33,07,368.70","1,08,943"
"11-Apr-2025","EQ","1,163.00","1,170.30","1,148.00","1,131.80","1,162.00","1,164.55","1,161.80","1,621.40","995.65","35,36,245","4,10,84,01,026.40","1,06,358"
"09-Apr-2025","EQ","1,133.85","1,135.60","1,112.00","1,131.35","1,135.00","1,131.80","1,123.75","1,621.40","995.65","15,37,177","1,72,73,99,262.05","86,698"
"08-Apr-2025","EQ","1,135.00","1,155.65","1,111.05","1,110.65","1,133.15","1,131.35","1,130.81","1,621.40","995.65","24,23,486","2,74,04,95,974.50","91,657"
"07-Apr-2025","EQ","1,049.95","1,119.00","1,041.50","1,148.35","1,119.00","1,110.65","1,094.18","1,621.40","995.65","21,92,949","2,39,94,81,625.70","1,17,039"
"04-Apr-2025","EQ","1,196.00","1,200.10","1,143.00","1,199.90","1,152.00","1,148.35","1,162.37","1,621.40","995.65","17,85,093","2,07,49,31,546.60","80,561"
"03-Apr-2025","EQ","1,170.25","1,205.80","1,170.25","1,195.45","1,201.30","1,199.90","1,195.41","1,621.40","995.65","13,00,511","1,55,46,45,099.20","56,947"
"02-Apr-2025","EQ","1,182.40","1,198.95","1,167.35","1,174.75","1,193.50","1,195.45","1,187.75","1,621.40","995.65","12,32,853","1,46,43,17,480.40","50,998"
"01-Apr-2025","EQ","1,179.00","1,202.00","1,168.05","1,182.95","1,176.50","1,174.75","1,183.25","1,621.40","995.65","15,84,541","1,87,49,03,889.05","72,638"
"28-Mar-2025","EQ","1,197.70","1,205.00","1,175.20","1,196.75","1,180.50","1,182.95","1,190.15","1,621.40","995.65","16,70,913","1,98,86,42,935.30","83,630"
"27-Mar-2025","EQ","1,182.00","1,212.00","1,175.00","1,181.60","1,201.00","1,196.75","1,189.12","1,621.40","995.65","20,04,036","2,38,30,32,582.60","80,456"
"26-Mar-2025","EQ","1,183.00","1,202.20","1,173.05","1,182.45","1,181.00","1,181.60","1,188.53","1,621.40","995.65","16,76,081","1,99,20,77,775.15","75,984"
"25-Mar-2025","EQ","1,205.00","1,209.10","1,174.55","1,200.80","1,179.70","1,182.45","1,187.91","1,621.40","995.65","20,90,037","2,48,27,76,267.80","88,959"
"24-Mar-2025","EQ","1,196.00","1,210.85","1,186.05","1,188.80","1,200.50","1,200.80","1,202.50","1,621.40","995.65","21,35,192","2,56,75,73,242.85","65,546"
"21-Mar-2025","EQ","1,182.00","1,202.55","1,172.05","1,177.45","1,189.00","1,188.80","1,189.51","1,621.40","995.65","31,27,446","3,72,01,29,318.90","74,993"
"20-Mar-2025","EQ","1,185.00","1,186.95","1,161.20","1,173.50","1,175.00","1,177.45","1,173.77","1,621.40","995.65","19,19,013","2,25,24,70,953.00","62,423"
"19-Mar-2025","EQ","1,160.00","1,184.50","1,158.80","1,158.80","1,171.70","1,173.50","1,174.86","1,621.40","995.65","24,16,781","2,83,93,83,400.10","70,214"
"18-Mar-2025","EQ","1,149.90","1,161.00","1,137.95","1,137.15","1,158.00","1,158.80","1,151.73","1,621.40","995.65","18,65,040","2,14,80,20,706.65","59,885"
"17-Mar-2025","EQ","1,114.80","1,148.55","1,111.20","1,119.20","1,137.80","1,137.15","1,135.18","1,621.40","995.65","14,89,541","1,69,09,03,644.85","64,471"
"13-Mar-2025","EQ","1,135.00","1,139.45","1,115.05","1,128.30","1,118.20","1,119.20","1,125.60","1,621.40","995.65","13,58,839","1,52,95,11,670.75","66,258"
"12-Mar-2025","EQ","1,139.00","1,155.15","1,105.00","1,135.00","1,123.65","1,128.30","1,131.76","1,621.40","995.65","28,42,848","3,21,74,31,486.95","74,501"
"11-Mar-2025","EQ","1,137.30","1,145.90","1,124.40","1,142.90","1,133.90","1,135.00","1,138.35","1,621.40","995.65","23,99,428","2,73,13,97,055.55","69,467"
"10-Mar-2025","EQ","1,146.00","1,168.65","1,136.95","1,144.50","1,137.50","1,142.90","1,155.15","1,621.40","995.65","24,30,740","2,80,78,59,475.20","85,763"
"07-Mar-2025","EQ","1,136.20","1,156.95","1,134.10","1,136.20","1,143.55","1,144.50","1,148.02","1,621.40","995.65","22,11,623","2,53,89,82,403.05","81,854"
"06-Mar-2025","EQ","1,118.20","1,148.75","1,101.85","1,112.70","1,130.80","1,136.20","1,129.24","1,621.40","995.65","40,20,627","4,54,02,71,872.65","1,37,299"
"05-Mar-2025","EQ","1,056.80","1,118.65","1,055.00","1,057.95","1,112.45","1,112.70","1,103.00","1,621.40","995.65","37,85,743","4,17,56,71,834.00","1,84,169"
"04-Mar-2025","EQ","1,047.95","1,063.00","1,036.50","1,053.05","1,056.80","1,057.95","1,052.28","1,621.40","995.65","17,88,886","1,88,24,09,434.45","1,10,647"
"03-Mar-2025","EQ","1,074.95","1,081.00","1,040.60","1,069.40","1,053.05","1,053.05","1,053.27","1,621.40","995.65","22,74,285","2,39,54,46,236.30","92,207"
"28-Feb-2025","EQ","1,074.00","1,082.90","1,059.20","1,078.95","1,072.00","1,069.40","1,070.14","1,621.40","995.65","28,49,138","3,04,89,73,097.15","1,10,052"
"27-Feb-2025","EQ","1,083.00","1,087.95","1,069.10","1,080.35","1,075.55","1,078.95","1,077.85","1,621.40","995.65","18,19,078","1,96,07,00,375.65","74,533"
"25-Feb-2025","EQ","1,074.60","1,091.40","1,067.75","1,070.40","1,078.70","1,080.35","1,081.53","1,621.40","995.65","16,65,355","1,80,11,29,961.35","75,946"
"24-Feb-2025","EQ","1,083.25","1,083.25","1,065.70","1,083.25","1,068.50","1,070.40","1,073.45","1,621.40","995.65","16,69,749","1,79,23,94,467.60","89,560"
"21-Feb-2025","EQ","1,111.70","1,119.10","1,080.00","1,111.70","1,082.00","1,083.25","1,092.11","1,621.40","995.65","23,60,177","2,57,75,61,844.10","93,197"
"20-Feb-2025","EQ","1,074.20","1,126.00","1,074.00","1,082.85","1,110.00","1,111.70","1,110.92","1,621.40","995.65","37,14,173","4,12,61,52,973.55","1,03,951"
"19-Feb-2025","EQ","1,061.60","1,091.70","1,054.55","1,085.15","1,082.05","1,082.85","1,081.58","1,621.40","995.65","17,92,268","1,93,84,83,969.90","74,903"
"18-Feb-2025","EQ","1,082.90","1,087.90","1,061.95","1,082.90","1,083.50","1,085.15","1,075.71","1,621.40","995.65","17,15,308","1,84,51,66,652.35","67,297"
"17-Feb-2025","EQ","1,058.95","1,089.30","1,040.00","1,062.70","1,085.10","1,082.90","1,069.96","1,621.40","995.65","25,18,527","2,69,47,33,251.00","90,456"
"14-Feb-2025","EQ","1,120.00","1,120.00","1,042.15","1,111.55","1,060.05","1,062.70","1,071.98","1,621.40","995.65","45,65,339","4,89,39,38,500.25","1,50,700"
"13-Feb-2025","EQ","1,133.80","1,151.65","1,106.05","1,128.95","1,107.90","1,111.55","1,133.93","1,621.40","995.65","37,63,868","4,26,79,76,460.90","1,19,342"
"12-Feb-2025","EQ","1,140.00","1,144.20","1,098.95","1,140.10","1,128.60","1,128.95","1,126.88","1,621.40","995.65","28,62,155","3,22,52,94,235.20","1,18,065"
"11-Feb-2025","EQ","1,144.20","1,160.00","1,114.05","1,144.20","1,138.00","1,140.10","1,136.87","1,621.40","995.65","49,01,591","5,57,24,75,062.55","1,26,403"
"10-Feb-2025","EQ","1,150.00","1,158.85","1,127.25","1,146.10","1,143.00","1,144.20","1,140.93","1,621.40","995.65","24,15,627","2,75,60,69,417.80","1,05,605"
"07-Feb-2025","EQ","1,160.00","1,175.65","1,132.80","1,164.05","1,145.55","1,146.10","1,155.17","1,621.40","995.65","40,79,540","4,71,25,56,722.15","1,15,028"
"06-Feb-2025","EQ","1,155.60","1,169.40","1,140.10","1,144.35","1,166.10","1,164.05","1,159.22","1,621.40","995.65","62,63,278","7,26,05,32,783.85","1,26,748"
"05-Feb-2025","EQ","1,126.00","1,154.90","1,123.55","1,125.10","1,147.50","1,144.35","1,138.11","1,621.40","995.65","29,79,646","3,39,11,78,636.45","1,10,274"
"04-Feb-2025","EQ","1,100.00","1,127.90","1,091.75","1,084.85","1,123.20","1,125.10","1,113.86","1,621.40","995.65","40,71,098","4,53,46,38,674.40","1,64,944"
"03-Feb-2025","EQ","1,084.00","1,094.00","1,055.00","1,084.10","1,086.90","1,084.85","1,081.56","1,621.40","995.65","39,61,203","4,28,42,88,102.15","1,39,581"
"01-Feb-2025","EQ","1,105.90","1,117.50","1,063.00","1,099.35","1,082.00","1,084.10","1,096.19","1,621.40","995.65","49,19,797","5,39,30,19,692.85","1,28,939"
"31-Jan-2025","EQ","1,085.00","1,109.25","1,074.00","1,077.05","1,099.00","1,099.35","1,096.78","1,621.40","995.65","46,59,891","5,11,08,86,795.45","1,54,887"
"30-Jan-2025","EQ","1,103.90","1,118.50","1,010.75","1,096.95","1,074.00","1,077.05","1,073.62","1,621.40","995.65","1,40,97,862","15,13,57,06,623.10","3,59,463"
"29-Jan-2025","EQ","1,085.00","1,102.85","1,074.50","1,080.70","1,098.00","1,096.95","1,092.05","1,621.40","995.65","46,03,700","5,02,74,69,077.10","96,058"
"28-Jan-2025","EQ","1,087.00","1,096.65","1,061.25","1,082.00","1,085.00","1,080.70","1,080.90","1,621.40","995.65","24,04,643","2,59,91,83,439.60","1,33,063"
"27-Jan-2025","EQ","1,085.10","1,093.60","1,067.55","1,094.15","1,081.15","1,082.00","1,082.26","1,621.40","995.65","23,71,555","2,56,66,33,041.30","1,17,596"
"24-Jan-2025","EQ","1,104.15","1,115.00","1,088.25","1,104.00","1,093.50","1,094.15","1,100.77","1,621.40","995.65","24,00,140","2,64,20,13,311.40","87,932"
"23-Jan-2025","EQ","1,102.25","1,114.25","1,089.65","1,102.25","1,106.85","1,104.00","1,104.08","1,621.40","995.65","19,68,815","2,17,37,32,820.25","92,800"
"22-Jan-2025","EQ","1,115.50","1,118.05","1,080.45","1,106.20","1,101.90","1,102.25","1,094.80","1,621.40","995.65","19,06,032","2,08,67,27,398.85","89,487"
"21-Jan-2025","EQ","1,150.00","1,154.25","1,104.00","1,148.70","1,110.90","1,106.20","1,120.27","1,621.40","995.65","31,34,022","3,51,09,61,158.00","1,24,723"
"20-Jan-2025","EQ","1,172.00","1,172.00","1,146.50","1,163.50","1,148.45","1,148.70","1,154.70","1,621.40","995.65","13,12,101","1,51,50,88,184.55","59,777"
"17-Jan-2025","EQ","1,163.00","1,173.65","1,145.50","1,150.75","1,163.00","1,163.50","1,161.24","1,621.40","995.65","24,64,355","2,86,17,17,421.60","86,450"
"16-Jan-2025","EQ","1,179.95","1,190.00","1,145.40","1,128.90","1,154.05","1,150.75","1,160.96","1,621.40","995.65","39,97,547","4,64,10,03,644.25","1,56,319"
"15-Jan-2025","EQ","1,125.00","1,141.95","1,118.50","1,117.10","1,128.30","1,128.90","1,128.05","1,621.40","995.65","31,35,942","3,53,75,03,297.85","1,14,597"
"14-Jan-2025","EQ","1,078.85","1,131.40","1,075.05","1,066.65","1,122.65","1,117.10","1,114.20","1,621.40","995.65","62,77,854","6,99,47,54,318.65","2,21,123"
"13-Jan-2025","EQ","1,100.90","1,106.45","1,058.95","1,112.20","1,069.40","1,066.65","1,081.84","1,621.40","995.65","22,73,302","2,45,93,55,472.30","1,11,848"
"10-Jan-2025","EQ","1,134.90","1,137.40","1,106.30","1,132.35","1,113.45","1,112.20","1,120.34","1,621.40","995.65","19,02,237","2,13,11,53,404.20","95,968"
"09-Jan-2025","EQ","1,156.70","1,156.70","1,129.95","1,152.30","1,135.90","1,132.35","1,137.76","1,621.40","995.65","18,84,725","2,14,43,58,746.10","91,973"
"08-Jan-2025","EQ","1,183.55","1,183.55","1,141.10","1,174.00","1,152.00","1,152.30","1,153.17","1,621.40","995.65","29,00,996","3,34,53,35,233.65","1,12,291"
"07-Jan-2025","EQ","1,163.05","1,182.15","1,162.05","1,163.05","1,172.40","1,174.00","1,175.91","1,621.40","995.65","20,10,913","2,36,46,52,541.00","68,259"
"06-Jan-2025","EQ","1,199.55","1,200.90","1,158.05","1,199.55","1,162.95","1,163.05","1,174.92","1,621.40","995.65","22,98,522","2,70,05,85,418.35","1,08,068"
"03-Jan-2025","EQ","1,234.50","1,237.60","1,197.00","1,226.00","1,197.80","1,199.55","1,213.11","1,621.40","995.65","30,40,564","3,68,85,31,504.40","99,733"
"02-Jan-2025","EQ","1,223.80","1,228.40","1,208.10","1,218.70","1,225.00","1,226.00","1,219.38","1,621.40","995.65","37,72,207","4,59,97,43,559.55","96,732"
"01-Jan-2025","EQ","1,223.00","1,231.80","1,206.35","1,231.10","1,218.30","1,218.70","1,219.35","1,621.40","995.65","19,37,930","2,36,30,13,537.75","68,696"
"31-Dec-2024","EQ","1,222.00","1,236.80","1,208.15","1,218.50","1,225.00","1,231.10","1,224.39","1,621.40","995.65","17,17,204","2,10,25,35,524.55","64,030"
"30-Dec-2024","EQ","1,233.75","1,258.80","1,212.00","1,230.70","1,226.90","1,218.50","1,227.73","1,621.40","995.65","83,12,636","10,20,56,74,952.30","1,35,478"
"27-Dec-2024","EQ","1,248.45","1,250.95","1,225.75","1,243.95","1,232.55","1,230.70","1,238.76","1,621.40","995.65","25,95,142","3,21,47,69,129.40","82,963"
"26-Dec-2024","EQ","1,187.00","1,249.00","1,182.55","1,182.20","1,243.95","1,243.95","1,224.24","1,621.40","995.65","38,27,047","4,68,52,36,771.35","1,32,311"
"24-Dec-2024","EQ","1,198.00","1,203.10","1,180.00","1,191.80","1,182.00","1,182.20","1,188.44","1,621.40","995.65","13,80,778","1,64,09,69,410.40","60,997"
"23-Dec-2024","EQ","1,189.95","1,199.00","1,174.25","1,182.45","1,191.50","1,191.80","1,188.66","1,621.40","995.65","15,40,796","1,83,14,79,496.05","67,782"
"20-Dec-2024","EQ","1,205.00","1,215.90","1,176.20","1,205.00","1,181.30","1,182.45","1,193.70","1,621.40","989.25","30,45,185","3,63,50,49,688.20","98,212"
"19-Dec-2024","EQ","1,187.50","1,209.00","1,185.00","1,210.05","1,204.00","1,205.00","1,201.74","1,621.40","989.25","15,41,271","1,85,22,14,173.85","65,159"
"18-Dec-2024","EQ","1,236.00","1,238.90","1,207.25","1,231.90","1,210.90","1,210.05","1,216.75","1,621.40","989.25","19,31,870","2,35,06,08,193.15","73,020"
"17-Dec-2024","EQ","1,235.10","1,259.50","1,229.05","1,243.15","1,232.40","1,231.90","1,244.69","1,621.40","989.25","26,84,726","3,34,16,38,505.50","82,277"
"16-Dec-2024","EQ","1,258.00","1,261.85","1,240.95","1,259.95","1,242.50","1,243.15","1,247.01","1,621.40","989.25","13,37,624","1,66,80,24,373.20","63,737"
"13-Dec-2024","EQ","1,241.95","1,262.00","1,230.00","1,244.00","1,259.70","1,259.95","1,250.10","1,621.40","989.25","28,18,291","3,52,31,40,695.35","1,00,455"
"12-Dec-2024","EQ","1,233.80","1,268.00","1,223.45","1,233.80","1,244.15","1,244.00","1,250.42","1,621.40","989.25","54,57,302","6,82,39,01,275.20","1,50,445"
"11-Dec-2024","EQ","1,254.10","1,258.35","1,230.75","1,248.75","1,231.95","1,233.80","1,239.73","1,621.40","989.25","25,95,435","3,21,76,49,465.20","95,424"
"10-Dec-2024","EQ","1,272.90","1,272.90","1,244.40","1,266.85","1,252.00","1,248.75","1,252.71","1,621.40","989.25","24,06,907","3,01,51,60,752.75","79,731"
"09-Dec-2024","EQ","1,257.80","1,277.55","1,249.00","1,259.05","1,266.35","1,266.85","1,265.94","1,621.40","989.25","28,49,557","3,60,73,80,426.75","94,096"
"06-Dec-2024","EQ","1,279.00","1,282.50","1,256.10","1,277.05","1,257.80","1,259.05","1,267.45","1,621.40","858.50","22,32,531","2,82,96,27,377.85","80,008"
"05-Dec-2024","EQ","1,274.00","1,284.80","1,254.20","1,269.55","1,275.40","1,277.05","1,272.31","1,621.40","858.50","43,69,917","5,55,98,89,531.10","1,62,308"
"04-Dec-2024","EQ","1,301.00","1,301.00","1,262.00","1,288.65","1,267.80","1,269.55","1,276.40","1,621.40","858.50","48,74,025","6,22,12,25,413.60","1,58,425"
"03-Dec-2024","EQ","1,226.95","1,309.50","1,220.00","1,215.80","1,287.00","1,288.65","1,280.12","1,621.40","858.50","1,67,53,958","21,44,71,21,858.75","3,87,986"
"02-Dec-2024","EQ","1,201.90","1,220.90","1,189.40","1,190.05","1,215.50","1,215.80","1,204.75","1,621.40","858.50","69,41,125","8,36,22,94,291.90","1,93,832"
"29-Nov-2024","EQ","1,175.00","1,215.60","1,168.90","1,167.60","1,187.50","1,190.05","1,189.48","1,621.40","806.00","94,12,850","11,19,63,71,039.30","2,37,926"
"28-Nov-2024","EQ","1,196.65","1,226.90","1,163.15","1,199.95","1,169.55","1,167.60","1,193.73","1,621.40","806.00","1,56,02,469","18,62,51,37,899.45","3,89,745"
"27-Nov-2024","EQ","1,102.00","1,231.70","1,102.00","1,128.85","1,195.50","1,199.95","1,177.88","1,621.40","806.00","2,44,34,211","28,78,05,75,885.25","4,99,104"
"26-Nov-2024","EQ","1,172.05","1,174.45","1,119.35","1,166.80","1,131.50","1,128.85","1,138.13","1,621.40","806.00","58,02,555","6,60,40,66,104.80","1,86,664"
"25-Nov-2024","EQ","1,185.00","1,191.40","1,139.70","1,136.75","1,163.15","1,166.80","1,166.94","1,621.40","806.00","1,05,32,688","12,29,09,89,343.60","3,07,565"
"22-Nov-2024","EQ","1,072.60","1,155.90","1,054.00","1,114.65","1,138.00","1,136.75","1,108.59","1,621.40","785.00","2,70,86,168","30,02,74,76,076.45","6,71,336"
"21-Nov-2024","EQ","1,160.70","1,160.70","995.65","1,289.65","1,119.05","1,114.65","1,080.76","1,621.40","785.00","4,69,26,687","50,71,63,19,514.70","8,48,188"
"19-Nov-2024","EQ","1,285.00","1,321.45","1,282.00","1,279.30","1,287.20","1,289.65","1,304.76","1,621.40","785.00","26,31,778","3,43,38,51,541.55","90,392"
"18-Nov-2024","EQ","1,264.00","1,288.90","1,261.30","1,264.55","1,279.20","1,279.30","1,275.75","1,621.40","785.00","14,45,637","1,84,42,72,542.35","95,416"
"14-Nov-2024","EQ","1,289.95","1,296.65","1,260.65","1,287.90","1,264.95","1,264.55","1,272.67","1,621.40","785.00","29,63,013","3,77,09,32,012.10","1,52,378"
"13-Nov-2024","EQ","1,322.00","1,329.25","1,284.85","1,326.00","1,287.35","1,287.90","1,301.38","1,621.40","785.00","14,37,072","1,87,01,77,239.25","94,055"
"12-Nov-2024","EQ","1,348.05","1,354.80","1,320.00","1,347.90","1,321.00","1,326.00","1,338.08","1,621.40","785.00","10,38,042","1,38,89,87,641.85","68,992"
"11-Nov-2024","EQ","1,355.10","1,357.95","1,339.05","1,362.10","1,342.75","1,347.90","1,348.28","1,621.40","785.00","12,69,498","1,71,16,38,901.85","74,074"
"08-Nov-2024","EQ","1,353.10","1,367.30","1,338.60","1,353.10","1,351.95","1,362.10","1,354.50","1,621.40","785.00","14,00,491","1,89,69,71,997.50","71,278"
"07-Nov-2024","EQ","1,372.95","1,372.95","1,350.00","1,370.00","1,351.00","1,353.10","1,357.38","1,621.40","785.00","12,92,794","1,75,48,11,192.90","73,071"
"06-Nov-2024","EQ","1,330.00","1,382.00","1,315.20","1,329.35","1,372.20","1,370.00","1,348.32","1,621.40","785.00","36,45,515","4,91,53,15,246.10","1,03,850"
