"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","2,240.00","2,255.80","2,236.00","2,245.20","2,251.00","2,247.90","2,246.94","3,394.90","2,124.75","10,41,859","2,34,09,93,113.80","46,288"
"06-Jun-2025","EQ","2,249.10","2,252.60","2,239.00","2,243.50","2,245.20","2,245.20","2,244.85","3,394.90","2,124.75","8,22,087","1,84,54,64,870.70","36,801"
"05-Jun-2025","EQ","2,251.10","2,261.00","2,233.00","2,249.00","2,242.00","2,243.50","2,244.09","3,394.90","2,124.75","9,96,615","2,23,64,94,687.30","51,385"
"04-Jun-2025","EQ","2,249.50","2,261.00","2,240.90","2,255.70","2,251.00","2,249.00","2,248.65","3,394.90","2,124.75","7,68,084","1,72,71,51,815.70","36,037"
"03-Jun-2025","EQ","2,272.60","2,287.30","2,246.70","2,266.70","2,258.00","2,255.70","2,259.11","3,394.90","2,124.75","7,92,587","1,79,05,40,599.80","55,680"
"02-Jun-2025","EQ","2,259.10","2,272.30","2,257.90","2,259.10","2,268.50","2,266.70","2,265.52","3,394.90","2,124.75","7,02,789","1,59,21,80,294.90","41,035"
"30-May-2025","EQ","2,296.50","2,304.00","2,255.00","2,294.30","2,261.00","2,259.10","2,263.70","3,394.90","2,124.75","36,10,474","8,17,30,46,111.50","82,010"
"29-May-2025","EQ","2,303.20","2,309.00","2,286.50","2,303.20","2,295.00","2,294.30","2,293.62","3,394.90","2,124.75","14,14,643","3,24,46,58,118.70","58,620"
"28-May-2025","EQ","2,327.60","2,333.00","2,300.30","2,327.60","2,305.00","2,303.20","2,308.17","3,394.90","2,124.75","7,74,808","1,78,83,86,495.70","63,744"
"27-May-2025","EQ","2,313.10","2,351.60","2,301.10","2,327.20","2,327.50","2,327.60","2,332.79","3,394.90","2,124.75","24,85,428","5,79,79,81,367.60","98,440"
"26-May-2025","EQ","2,316.00","2,338.00","2,302.80","2,315.50","2,325.60","2,327.20","2,318.72","3,394.90","2,124.75","12,58,062","2,91,70,99,101.90","68,731"
"23-May-2025","EQ","2,301.80","2,329.00","2,295.00","2,299.20","2,315.00","2,315.50","2,316.37","3,394.90","2,124.75","4,58,035","1,06,09,77,681.90","33,970"
"22-May-2025","EQ","2,309.20","2,310.00","2,283.10","2,312.40","2,297.60","2,299.20","2,297.00","3,394.90","2,124.75","9,16,504","2,10,52,08,273.10","62,407"
"21-May-2025","EQ","2,296.00","2,316.20","2,290.00","2,295.60","2,308.30","2,312.40","2,307.71","3,394.90","2,124.75","4,69,330","1,08,30,76,347.70","41,864"
"20-May-2025","EQ","2,347.50","2,347.70","2,291.40","2,331.40","2,298.70","2,295.60","2,306.25","3,394.90","2,124.75","10,95,846","2,52,72,89,936.00","61,266"
"19-May-2025","EQ","2,353.60","2,378.90","2,326.60","2,353.60","2,331.00","2,331.40","2,347.23","3,394.90","2,124.75","5,52,961","1,29,79,28,267.50","50,106"
"16-May-2025","EQ","2,333.90","2,355.00","2,315.00","2,329.90","2,353.00","2,353.60","2,340.13","3,394.90","2,124.75","7,85,113","1,83,72,68,694.20","54,809"
"15-May-2025","EQ","2,285.00","2,335.50","2,268.00","2,282.30","2,331.40","2,329.90","2,306.60","3,394.90","2,124.75","16,75,016","3,86,35,90,864.00","1,13,120"
"14-May-2025","EQ","2,319.00","2,319.00","2,277.10","2,324.60","2,286.00","2,282.30","2,288.00","3,394.90","2,124.75","15,49,845","3,54,60,48,010.40","1,16,059"
"13-May-2025","EQ","2,354.00","2,358.00","2,315.10","2,356.40","2,322.60","2,324.60","2,328.80","3,394.90","2,124.75","12,20,489","2,84,22,70,299.00","81,010"
"12-May-2025","EQ","2,330.00","2,378.50","2,321.00","2,299.60","2,339.30","2,356.40","2,358.02","3,394.90","2,124.75","9,40,135","2,21,68,52,600.70","47,346"
