"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,212.50","1,224.50","1,206.20","1,194.60","1,220.50","1,219.90","1,217.97","1,339.65","933.50","91,38,108","11,12,99,47,178.10","2,32,891"
"06-Jun-2025","EQ","1,158.90","1,201.20","1,151.20","1,159.00","1,195.50","1,194.60","1,183.54","1,339.65","933.50","1,47,15,421","17,41,62,23,837.00","1,95,045"
"05-Jun-2025","EQ","1,172.50","1,175.50","1,157.00","1,171.00","1,160.00","1,159.00","1,163.31","1,339.65","933.50","1,04,81,600","12,19,33,81,984.10","1,49,921"
"04-Jun-2025","EQ","1,181.80","1,191.30","1,168.60","1,181.50","1,171.70","1,171.00","1,174.27","1,339.65","933.50","43,06,355","5,05,68,30,767.90","96,752"
"03-Jun-2025","EQ","1,195.00","1,198.90","1,174.90","1,194.40","1,180.70","1,181.50","1,182.91","1,339.65","933.50","81,55,665","9,64,74,41,376.70","3,12,490"
"02-Jun-2025","EQ","1,189.80","1,200.90","1,179.20","1,192.20","1,193.00","1,194.40","1,193.10","1,339.65","933.50","37,61,853","4,48,82,61,974.40","1,27,235"
"30-May-2025","EQ","1,201.40","1,208.80","1,189.60","1,201.70","1,192.00","1,192.20","1,194.28","1,339.65","933.50","99,98,488","11,94,10,11,467.30","1,08,447"
"29-May-2025","EQ","1,200.00","1,209.00","1,189.00","1,194.70","1,207.10","1,201.70","1,197.48","1,339.65","933.50","77,88,068","9,32,60,74,416.30","1,76,910"
"28-May-2025","EQ","1,195.60","1,202.20","1,191.70","1,195.60","1,194.80","1,194.70","1,196.60","1,339.65","933.50","35,25,421","4,21,85,10,137.10","88,826"
"27-May-2025","EQ","1,215.20","1,216.70","1,190.40","1,215.20","1,197.90","1,195.60","1,199.51","1,339.65","933.50","72,49,163","8,69,54,11,730.40","1,90,691"
