"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","8,680.00","8,705.00","8,599.50","8,637.00","8,645.00","8,641.00","8,638.21","12,774.00","7,089.35","4,43,544","3,83,14,27,814.00","46,492"
"06-Jun-2025","EQ","8,608.00","8,685.00","8,541.00","8,557.50","8,655.00","8,637.00","8,622.37","12,774.00","7,089.35","4,35,024","3,75,09,39,982.00","41,068"
"05-Jun-2025","EQ","8,614.00","8,614.00","8,509.50","8,563.50","8,563.50","8,557.50","8,563.01","12,774.00","7,089.35","3,81,642","3,26,80,05,630.00","36,961"
"04-Jun-2025","EQ","8,550.50","8,640.50","8,527.00","8,563.00","8,576.00","8,563.50","8,573.84","12,774.00","7,089.35","4,31,009","3,69,54,02,115.50","42,489"
"03-Jun-2025","EQ","8,513.00","8,600.00","8,490.00","8,513.50","8,569.00","8,563.00","8,553.17","12,774.00","7,089.35","5,66,074","4,84,17,27,195.50","47,523"
"02-Jun-2025","EQ","8,621.50","8,621.50","8,415.00","8,607.00","8,500.50","8,513.50","8,479.88","12,774.00","7,089.35","4,57,251","3,87,74,35,602.50","61,075"
"30-May-2025","EQ","8,787.00","8,865.00","8,585.00","8,874.50","8,599.00","8,607.00","8,656.64","12,774.00","7,089.35","14,34,828","12,42,07,82,717.00","1,18,890"
"29-May-2025","EQ","8,907.00","8,940.00","8,802.00","8,849.00","8,899.00","8,874.50","8,868.95","12,774.00","7,089.35","3,30,341","2,92,97,77,801.50","47,442"
"28-May-2025","EQ","8,990.00","9,007.00","8,775.00","8,963.00","8,875.00","8,849.00","8,854.01","12,774.00","7,089.35","3,12,080","2,76,31,59,381.00","57,398"
"27-May-2025","EQ","8,945.00","9,004.50","8,900.50","8,958.50","8,950.00","8,963.00","8,961.65","12,774.00","7,089.35","4,01,273","3,59,60,67,934.00","43,167"
"26-May-2025","EQ","8,784.50","8,978.50","8,770.00","8,741.00","8,950.00","8,958.50","8,918.63","12,774.00","7,089.35","4,40,577","3,92,93,41,364.50","60,140"
"23-May-2025","EQ","8,765.00","8,838.00","8,714.00","8,733.50","8,740.00","8,741.00","8,768.99","12,774.00","7,089.35","3,21,989","2,82,35,19,525.50","56,670"
"22-May-2025","EQ","8,660.00","8,775.50","8,512.50","8,687.50","8,744.00","8,733.50","8,655.99","12,774.00","7,089.35","9,16,615","7,93,42,10,883.00","82,837"
"21-May-2025","EQ","8,608.00","8,765.00","8,535.50","8,565.00","8,680.00","8,687.50","8,678.49","12,774.00","7,089.35","5,72,628","4,96,95,45,964.00","70,180"
"20-May-2025","EQ","8,850.00","8,850.00","8,526.50","8,851.00","8,600.00","8,565.00","8,686.75","12,774.00","7,089.35","4,49,936","3,90,84,82,935.00","64,413"
"19-May-2025","EQ","8,500.00","8,861.50","8,492.00","8,482.50","8,830.00","8,851.00","8,776.13","12,774.00","7,089.35","8,58,221","7,53,18,62,318.50","79,088"
