"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","2,001.00","2,057.70","1,991.00","1,990.00","2,021.00","2,017.40","2,024.25","2,135.00","1,523.25","42,21,378","8,54,51,34,559.40","1,17,014"
"06-Jun-2025","EQ","1,968.00","2,018.70","1,921.00","1,944.00","1,988.70","1,990.00","1,970.83","2,135.00","1,419.05","69,70,191","13,73,70,86,206.10","1,73,271"
"05-Jun-2025","EQ","1,961.00","1,965.90","1,929.10","1,956.10","1,944.90","1,944.00","1,944.21","2,135.00","1,419.05","18,08,602","3,51,62,97,284.30","78,655"
"04-Jun-2025","EQ","2,000.00","2,007.80","1,944.10","1,991.90","1,959.50","1,956.10","1,968.76","2,135.00","1,419.05","11,69,875","2,30,32,01,327.50","53,640"
"03-Jun-2025","EQ","2,039.10","2,044.80","1,980.00","2,029.00","1,993.60","1,991.90","1,996.60","2,135.00","1,419.05","15,22,876","3,04,05,68,792.50","68,987"
"02-Jun-2025","EQ","2,017.40","2,035.70","1,995.10","2,017.40","2,026.20","2,029.00","2,014.33","2,135.00","1,419.05","13,39,043","2,69,72,68,542.40","51,357"
"30-May-2025","EQ","2,010.90","2,031.70","2,010.90","2,010.90","2,011.50","2,017.40","2,019.66","2,135.00","1,419.05","21,44,136","4,33,04,17,120.50","63,881"
"29-May-2025","EQ","2,031.40","2,032.90","2,000.10","2,022.40","2,015.10","2,010.90","2,009.43","2,135.00","1,419.05","8,74,950","1,75,81,54,699.70","46,001"
"28-May-2025","EQ","2,044.90","2,044.90","2,018.00","2,029.90","2,020.90","2,022.40","2,029.16","2,135.00","1,419.05","4,15,312","84,27,36,518.60","24,782"
"27-May-2025","EQ","2,050.00","2,058.00","2,014.50","2,052.60","2,035.00","2,029.90","2,029.94","2,135.00","1,419.05","11,75,928","2,38,70,67,897.30","74,254"
