"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","394.00","395.30","391.80","390.70","392.15","392.45","393.17","396.85","240.25","1,37,44,521","5,40,39,93,993.15","1,24,733"
"06-Jun-2025","EQ","394.85","396.85","389.20","393.50","390.90","390.70","391.49","396.85","230.00","1,73,66,507","6,79,87,78,816.55","1,23,148"
"05-Jun-2025","EQ","393.70","394.70","389.50","390.60","394.10","393.50","391.88","394.70","230.00","2,07,46,844","8,13,02,66,022.85","1,44,121"
"04-Jun-2025","EQ","387.00","391.30","384.10","386.00","390.95","390.60","387.93","393.50","230.00","2,06,48,850","8,01,02,78,419.10","1,48,244"
"03-Jun-2025","EQ","387.50","391.80","385.50","387.50","385.90","386.00","387.70","393.50","230.00","1,86,30,318","7,22,28,95,017.30","1,29,954"
"02-Jun-2025","EQ","385.00","389.25","383.75","384.60","387.80","387.50","387.09","393.50","230.00","1,19,43,152","4,62,30,19,230.60","1,13,485"
"30-May-2025","EQ","386.80","390.00","383.65","386.80","385.20","384.60","385.88","393.50","230.00","2,31,44,580","8,93,10,65,659.95","1,23,088"
"29-May-2025","EQ","391.55","392.10","385.55","390.45","387.30","386.80","387.49","393.50","230.00","1,85,62,683","7,19,28,01,127.70","1,50,963"
"28-May-2025","EQ","385.45","393.50","384.10","385.40","390.30","390.45","389.84","393.50","230.00","2,75,49,144","10,73,97,34,614.80","1,81,884"
"27-May-2025","EQ","384.50","388.80","383.45","384.55","385.45","385.40","386.36","389.90","230.00","1,68,59,142","6,51,37,21,839.00","1,41,877"
"26-May-2025","EQ","384.90","385.80","378.50","383.80","384.70","384.55","383.24","389.90","230.00","2,67,22,908","10,24,12,76,808.35","2,22,619"
"23-May-2025","EQ","389.15","389.90","381.10","383.40","383.35","383.80","385.36","389.90","230.00","3,76,66,187","14,51,49,65,709.75","3,20,280"
