"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,874.00","1,875.00","1,848.70","1,870.20","1,865.00","1,865.10","1,862.61","1,917.00","1,372.85","36,49,505","6,79,76,12,329.00","1,31,990"
"06-Jun-2025","EQ","1,872.10","1,881.90","1,867.30","1,878.80","1,870.10","1,870.20","1,874.58","1,917.00","1,219.05","46,44,174","8,70,58,67,475.20","1,65,644"
"05-Jun-2025","EQ","1,884.00","1,889.00","1,868.60","1,875.40","1,878.00","1,878.80","1,874.29","1,917.00","1,219.05","89,99,675","16,86,79,77,555.40","1,57,560"
"04-Jun-2025","EQ","1,855.00","1,884.60","1,850.00","1,841.30","1,873.00","1,875.40","1,873.40","1,917.00","1,219.05","58,92,170","11,03,84,06,458.90","2,00,975"
"03-Jun-2025","EQ","1,867.00","1,869.50","1,832.00","1,854.10","1,841.60","1,841.30","1,844.12","1,917.00","1,219.05","55,96,977","10,32,14,75,298.60","1,94,113"
"02-Jun-2025","EQ","1,844.00","1,859.00","1,831.50","1,856.20","1,850.00","1,854.10","1,848.95","1,917.00","1,219.05","31,99,499","5,91,57,06,164.50","1,19,382"
"30-May-2025","EQ","1,854.00","1,867.00","1,843.00","1,863.60","1,859.70","1,856.20","1,856.33","1,917.00","1,219.05","1,67,12,960","31,02,47,99,188.60","1,63,931"
"29-May-2025","EQ","1,858.00","1,867.00","1,850.50","1,856.10","1,865.00","1,863.60","1,861.20","1,917.00","1,219.05","57,86,774","10,77,03,32,949.60","2,18,220"
"28-May-2025","EQ","1,848.00","1,867.00","1,845.10","1,843.80","1,855.50","1,856.10","1,857.45","1,917.00","1,219.05","37,13,699","6,89,80,20,834.20","1,18,955"
"27-May-2025","EQ","1,844.00","1,857.60","1,833.70","1,847.40","1,847.30","1,843.80","1,843.98","1,917.00","1,219.05","58,47,725","10,78,30,99,301.40","1,81,830"
"26-May-2025","EQ","1,834.00","1,850.00","1,830.90","1,831.70","1,846.50","1,847.40","1,845.67","1,917.00","1,219.05","32,54,715","6,00,71,42,210.40","1,54,230"
"23-May-2025","EQ","1,825.00","1,841.80","1,821.50","1,831.40","1,831.00","1,831.70","1,835.52","1,917.00","1,219.05","34,60,945","6,35,26,22,258.70","1,49,774"
"22-May-2025","EQ","1,819.90","1,836.70","1,816.30","1,822.50","1,831.00","1,831.40","1,829.94","1,917.00","1,219.05","64,96,923","11,88,89,88,220.50","2,06,038"
"21-May-2025","EQ","1,813.00","1,826.50","1,805.30","1,808.90","1,822.00","1,822.50","1,819.20","1,917.00","1,219.05","68,49,562","12,46,07,10,453.50","2,99,080"
"20-May-2025","EQ","1,809.80","1,824.90","1,799.50","1,818.30","1,809.70","1,808.90","1,809.85","1,917.00","1,219.05","1,25,12,596","22,64,59,51,310.90","2,81,116"
"19-May-2025","EQ","1,822.00","1,828.70","1,809.00","1,814.00","1,816.50","1,818.30","1,818.41","1,917.00","1,219.05","57,99,804","10,54,64,36,610.00","2,23,582"
"16-May-2025","EQ","1,834.00","1,834.00","1,810.10","1,867.20","1,814.40","1,814.00","1,815.18","1,917.00","1,219.05","10,06,62,047","1,82,71,96,65,612.80","2,86,997"
"15-May-2025","EQ","1,849.90","1,869.90","1,825.00","1,834.20","1,863.10","1,867.20","1,849.52","1,917.00","1,219.05","87,88,351","16,25,42,70,538.10","1,95,431"
"14-May-2025","EQ","1,830.00","1,870.70","1,820.20","1,820.60","1,837.90","1,834.20","1,843.39","1,917.00","1,219.05","74,01,614","13,64,40,25,354.70","2,26,624"
"13-May-2025","EQ","1,870.00","1,883.70","1,816.60","1,870.80","1,824.50","1,820.60","1,834.02","1,917.00","1,219.05","88,17,763","16,17,19,33,283.30","2,82,085"
"12-May-2025","EQ","1,868.90","1,883.40","1,854.00","1,848.40","1,873.00","1,870.80","1,869.65","1,917.00","1,219.05","39,36,019","7,35,89,80,437.00","1,34,363"
