"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,511.70","1,511.70","1,497.00","1,504.20","1,505.70","1,506.60","1,504.36","1,702.05","1,335.00","6,89,631","1,03,74,51,743.30","26,946"
"06-Jun-2025","EQ","1,489.80","1,505.90","1,484.00","1,489.80","1,504.30","1,504.20","1,497.08","1,702.05","1,335.00","8,61,882","1,29,03,08,227.10","33,734"
"05-Jun-2025","EQ","1,476.00","1,498.80","1,475.00","1,471.90","1,490.00","1,489.80","1,490.68","1,702.05","1,335.00","15,70,159","2,34,06,04,397.00","82,774"
"04-Jun-2025","EQ","1,473.20","1,488.00","1,465.90","1,473.20","1,470.40","1,471.90","1,475.99","1,702.05","1,335.00","12,97,075","1,91,44,68,201.00","54,293"
"03-Jun-2025","EQ","1,472.40","1,479.40","1,460.40","1,470.20","1,471.50","1,473.20","1,467.69","1,702.05","1,335.00","8,70,331","1,27,73,75,916.50","53,996"
"02-Jun-2025","EQ","1,468.00","1,474.80","1,458.00","1,465.70","1,467.50","1,470.20","1,467.26","1,702.05","1,335.00","9,62,897","1,41,28,18,003.50","53,675"
"30-May-2025","EQ","1,476.00","1,489.00","1,457.10","1,476.90","1,463.90","1,465.70","1,467.85","1,702.05","1,335.00","70,40,777","10,33,48,14,359.90","1,00,716"
"29-May-2025","EQ","1,475.00","1,479.50","1,463.00","1,468.50","1,475.10","1,476.90","1,472.43","1,702.05","1,335.00","13,84,536","2,03,86,30,166.10","62,335"
"28-May-2025","EQ","1,485.00","1,486.00","1,465.00","1,480.50","1,467.00","1,468.50","1,474.04","1,702.05","1,335.00","10,90,511","1,60,74,54,975.60","51,637"
"27-May-2025","EQ","1,485.70","1,491.90","1,475.80","1,484.20","1,481.20","1,480.50","1,483.36","1,702.05","1,335.00","8,81,728","1,30,79,20,477.10","50,785"
"26-May-2025","EQ","1,486.10","1,493.90","1,478.50","1,484.20","1,482.60","1,484.20","1,484.84","1,702.05","1,335.00","8,85,022","1,31,41,12,850.70","54,833"
"23-May-2025","EQ","1,468.50","1,489.00","1,461.00","1,468.50","1,483.00","1,484.20","1,481.77","1,702.05","1,335.00","9,15,286","1,35,62,39,562.90","55,837"
"22-May-2025","EQ","1,483.00","1,489.70","1,460.10","1,482.40","1,461.20","1,468.50","1,470.54","1,702.05","1,335.00","18,04,507","2,65,36,07,301.60","72,360"
"21-May-2025","EQ","1,459.00","1,491.00","1,454.60","1,454.40","1,481.00","1,482.40","1,481.53","1,702.05","1,335.00","20,01,251","2,96,49,10,782.20","82,547"
"20-May-2025","EQ","1,495.40","1,497.80","1,451.20","1,491.60","1,454.70","1,454.40","1,466.93","1,702.05","1,335.00","35,73,210","5,24,16,49,482.40","1,56,457"
"19-May-2025","EQ","1,499.90","1,511.70","1,489.00","1,499.90","1,491.00","1,491.60","1,495.75","1,702.05","1,335.00","18,57,648","2,77,85,79,589.10","97,791"
"16-May-2025","EQ","1,509.70","1,510.20","1,492.00","1,502.20","1,501.00","1,499.90","1,499.18","1,702.05","1,335.00","16,60,861","2,48,99,37,388.40","65,109"
"15-May-2025","EQ","1,495.00","1,512.90","1,475.00","1,494.80","1,500.90","1,502.20","1,492.27","1,702.05","1,335.00","39,18,531","5,84,74,95,943.10","1,79,484"
"14-May-2025","EQ","1,495.00","1,505.90","1,474.60","1,520.10","1,499.90","1,494.80","1,494.99","1,702.05","1,335.00","34,17,567","5,10,92,12,195.00","1,91,966"
"13-May-2025","EQ","1,515.00","1,539.90","1,497.10","1,511.60","1,520.00","1,520.10","1,520.22","1,702.05","1,335.00","40,42,184","6,14,50,03,326.90","1,92,782"
"12-May-2025","EQ","1,478.00","1,516.90","1,462.20","1,480.00","1,507.30","1,511.60","1,496.24","1,702.05","1,335.00","17,06,217","2,55,29,08,617.00","1,04,009"
"09-May-2025","EQ","1,469.90","1,486.40","1,463.70","1,486.80","1,477.00","1,480.00","1,476.65","1,702.05","1,317.25","10,42,380","1,53,92,34,273.70","1,23,546"
"08-May-2025","EQ","1,500.00","1,508.70","1,477.90","1,508.80","1,480.00","1,486.80","1,487.13","1,702.05","1,317.25","27,73,328","4,12,42,99,814.30","1,91,367"
"07-May-2025","EQ","1,500.00","1,517.80","1,499.40","1,511.40","1,511.00","1,508.80","1,508.08","1,702.05","1,317.25","14,24,662","2,14,85,07,563.10","62,971"
"06-May-2025","EQ","1,530.00","1,531.90","1,495.00","1,542.90","1,505.90","1,511.40","1,510.76","1,702.05","1,317.25","17,88,719","2,70,23,33,928.50","92,252"
"05-May-2025","EQ","1,532.00","1,549.00","1,528.30","1,525.60","1,542.70","1,542.90","1,539.92","1,702.05","1,317.25","7,86,898","1,21,17,60,967.20","40,000"
"02-May-2025","EQ","1,537.50","1,552.50","1,513.50","1,550.10","1,530.00","1,525.60","1,529.48","1,702.05","1,317.25","20,20,145","3,08,97,63,539.70","93,365"
"30-Apr-2025","EQ","1,542.00","1,570.80","1,538.00","1,541.50","1,550.00","1,550.10","1,553.86","1,702.05","1,317.25","23,15,010","3,59,71,95,037.90","83,543"
"29-Apr-2025","EQ","1,555.00","1,560.60","1,531.00","1,555.10","1,542.00","1,541.50","1,543.24","1,702.05","1,317.25","13,85,331","2,13,78,97,014.90","92,484"
"28-Apr-2025","EQ","1,525.90","1,565.00","1,525.90","1,525.90","1,552.00","1,555.10","1,552.75","1,702.05","1,317.25","12,07,247","1,87,45,48,828.60","92,013"
"25-Apr-2025","EQ","1,556.00","1,566.70","1,513.50","1,551.70","1,525.10","1,525.90","1,531.07","1,702.05","1,317.25","13,53,813","2,07,27,82,757.20","88,697"
"24-Apr-2025","EQ","1,533.70","1,556.00","1,524.90","1,533.70","1,554.00","1,551.70","1,546.92","1,702.05","1,317.25","15,90,469","2,46,03,33,453.50","76,384"
"23-Apr-2025","EQ","1,533.00","1,539.00","1,516.00","1,528.20","1,532.00","1,533.70","1,528.48","1,702.05","1,317.25","8,19,016","1,25,18,51,697.70","46,358"
"22-Apr-2025","EQ","1,514.90","1,534.70","1,502.70","1,511.10","1,523.00","1,528.20","1,524.06","1,702.05","1,317.25","9,54,974","1,45,54,41,890.20","51,860"
"21-Apr-2025","EQ","1,525.00","1,525.00","1,505.00","1,515.20","1,513.50","1,511.10","1,515.07","1,702.05","1,317.25","5,70,266","86,39,95,041.30","39,460"
"17-Apr-2025","EQ","1,498.00","1,522.00","1,486.00","1,496.40","1,514.10","1,515.20","1,511.99","1,702.05","1,317.25","12,11,601","1,83,19,28,072.90","70,640"
