"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,327.40","1,329.00","1,308.60","1,320.90","1,319.50","1,319.10","1,317.67","7,107.45","1,020.00","12,27,356","1,61,72,52,722.50","57,386"
"06-Jun-2025","EQ","1,295.10","1,322.90","1,295.00","1,290.60","1,319.70","1,320.90","1,314.00","7,107.45","1,020.00","21,58,757","2,83,65,96,087.90","70,999"
"05-Jun-2025","EQ","1,264.20","1,303.40","1,264.20","1,251.90","1,290.10","1,290.60","1,288.93","7,107.45","1,020.00","38,34,672","4,94,26,34,471.90","1,22,574"
"04-Jun-2025","EQ","1,248.30","1,266.00","1,246.30","1,248.30","1,251.00","1,251.90","1,254.74","7,107.45","1,020.00","13,87,633","1,74,11,13,658.80","40,083"
"03-Jun-2025","EQ","1,250.00","1,253.40","1,240.80","1,247.70","1,249.00","1,248.30","1,247.10","7,107.45","1,020.00","8,11,620","1,01,21,72,244.60","38,884"
"02-Jun-2025","EQ","1,251.00","1,251.50","1,232.50","1,251.20","1,249.50","1,247.70","1,244.35","7,107.45","1,020.00","11,39,977","1,41,85,35,373.00","43,414"
"30-May-2025","EQ","1,248.20","1,257.60","1,241.00","1,248.20","1,251.00","1,251.20","1,250.54","7,107.45","1,020.00","31,61,983","3,95,41,93,042.70","60,201"
"29-May-2025","EQ","1,245.40","1,253.40","1,240.40","1,242.60","1,245.10","1,248.20","1,247.84","7,107.45","1,020.00","17,91,885","2,23,59,77,327.00","76,116"
"28-May-2025","EQ","1,247.80","1,252.20","1,237.00","1,243.20","1,239.00","1,242.60","1,242.62","7,107.45","1,020.00","7,66,968","95,30,52,253.10","44,328"
"27-May-2025","EQ","1,243.90","1,249.00","1,237.30","1,240.90","1,244.00","1,243.20","1,244.69","7,107.45","1,020.00","11,45,000","1,42,51,64,481.20","44,500"
"26-May-2025","EQ","1,229.90","1,247.90","1,228.70","1,230.10","1,242.00","1,240.90","1,240.76","7,107.45","1,020.00","9,85,434","1,22,26,86,862.80","47,812"
"23-May-2025","EQ","1,228.00","1,234.90","1,216.00","1,222.20","1,229.00","1,230.10","1,230.00","7,107.45","1,020.00","7,34,297","90,31,85,679.70","29,041"
"22-May-2025","EQ","1,224.70","1,229.80","1,211.40","1,224.70","1,225.00","1,222.20","1,221.11","7,107.45","1,020.00","22,60,610","2,76,04,60,613.20","67,987"
"21-May-2025","EQ","1,225.10","1,256.60","1,220.10","1,224.20","1,224.80","1,224.70","1,236.76","7,107.45","1,020.00","26,15,092","3,23,42,43,936.30","81,613"
"20-May-2025","EQ","1,222.00","1,234.40","1,216.60","1,219.00","1,225.00","1,224.20","1,226.61","7,107.45","1,020.00","13,85,750","1,69,97,75,056.20","48,514"
"19-May-2025","EQ","1,228.30","1,241.80","1,214.20","1,230.70","1,215.60","1,219.00","1,223.54","7,107.45","1,020.00","22,35,758","2,73,55,41,749.50","79,511"
"16-May-2025","EQ","1,238.90","1,238.90","1,221.00","1,236.30","1,228.50","1,230.70","1,228.28","7,107.45","1,020.00","8,82,873","1,08,44,10,927.50","39,496"
"15-May-2025","EQ","1,214.00","1,239.80","1,200.20","1,220.00","1,231.00","1,236.30","1,223.92","7,107.45","1,020.00","20,53,553","2,51,33,84,526.30","1,00,056"
"14-May-2025","EQ","1,213.30","1,223.30","1,193.20","1,207.10","1,220.30","1,220.00","1,214.72","7,107.45","1,020.00","11,97,152","1,45,42,03,819.40","55,110"
"13-May-2025","EQ","1,196.00","1,241.00","1,196.00","1,195.60","1,208.00","1,207.10","1,223.40","7,107.45","1,020.00","31,34,295","3,83,45,01,207.20","1,14,153"
"12-May-2025","EQ","1,155.90","1,204.00","1,143.90","1,155.90","1,193.60","1,195.60","1,179.20","7,107.45","1,020.00","50,65,176","5,97,28,30,720.20","1,41,292"
"09-May-2025","EQ","1,142.50","1,167.00","1,138.50","1,148.00","1,158.10","1,155.90","1,149.96","7,107.45","1,020.00","12,48,574","1,43,58,09,557.90","58,467"
"08-May-2025","EQ","1,152.70","1,161.40","1,142.00","1,160.70","1,146.00","1,148.00","1,149.86","7,107.45","1,020.00","26,16,533","3,00,86,38,014.50","99,397"
"07-May-2025","EQ","1,143.40","1,164.60","1,143.40","1,160.40","1,162.00","1,160.70","1,159.02","7,107.45","1,020.00","14,21,366","1,64,73,87,239.10","60,034"
"06-May-2025","EQ","1,172.20","1,175.00","1,129.40","1,171.30","1,156.00","1,160.40","1,158.15","7,107.45","1,020.00","19,90,745","2,30,55,78,118.90","60,270"
"05-May-2025","EQ","1,188.70","1,193.90","1,154.50","1,182.90","1,178.00","1,171.30","1,168.54","7,107.45","1,020.00","18,93,680","2,21,28,41,386.40","55,068"
"02-May-2025","EQ","1,176.10","1,194.80","1,171.40","1,183.90","1,184.00","1,182.90","1,182.01","7,107.45","1,020.00","13,06,311","1,54,40,77,141.50","55,170"
"30-Apr-2025","EQ","1,176.20","1,196.60","1,175.90","1,176.00","1,179.50","1,183.90","1,185.52","7,107.45","1,020.00","16,04,442","1,90,21,02,797.30","63,580"
"29-Apr-2025","EQ","1,204.40","1,204.40","1,169.00","1,198.70","1,176.20","1,176.00","1,178.75","7,107.45","1,020.00","16,63,018","1,96,02,85,386.80","71,628"
"28-Apr-2025","EQ","1,176.30","1,205.00","1,176.30","1,174.80","1,202.40","1,198.70","1,196.74","7,107.45","1,020.00","12,36,678","1,47,99,79,904.70","57,178"
"25-Apr-2025","EQ","1,203.90","1,210.50","1,159.70","1,200.50","1,172.00","1,174.80","1,178.66","7,107.45","1,020.00","12,86,573","1,51,64,30,178.00","51,311"
"24-Apr-2025","EQ","1,179.00","1,210.00","1,176.30","1,186.00","1,204.90","1,200.50","1,195.66","7,107.45","1,020.00","48,19,678","5,76,26,72,667.50","80,333"
"23-Apr-2025","EQ","1,185.10","1,191.80","1,175.90","1,175.00","1,183.10","1,186.00","1,183.91","7,107.45","1,020.00","31,92,132","3,77,92,09,145.20","82,010"
"22-Apr-2025","EQ","1,173.90","1,180.50","1,162.30","1,177.40","1,175.10","1,175.00","1,173.84","7,107.45","1,020.00","13,13,400","1,54,17,16,008.00","42,491"
"21-Apr-2025","EQ","1,163.40","1,179.70","1,155.00","1,163.60","1,176.80","1,177.40","1,169.82","7,107.45","1,020.00","19,38,756","2,26,80,03,614.40","66,564"
"17-Apr-2025","EQ","1,150.10","1,173.60","1,150.10","1,158.40","1,163.30","1,163.60","1,164.83","7,107.45","1,020.00","27,88,024","3,24,75,79,205.90","72,694"
"16-Apr-2025","EQ","1,150.20","1,161.40","1,143.70","1,154.90","1,150.90","1,158.40","1,153.68","7,107.45","1,020.00","14,51,875","1,67,50,01,335.40","77,501"
"15-Apr-2025","EQ","1,140.90","1,158.10","1,129.00","1,109.50","1,156.00","1,154.90","1,146.65","7,107.45","1,020.00","26,83,350","3,07,68,69,271.10","72,640"
"11-Apr-2025","EQ","1,139.90","1,139.90","1,102.25","1,094.05","1,110.00","1,109.50","1,119.70","7,107.45","1,020.00","27,40,831","3,06,89,04,560.90","91,866"
"09-Apr-2025","EQ","1,094.50","1,103.25","1,061.65","1,107.95","1,093.25","1,094.05","1,091.35","7,107.45","1,020.00","55,11,474","6,01,49,46,285.75","1,17,243"
"08-Apr-2025","EQ","1,100.00","1,113.65","1,088.70","1,087.90","1,109.85","1,107.95","1,103.17","7,107.45","1,020.00","15,77,632","1,74,03,91,167.90","79,851"
"07-Apr-2025","EQ","1,020.00","1,098.85","1,020.00","1,109.95","1,092.30","1,087.90","1,086.88","7,107.45","1,020.00","38,88,037","4,22,58,40,425.70","1,36,195"
"04-Apr-2025","EQ","1,151.80","1,157.45","1,076.20","1,151.45","1,114.00","1,109.95","1,103.77","7,107.45","1,076.20","54,23,861","5,98,67,09,250.80","2,06,413"
"03-Apr-2025","EQ","1,190.50","1,226.90","1,149.05","1,150.00","1,151.80","1,151.45","1,181.31","7,107.45","1,092.45","63,24,685","7,47,14,13,120.45","1,75,194"
"02-Apr-2025","EQ","1,150.00","1,152.70","1,135.00","1,152.20","1,151.65","1,150.00","1,143.53","7,107.45","1,092.45","20,71,245","2,36,85,26,047.90","60,874"
"01-Apr-2025","EQ","1,144.20","1,164.40","1,136.05","1,144.20","1,150.00","1,152.20","1,153.13","7,107.45","1,092.45","41,58,012","4,79,47,16,300.25","98,563"
"28-Mar-2025","EQ","1,159.25","1,159.25","1,140.75","1,162.20","1,145.00","1,144.20","1,148.00","7,107.45","1,092.45","27,62,934","3,17,18,38,628.35","95,730"
"27-Mar-2025","EQ","1,160.00","1,172.40","1,144.00","1,164.60","1,161.40","1,162.20","1,154.04","7,107.45","1,092.45","44,60,409","5,14,74,81,095.40","1,41,276"
"26-Mar-2025","EQ","1,177.90","1,179.80","1,152.65","1,177.90","1,161.40","1,164.60","1,163.85","7,107.45","1,092.45","28,64,505","3,33,38,49,572.85","1,34,793"
"25-Mar-2025","EQ","1,210.30","1,215.95","1,167.95","1,210.30","1,173.50","1,177.90","1,178.26","7,107.45","1,092.45","28,60,907","3,37,09,01,737.45","98,645"
"24-Mar-2025","EQ","1,205.00","1,216.35","1,190.25","1,200.15","1,208.00","1,210.30","1,204.27","7,107.45","1,092.45","16,60,669","1,99,98,88,358.55","64,032"
"21-Mar-2025","EQ","1,190.20","1,204.65","1,177.05","1,187.20","1,202.25","1,200.15","1,195.13","7,107.45","1,092.45","23,13,824","2,76,53,19,297.85","90,859"
"20-Mar-2025","EQ","1,178.95","1,190.75","1,165.30","1,172.10","1,186.00","1,187.20","1,180.35","7,107.45","1,092.45","15,21,677","1,79,61,07,267.85","90,571"
"19-Mar-2025","EQ","1,174.00","1,177.70","1,158.10","1,163.70","1,171.00","1,172.10","1,167.17","7,107.45","1,092.45","15,07,415","1,75,94,05,481.55","58,947"
"18-Mar-2025","EQ","1,157.80","1,169.40","1,149.00","1,150.70","1,163.00","1,163.70","1,161.70","7,107.45","1,092.45","17,34,982","2,01,55,21,876.80","67,683"
"17-Mar-2025","EQ","1,107.90","1,154.10","1,101.50","1,107.95","1,151.50","1,150.70","1,142.59","7,107.45","1,092.45","27,14,559","3,10,16,22,486.70","88,380"
"13-Mar-2025","EQ","1,105.15","1,110.25","1,095.05","1,105.15","1,106.35","1,107.95","1,104.66","7,107.45","1,092.45","12,99,174","1,43,51,45,064.45","52,788"
"12-Mar-2025","EQ","1,116.60","1,116.65","1,092.45","1,116.65","1,107.25","1,105.15","1,101.33","7,107.45","1,092.45","19,14,579","2,10,85,84,700.55","84,955"
