"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","5,422.00","5,444.00","5,377.50","5,394.00","5,385.00","5,391.00","5,398.89","5,906.50","4,508.75","2,70,949","1,46,28,22,691.00","35,086"
"06-Jun-2025","EQ","5,290.50","5,405.00","5,261.50","5,308.50","5,400.00","5,394.00","5,356.36","5,906.50","4,253.85","5,38,092","2,88,22,14,777.00","35,768"
"05-Jun-2025","EQ","5,331.50","5,338.00","5,284.00","5,319.50","5,304.00","5,308.50","5,312.63","5,906.50","4,253.85","4,59,910","2,44,33,32,513.50","42,372"
"04-Jun-2025","EQ","5,340.00","5,385.50","5,296.50","5,354.00","5,300.00","5,319.50","5,331.78","5,906.50","4,253.85","3,21,913","1,71,63,70,679.00","29,585"
"03-Jun-2025","EQ","5,414.00","5,414.00","5,296.00","5,361.00","5,349.50","5,354.00","5,344.09","5,906.50","4,253.85","4,79,572","2,56,28,74,610.00","50,431"
"02-Jun-2025","EQ","5,340.00","5,385.00","5,316.50","5,333.50","5,354.00","5,361.00","5,353.38","5,906.50","4,253.85","4,75,698","2,54,65,93,593.50","46,385"
"30-May-2025","EQ","5,378.00","5,403.00","5,319.50","5,379.00","5,354.00","5,333.50","5,341.16","5,906.50","4,253.85","9,15,804","4,89,14,53,357.00","45,261"
"29-May-2025","EQ","5,328.50","5,396.50","5,287.00","5,326.50","5,385.00","5,379.00","5,339.18","5,906.50","4,253.85","7,04,795","3,76,30,24,490.00","62,260"
"28-May-2025","EQ","5,405.00","5,409.50","5,314.00","5,389.50","5,327.00","5,326.50","5,356.41","5,906.50","4,253.85","3,80,066","2,03,57,88,941.00","38,173"
"27-May-2025","EQ","5,420.00","5,445.00","5,376.00","5,427.50","5,400.00","5,389.50","5,401.15","5,906.50","4,253.85","4,52,769","2,44,54,71,132.00","37,010"
"26-May-2025","EQ","5,403.00","5,473.00","5,400.50","5,400.00","5,430.00","5,427.50","5,440.24","5,906.50","4,253.85","3,37,099","1,83,39,00,134.50","33,503"
