"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","261.90","262.98","255.35","261.86","256.99","256.84","258.97","304.70","179.33","3,36,60,854","8,71,71,87,542.18","2,69,951"
"06-Jun-2025","EQ","256.56","264.00","256.01","256.56","261.90","261.86","260.78","304.70","146.30","6,62,34,457","17,27,27,87,135.68","3,86,010"
"05-Jun-2025","EQ","248.00","260.22","247.99","245.68","256.80","256.56","256.57","304.70","146.30","12,77,95,264","32,78,86,97,450.43","4,56,005"
"04-Jun-2025","EQ","237.10","248.00","237.10","237.70","245.33","245.68","243.19","304.70","146.30","7,06,26,622","17,17,55,38,040.66","2,24,934"
"03-Jun-2025","EQ","245.00","245.83","236.75","241.20","238.35","237.70","240.67","304.70","146.30","9,18,75,218","22,11,19,46,213.07","2,49,498"
"02-Jun-2025","EQ","237.31","243.00","236.11","238.31","240.92","241.20","240.69","304.70","146.30","5,56,90,205","13,40,40,94,238.63","2,44,435"
"30-May-2025","EQ","226.56","243.00","226.56","228.37","239.75","238.31","237.45","304.70","146.30","46,75,74,032","1,11,02,72,13,033.15","5,24,106"
"29-May-2025","EQ","224.50","229.35","224.03","224.18","228.20","228.37","227.48","304.70","146.30","5,45,74,822","12,41,45,72,055.90","2,17,480"
"28-May-2025","EQ","225.90","225.90","223.20","224.79","224.29","224.18","224.29","304.70","146.30","4,35,25,027","9,76,22,41,974.66","2,06,525"
"27-May-2025","EQ","226.40","227.47","221.10","226.80","224.95","224.79","224.77","304.70","146.30","22,46,59,198","50,49,60,52,593.93","6,83,691"
"26-May-2025","EQ","232.80","232.80","225.65","237.55","226.65","226.80","228.18","304.70","146.30","8,91,47,299","20,34,12,45,171.57","4,74,027"
"23-May-2025","EQ","229.12","240.70","228.87","229.02","237.34","237.55","237.11","304.70","146.30","4,21,80,098","10,00,11,15,997.08","2,11,199"
"22-May-2025","EQ","228.97","230.88","227.03","229.97","229.87","229.02","228.81","304.70","146.30","2,87,95,944","6,58,87,57,102.25","1,36,959"
"21-May-2025","EQ","227.00","230.30","224.18","228.28","230.01","229.97","227.80","304.70","146.30","4,71,66,136","10,74,43,71,950.20","2,31,624"
"20-May-2025","EQ","240.00","240.00","227.88","238.03","228.00","228.28","231.14","304.70","146.30","4,58,91,392","10,60,74,70,387.34","2,72,306"
"19-May-2025","EQ","245.84","246.59","237.43","245.76","238.25","238.03","240.81","304.70","146.30","2,18,17,610","5,25,39,18,642.58","1,46,711"
"16-May-2025","EQ","242.60","246.94","242.00","242.59","244.90","245.76","245.02","304.70","146.30","3,08,54,384","7,55,98,35,500.94","1,52,112"
"15-May-2025","EQ","236.20","245.30","233.75","236.86","242.18","242.59","240.41","304.70","146.30","4,03,35,990","9,69,71,92,437.11","1,91,729"
"14-May-2025","EQ","232.00","237.44","232.00","231.65","236.27","236.86","235.44","304.70","146.30","2,31,58,211","5,45,24,65,594.33","1,44,650"
"13-May-2025","EQ","238.00","239.47","231.05","239.50","231.50","231.65","233.74","304.70","146.30","4,48,37,486","10,48,03,81,213.75","3,09,388"
"12-May-2025","EQ","232.00","240.00","232.00","227.14","239.05","239.50","236.98","304.70","146.30","3,17,57,003","7,52,56,50,379.98","1,63,171"
"09-May-2025","EQ","222.00","229.00","222.00","229.81","228.15","227.14","226.20","304.70","146.30","2,44,15,321","5,52,28,55,143.34","2,55,926"
"08-May-2025","EQ","235.25","236.45","226.60","236.90","227.00","229.81","230.27","304.70","146.30","4,98,88,442","11,48,76,18,942.17","2,22,882"
"07-May-2025","EQ","228.60","237.67","228.60","232.64","236.48","236.90","234.26","304.70","146.30","3,16,14,852","7,40,60,83,012.83","1,37,963"
"06-May-2025","EQ","240.00","241.50","231.85","239.90","232.70","232.64","235.04","304.70","146.30","2,53,27,712","5,95,30,28,751.27","2,13,490"
"05-May-2025","EQ","234.50","240.97","232.93","234.29","240.10","239.90","238.94","304.70","146.30","3,79,48,115","9,06,71,75,346.83","2,40,824"
"02-May-2025","EQ","220.05","239.50","220.05","232.52","234.41","234.29","234.13","304.70","146.30","10,49,10,316","24,56,24,71,038.55","6,97,809"
"30-Apr-2025","EQ","232.00","234.75","226.10","231.11","231.43","232.52","231.06","304.70","146.30","4,58,31,746","10,59,00,29,248.45","2,13,328"
"29-Apr-2025","EQ","228.37","234.24","226.60","227.21","231.16","231.11","230.59","304.70","146.30","3,27,61,971","7,55,47,10,474.34","1,77,098"
"28-Apr-2025","EQ","226.00","231.99","225.06","228.81","226.70","227.21","227.58","304.70","146.30","2,93,27,020","6,67,43,31,221.86","1,46,990"
"25-Apr-2025","EQ","235.90","239.00","227.31","236.38","227.71","228.81","231.73","304.70","146.30","3,24,37,650","7,51,66,17,504.34","1,65,167"
"24-Apr-2025","EQ","237.00","241.37","235.00","239.24","236.80","236.38","237.78","304.70","146.30","4,61,03,369","10,96,22,63,425.59","1,86,390"
"23-Apr-2025","EQ","237.48","240.25","233.05","237.47","238.15","239.24","237.42","304.70","146.30","4,22,94,685","10,04,16,69,791.04","2,80,063"
"22-Apr-2025","EQ","236.00","243.45","235.00","234.24","236.57","237.47","238.74","304.70","146.30","5,96,67,380","14,24,52,60,298.96","3,20,284"
"21-Apr-2025","EQ","229.00","235.30","227.10","231.60","234.22","234.24","232.13","304.70","146.30","6,60,28,533","15,32,69,76,502.55","3,18,929"
"17-Apr-2025","EQ","220.60","236.14","220.38","222.08","232.00","231.60","230.19","304.70","146.30","7,01,25,937","16,14,22,93,627.55","3,02,980"
"16-Apr-2025","EQ","220.51","222.64","218.40","222.23","221.85","222.08","221.00","304.70","146.30","2,61,55,875","5,78,03,29,675.67","1,30,093"
"15-Apr-2025","EQ","224.25","224.25","220.10","217.20","222.90","222.23","221.95","304.70","146.30","4,50,34,496","9,99,54,55,680.55","1,94,207"
"11-Apr-2025","EQ","216.00","218.31","214.10","211.39","216.00","217.20","216.93","304.70","146.30","2,89,17,549","6,27,30,38,370.64","1,79,516"
"09-Apr-2025","EQ","216.00","216.00","209.86","215.19","211.15","211.39","211.64","304.70","146.30","2,53,59,931","5,36,71,59,351.21","1,62,551"
"08-Apr-2025","EQ","213.19","219.19","210.81","209.63","214.55","215.19","215.33","304.70","146.30","6,20,02,510","13,35,11,93,760.76","3,62,486"
"07-Apr-2025","EQ","196.00","211.00","194.80","210.53","211.00","209.63","205.47","304.70","146.30","6,49,32,923","13,34,18,95,638.20","3,34,420"
"04-Apr-2025","EQ","211.84","212.58","205.67","210.90","210.46","210.53","209.49","304.70","146.30","4,82,96,676","10,11,74,71,819.20","2,48,714"
"03-Apr-2025","EQ","208.15","214.00","208.00","212.03","211.00","210.90","211.51","304.70","146.30","4,44,47,473","9,40,11,28,837.48","2,98,707"
"02-Apr-2025","EQ","203.50","212.60","202.00","202.01","211.70","212.03","207.87","304.70","146.30","5,94,41,448","12,35,59,07,874.91","2,77,483"
"01-Apr-2025","EQ","201.70","205.00","198.85","201.70","203.35","202.01","201.89","304.70","146.30","6,33,69,467","12,79,35,74,019.85","3,61,222"
"28-Mar-2025","EQ","204.24","209.90","200.50","206.28","201.20","201.70","204.43","304.70","146.30","7,48,42,762","15,29,97,65,438.29","3,34,406"
"27-Mar-2025","EQ","204.47","208.75","200.37","203.29","203.00","206.28","205.79","304.70","146.30","40,04,14,753","82,40,01,47,801.58","5,39,248"
"26-Mar-2025","EQ","202.35","206.90","199.92","209.81","204.47","203.29","203.89","304.70","146.30","11,43,42,130","23,31,28,57,118.08","4,78,755"
