"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","2,585.90","2,614.90","2,574.70","2,574.40","2,607.50","2,608.50","2,601.93","2,877.75","2,276.95","5,52,351","1,43,71,78,104.10","32,454"
"06-Jun-2025","EQ","2,559.80","2,578.10","2,536.10","2,554.40","2,570.00","2,574.40","2,563.20","2,877.75","2,171.60","4,14,844","1,06,33,28,633.90","26,040"
"05-Jun-2025","EQ","2,555.10","2,599.00","2,538.90","2,549.70","2,556.00","2,554.40","2,573.58","2,877.75","2,171.60","9,50,620","2,44,64,96,212.60","49,176"
"04-Jun-2025","EQ","2,556.30","2,573.10","2,541.80","2,552.40","2,552.00","2,549.70","2,550.45","2,877.75","2,171.60","5,29,006","1,34,92,02,389.40","30,573"
"03-Jun-2025","EQ","2,543.00","2,563.00","2,512.10","2,524.10","2,556.30","2,552.40","2,544.31","2,877.75","2,171.60","14,93,898","3,80,09,38,071.70","77,061"
"02-Jun-2025","EQ","2,546.00","2,549.60","2,511.00","2,545.80","2,519.30","2,524.10","2,523.38","2,877.75","2,171.60","12,09,305","3,05,15,37,974.80","46,225"
"30-May-2025","EQ","2,575.00","2,604.90","2,536.00","2,573.60","2,536.00","2,545.80","2,553.38","2,877.75","2,171.60","12,03,864","3,07,39,22,948.50","50,519"
"29-May-2025","EQ","2,577.60","2,593.90","2,552.20","2,577.60","2,579.00","2,573.60","2,571.68","2,877.75","2,171.60","6,16,258","1,58,48,16,234.10","40,911"
"28-May-2025","EQ","2,620.80","2,620.80","2,570.10","2,614.20","2,575.00","2,577.60","2,587.36","2,877.75","2,171.60","8,49,149","2,19,70,50,481.90","40,997"
"27-May-2025","EQ","2,656.00","2,658.40","2,595.00","2,656.40","2,613.00","2,614.20","2,614.14","2,877.75","2,171.60","8,74,537","2,28,61,58,341.20","64,436"
"26-May-2025","EQ","2,672.50","2,696.60","2,640.10","2,659.40","2,652.00","2,656.40","2,663.82","2,877.75","2,171.60","4,35,977","1,16,13,64,794.40","35,880"
"23-May-2025","EQ","2,675.00","2,746.90","2,651.00","2,674.60","2,656.00","2,659.40","2,700.29","2,877.75","2,171.60","9,90,691","2,67,51,55,414.60","63,465"
"22-May-2025","EQ","2,700.00","2,702.30","2,648.30","2,706.90","2,684.00","2,674.60","2,671.04","2,877.75","2,171.60","5,41,069","1,44,52,14,592.90","49,315"
"21-May-2025","EQ","2,717.00","2,749.90","2,692.20","2,720.80","2,703.00","2,706.90","2,717.20","2,877.75","2,171.60","3,04,264","82,67,45,860.10","24,304"
"20-May-2025","EQ","2,754.00","2,754.00","2,710.20","2,727.00","2,717.00","2,720.80","2,728.95","2,877.75","2,171.60","5,20,661","1,42,08,57,968.40","41,129"
"19-May-2025","EQ","2,820.00","2,820.10","2,721.00","2,804.20","2,723.00","2,727.00","2,751.18","2,877.75","2,171.60","5,75,525","1,58,33,73,082.30","42,970"
"16-May-2025","EQ","2,845.00","2,845.00","2,775.10","2,824.80","2,808.00","2,804.20","2,800.93","2,877.75","2,171.60","7,00,214","1,96,12,53,234.00","48,990"
"15-May-2025","EQ","2,734.30","2,829.50","2,720.00","2,737.20","2,829.50","2,824.80","2,790.61","2,877.75","2,171.60","13,53,535","3,77,71,94,229.10","92,091"
"14-May-2025","EQ","2,719.90","2,747.00","2,705.30","2,708.70","2,739.00","2,737.20","2,728.79","2,877.75","2,171.60","3,30,652","90,22,78,922.10","32,256"
"13-May-2025","EQ","2,741.00","2,748.00","2,702.70","2,742.80","2,713.40","2,708.70","2,716.60","2,877.75","2,171.60","3,13,964","85,29,13,584.30","28,936"
"12-May-2025","EQ","2,671.10","2,761.90","2,671.10","2,634.80","2,741.00","2,742.80","2,734.31","2,877.75","2,171.60","4,98,304","1,36,25,16,497.90","34,800"
"09-May-2025","EQ","2,676.90","2,684.00","2,626.60","2,698.70","2,638.90","2,634.80","2,642.42","2,877.75","2,171.60","4,44,671","1,17,50,09,545.00","46,194"
