"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","755.10","765.85","745.05","755.10","760.00","760.40","755.02","791.10","561.30","31,51,657","2,37,95,53,543.70","80,043"
"06-Jun-2025","EQ","764.40","764.40","750.55","761.60","755.00","755.10","756.34","791.10","511.40","12,15,092","91,90,18,188.30","39,045"
"05-Jun-2025","EQ","759.00","768.15","755.50","758.80","761.00","761.60","761.49","791.10","511.40","16,38,871","1,24,79,87,162.00","48,407"
"04-Jun-2025","EQ","754.00","766.40","754.00","757.90","758.10","758.80","761.13","791.10","511.40","23,22,495","1,76,77,26,065.00","58,809"
"03-Jun-2025","EQ","748.40","768.50","747.00","766.70","758.00","757.90","758.12","791.10","511.40","33,57,675","2,54,55,27,527.65","69,186"
"02-Jun-2025","EQ","771.75","782.50","762.50","776.85","765.00","766.70","767.93","791.10","511.40","34,56,222","2,65,41,34,385.00","86,317"
"30-May-2025","EQ","780.90","786.75","775.35","780.90","776.25","776.85","777.81","791.10","511.40","31,84,086","2,47,66,24,501.20","63,349"
"29-May-2025","EQ","788.00","791.10","778.65","789.45","781.00","780.90","782.85","791.10","511.40","29,16,417","2,28,31,25,746.20","66,108"
"28-May-2025","EQ","779.80","790.75","776.05","775.80","787.55","789.45","786.15","790.75","511.40","41,63,057","3,27,27,89,463.15","75,055"
"27-May-2025","EQ","780.00","781.20","769.70","780.00","776.00","775.80","774.52","786.15","511.40","34,72,288","2,68,93,55,150.10","67,184"
"26-May-2025","EQ","784.30","786.15","777.70","780.40","780.00","780.00","782.25","786.15","511.40","23,43,463","1,83,31,84,669.85","58,425"
"23-May-2025","EQ","755.80","781.35","752.05","755.85","780.65","780.40","774.40","781.35","511.40","45,11,523","3,49,37,38,200.85","82,131"
"22-May-2025","EQ","759.70","762.05","752.20","759.70","757.60","755.85","755.57","762.05","511.40","23,91,952","1,80,72,93,921.90","67,897"
"21-May-2025","EQ","748.00","761.00","746.00","747.05","758.00","759.70","757.09","761.20","511.40","19,28,533","1,46,00,69,224.40","51,619"
"20-May-2025","EQ","748.55","757.65","745.75","750.95","747.25","747.05","751.68","761.20","511.40","21,91,829","1,64,75,44,687.70","64,451"
"19-May-2025","EQ","747.00","756.00","746.35","750.55","749.45","750.95","752.58","761.20","511.40","11,87,450","89,36,57,039.45","38,696"
"16-May-2025","EQ","750.00","754.00","747.05","751.20","748.65","750.55","750.09","761.20","511.40","14,26,234","1,06,98,07,267.10","43,247"
"15-May-2025","EQ","743.05","753.60","734.00","741.70","748.65","751.20","745.11","761.20","511.40","33,38,741","2,48,77,31,783.90","1,05,170"
"14-May-2025","EQ","740.00","750.00","734.15","735.05","741.00","741.70","743.52","761.20","511.40","20,58,831","1,53,07,83,673.35","62,944"
"13-May-2025","EQ","735.40","742.40","732.15","734.60","735.30","735.05","737.00","761.20","511.40","14,45,358","1,06,52,22,692.25","72,517"
"12-May-2025","EQ","720.00","737.00","720.00","713.60","733.65","734.60","733.41","761.20","511.40","14,88,045","1,09,13,40,645.65","55,032"
"09-May-2025","EQ","709.00","717.00","708.40","722.95","716.45","713.60","712.88","761.20","511.40","32,10,705","2,28,88,35,041.60","80,101"
"08-May-2025","EQ","718.50","726.20","715.50","723.90","718.05","722.95","722.68","761.20","511.40","30,57,761","2,20,97,91,856.45","81,929"
"07-May-2025","EQ","719.00","728.85","718.00","722.60","721.40","723.90","724.40","761.20","511.40","16,57,343","1,20,05,71,996.80","58,325"
"06-May-2025","EQ","738.90","742.65","718.80","738.90","723.00","722.60","728.13","761.20","511.40","14,98,360","1,09,10,05,418.45","63,756"
