"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","4,304.90","4,360.00","4,275.00","4,268.00","4,342.00","4,349.40","4,326.16","6,246.25","3,344.00","4,95,256","2,14,25,58,785.70","46,833"
"06-Jun-2025","EQ","4,189.00","4,296.90","4,158.10","4,178.90","4,277.00","4,268.00","4,250.65","6,246.25","3,344.00","5,51,467","2,34,40,94,558.70","49,313"
"05-Jun-2025","EQ","4,227.80","4,227.80","4,172.80","4,200.60","4,177.00","4,178.90","4,197.67","6,246.25","3,344.00","3,94,746","1,65,70,12,703.40","46,740"
"04-Jun-2025","EQ","4,213.00","4,240.70","4,191.30","4,208.60","4,203.70","4,200.60","4,213.66","6,246.25","3,344.00","3,53,642","1,49,01,25,481.60","35,562"
"03-Jun-2025","EQ","4,250.00","4,280.50","4,201.00","4,232.30","4,205.10","4,208.60","4,234.69","6,246.25","3,344.00","4,17,447","1,76,77,59,767.50","40,597"
"02-Jun-2025","EQ","4,310.10","4,318.70","4,196.00","4,309.30","4,221.00","4,232.30","4,227.50","6,246.25","3,344.00","7,71,163","3,26,00,88,575.50","64,801"
"30-May-2025","EQ","4,341.60","4,380.00","4,289.30","4,356.60","4,310.10","4,309.30","4,322.44","6,246.25","3,344.00","9,14,311","3,95,20,53,165.30","47,296"
"29-May-2025","EQ","4,384.00","4,384.00","4,332.10","4,362.20","4,355.00","4,356.60","4,355.58","6,246.25","3,344.00","3,69,150","1,60,78,60,799.70","39,719"
"28-May-2025","EQ","4,368.00","4,383.40","4,310.50","4,338.20","4,376.00","4,362.20","4,341.15","6,246.25","3,344.00","4,24,160","1,84,13,43,547.70","37,891"
"27-May-2025","EQ","4,370.50","4,374.90","4,300.00","4,359.40","4,348.90","4,338.20","4,329.34","6,246.25","3,344.00","4,11,809","1,78,28,62,252.40","42,455"
"26-May-2025","EQ","4,309.90","4,418.30","4,300.00","4,308.80","4,358.00","4,359.40","4,377.33","6,246.25","3,344.00","7,65,160","3,34,93,56,751.80","65,081"
"23-May-2025","EQ","4,288.90","4,335.00","4,276.40","4,276.30","4,307.50","4,308.80","4,309.09","6,246.25","3,344.00","4,61,297","1,98,77,72,365.30","35,549"
"22-May-2025","EQ","4,250.00","4,284.00","4,202.90","4,263.80","4,272.10","4,276.30","4,250.89","6,246.25","3,344.00","3,94,809","1,67,82,90,104.30","61,769"
"21-May-2025","EQ","4,241.00","4,288.90","4,212.00","4,241.60","4,253.00","4,263.80","4,253.37","6,246.25","3,344.00","3,96,931","1,68,82,94,135.80","35,441"
"20-May-2025","EQ","4,409.00","4,437.20","4,231.40","4,387.70","4,249.00","4,241.60","4,286.71","6,246.25","3,344.00","8,42,529","3,61,16,81,386.40","71,488"
"19-May-2025","EQ","4,323.10","4,454.60","4,323.10","4,345.30","4,384.00","4,387.70","4,408.31","6,246.25","3,344.00","7,53,807","3,32,30,11,906.40","84,076"
"16-May-2025","EQ","4,330.00","4,363.00","4,294.30","4,325.00","4,335.00","4,345.30","4,325.72","6,246.25","3,344.00","7,65,257","3,31,02,87,241.90","76,782"
"15-May-2025","EQ","4,083.00","4,347.00","4,067.20","4,067.20","4,318.00","4,325.00","4,254.84","6,246.25","3,344.00","26,29,014","11,18,60,27,876.80","2,02,903"
"14-May-2025","EQ","4,070.00","4,107.80","3,933.00","4,063.60","4,050.00","4,067.20","4,036.55","6,246.25","3,344.00","11,99,813","4,84,31,04,200.60","1,20,276"
"13-May-2025","EQ","3,999.00","4,098.40","3,957.50","3,984.90","4,055.50","4,063.60","4,035.03","6,246.25","3,344.00","11,97,629","4,83,24,69,645.00","1,05,993"
"12-May-2025","EQ","3,929.90","3,999.50","3,910.00","3,853.90","3,998.00","3,984.90","3,951.12","6,246.25","3,344.00","5,47,435","2,16,29,80,822.10","49,149"
"09-May-2025","EQ","3,735.00","3,896.10","3,735.00","3,800.50","3,850.00","3,853.90","3,842.49","6,246.25","3,344.00","8,59,973","3,30,44,33,724.50","66,473"
