"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","653.40","654.60","649.25","650.15","650.00","650.80","651.42","772.65","546.45","28,22,003","1,83,82,97,381.80","1,24,366"
"06-Jun-2025","EQ","637.25","651.25","635.10","637.25","649.70","650.15","645.25","772.65","546.45","54,92,102","3,54,37,97,468.35","74,622"
"05-Jun-2025","EQ","638.00","641.40","633.50","635.85","638.00","637.25","637.17","772.65","546.45","35,65,664","2,27,19,25,915.10","65,359"
"04-Jun-2025","EQ","634.10","640.90","630.65","632.00","635.90","635.85","636.25","772.65","546.45","30,66,925","1,95,13,18,709.25","51,774"
"03-Jun-2025","EQ","636.00","640.90","629.60","631.10","631.50","632.00","634.68","772.65","546.45","37,83,426","2,40,12,62,210.80","78,311"
"02-Jun-2025","EQ","628.95","635.75","618.00","633.50","630.65","631.10","628.94","772.65","546.45","83,97,065","5,28,12,15,208.35","85,943"
"30-May-2025","EQ","647.80","650.90","632.15","650.00","633.70","633.50","636.22","772.65","546.45","90,54,009","5,76,03,33,009.75","83,894"
"29-May-2025","EQ","649.95","653.55","645.10","649.95","651.00","650.00","649.31","772.65","546.45","45,45,776","2,95,16,12,842.80","68,221"
"28-May-2025","EQ","659.45","662.00","647.90","659.45","648.60","649.95","652.53","772.65","546.45","35,46,275","2,31,40,61,279.30","76,509"
"27-May-2025","EQ","661.40","665.70","656.50","661.45","661.00","659.45","661.31","772.65","546.45","42,23,074","2,79,27,70,109.40","71,060"
"26-May-2025","EQ","655.00","669.70","653.30","650.10","661.00","661.45","662.21","772.65","546.45","68,26,417","4,52,05,34,377.85","1,02,831"
"23-May-2025","EQ","653.00","655.55","642.60","649.55","650.05","650.10","650.36","772.65","546.45","34,48,707","2,24,29,02,704.10","56,053"
"22-May-2025","EQ","663.00","663.70","642.50","663.00","649.55","649.55","650.06","772.65","546.45","67,84,976","4,41,06,40,951.35","1,30,373"
"21-May-2025","EQ","667.10","671.00","654.60","662.75","661.70","663.00","661.95","772.65","546.45","86,23,519","5,70,83,51,652.05","98,946"
"20-May-2025","EQ","668.00","671.00","655.55","658.35","666.00","662.75","663.69","772.65","546.45","79,50,974","5,27,70,10,845.40","1,31,595"
