"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","831.25","840.00","821.50","822.85","836.00","836.65","834.02","1,550.00","606.00","68,94,267","5,74,99,56,610.90","1,31,404"
"06-Jun-2025","EQ","807.00","845.85","805.00","803.20","824.00","822.85","824.42","1,550.00","606.00","1,09,16,786","8,99,99,88,309.80","1,60,750"
"05-Jun-2025","EQ","817.00","818.50","800.30","814.35","803.05","803.20","806.20","1,550.00","606.00","33,66,237","2,71,38,44,659.25","62,005"
"04-Jun-2025","EQ","807.80","815.45","803.00","800.85","815.20","814.35","811.26","1,550.00","606.00","38,77,545","3,14,56,97,502.60","71,769"
"03-Jun-2025","EQ","818.45","818.45","798.15","812.70","799.95","800.85","806.78","1,550.00","606.00","32,41,313","2,61,50,28,279.00","78,731"
"02-Jun-2025","EQ","815.00","824.80","809.55","816.95","812.05","812.70","815.74","1,550.00","606.00","40,94,000","3,33,96,22,159.50","71,709"
"30-May-2025","EQ","821.10","823.85","811.00","824.15","818.45","816.95","816.19","1,550.00","606.00","56,30,146","4,59,52,93,212.85","93,436"
"29-May-2025","EQ","805.15","827.00","803.05","805.15","825.00","824.15","817.66","1,550.00","606.00","87,91,159","7,18,81,94,082.45","1,27,666"
"28-May-2025","EQ","820.50","820.70","802.90","820.70","804.90","805.15","811.94","1,550.00","606.00","53,08,859","4,31,04,84,126.45","1,02,860"
"27-May-2025","EQ","798.60","827.60","798.00","800.10","821.00","820.70","817.21","1,550.00","606.00","1,03,46,628","8,45,53,90,002.80","1,88,943"
"26-May-2025","EQ","793.35","802.00","790.75","793.40","800.75","800.10","797.53","1,550.00","606.00","53,81,797","4,29,21,39,769.70","91,505"
"23-May-2025","EQ","781.10","799.20","777.30","785.00","792.60","793.40","788.99","1,550.00","606.00","92,60,373","7,30,63,58,794.00","1,23,977"
"22-May-2025","EQ","750.00","796.70","725.80","769.95","783.50","785.00","772.94","1,550.00","606.00","4,34,77,564","33,60,55,84,192.95","5,95,363"
"21-May-2025","EQ","783.00","786.70","761.00","782.25","766.80","769.95","770.46","1,550.00","606.00","81,34,620","6,26,73,77,044.25","1,17,340"
"20-May-2025","EQ","785.00","799.70","780.05","784.05","782.00","782.25","789.07","1,550.00","606.00","66,37,953","5,23,77,82,119.15","1,15,771"
"19-May-2025","EQ","779.90","791.95","770.30","780.20","782.45","784.05","782.34","1,550.00","606.00","71,93,105","5,62,74,46,487.95","1,12,148"
"16-May-2025","EQ","750.00","785.50","750.00","780.50","784.70","780.20","767.39","1,550.00","606.00","2,71,68,178","20,84,86,18,062.00","3,20,489"
"15-May-2025","EQ","778.00","782.65","757.85","781.35","780.00","780.50","774.91","1,550.00","606.00","73,50,633","5,69,60,81,514.40","1,74,654"
"14-May-2025","EQ","775.00","786.40","764.55","770.10","781.95","781.35","774.94","1,550.00","606.00","91,64,606","7,10,20,17,857.75","1,72,774"
"13-May-2025","EQ","794.00","804.00","769.05","788.50","770.00","770.10","780.24","1,550.00","606.00","1,08,48,937","8,46,47,83,765.75","2,10,993"
"12-May-2025","EQ","835.00","838.00","786.00","818.20","790.00","788.50","802.04","1,550.00","606.00","1,45,73,162","11,68,82,37,990.30","2,37,496"
"09-May-2025","EQ","805.50","826.45","805.50","826.80","817.50","818.20","818.13","1,550.00","606.00","50,74,137","4,15,13,16,494.85","98,032"
"08-May-2025","EQ","835.00","844.25","816.00","833.80","816.65","826.80","828.65","1,550.00","606.00","1,32,90,700","11,01,34,01,526.15","1,75,673"
"07-May-2025","EQ","827.00","842.00","816.10","831.80","830.60","833.80","830.10","1,550.00","606.00","94,32,595","7,83,00,00,578.50","1,56,666"
"06-May-2025","EQ","846.75","851.25","821.90","846.75","833.90","831.80","833.75","1,550.00","606.00","1,00,40,705","8,37,14,71,901.35","1,31,351"
"05-May-2025","EQ","855.00","862.00","840.55","853.00","848.15","846.75","847.64","1,550.00","606.00","78,75,811","6,67,58,32,630.30","1,39,401"
"02-May-2025","EQ","835.00","863.50","833.10","838.40","850.50","853.00","853.57","1,550.00","606.00","90,74,101","7,74,54,16,059.90","1,57,808"
"30-Apr-2025","EQ","820.00","843.10","810.05","836.95","833.00","838.40","825.85","1,550.00","606.00","2,02,41,775","16,71,66,53,985.60","2,65,011"
"29-Apr-2025","EQ","841.95","852.00","828.55","830.55","837.50","836.95","839.07","1,550.00","606.00","87,69,289","7,35,80,50,027.50","1,54,246"
"28-Apr-2025","EQ","828.00","841.80","821.05","822.35","830.50","830.55","831.53","1,550.00","606.00","69,29,801","5,76,23,23,995.80","1,19,146"
"25-Apr-2025","EQ","822.00","829.00","807.35","819.75","820.00","822.35","820.55","1,550.00","606.00","1,17,24,192","9,62,02,80,799.15","1,99,413"
"24-Apr-2025","EQ","795.00","837.50","793.30","794.20","819.35","819.75","823.90","1,550.00","606.00","2,25,77,201","18,60,14,68,625.05","3,06,159"
"23-Apr-2025","EQ","797.45","805.00","782.00","787.50","793.00","794.20","793.97","1,550.00","606.00","1,06,57,940","8,46,21,32,566.70","1,85,205"
"22-Apr-2025","EQ","790.00","808.00","775.40","828.20","788.55","787.50","793.03","1,550.00","606.00","2,56,98,945","20,38,00,71,681.95","4,09,669"
"21-Apr-2025","EQ","802.00","841.90","798.35","794.70","826.95","828.20","826.36","1,550.00","606.00","1,56,39,685","12,92,40,27,624.00","2,51,321"
"17-Apr-2025","EQ","788.25","801.00","777.30","788.25","792.70","794.70","791.88","1,557.90","606.00","1,39,86,710","11,07,58,01,344.00","2,25,534"
"16-Apr-2025","EQ","747.00","794.40","733.00","735.90","785.50","788.25","771.92","1,557.90","606.00","3,12,52,589","24,12,43,97,629.75","4,19,648"
"15-Apr-2025","EQ","705.00","741.00","693.05","689.50","735.50","735.90","726.95","1,557.90","606.00","1,24,52,925","9,05,26,04,452.20","2,28,154"
"11-Apr-2025","EQ","684.95","694.00","675.50","678.55","693.00","689.50","682.95","1,576.35","606.00","50,19,467","3,42,80,26,541.55","1,78,907"
"09-Apr-2025","EQ","679.65","683.30","670.25","679.65","678.30","678.55","677.98","1,576.35","606.00","42,43,562","2,87,70,37,654.20","1,06,130"
