"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,578.00","1,588.00","1,571.00","1,563.80","1,572.00","1,572.90","1,577.22","2,006.45","1,307.00","29,03,202","4,57,89,75,981.40","1,13,233"
"06-Jun-2025","EQ","1,554.70","1,568.90","1,543.10","1,554.30","1,568.00","1,563.80","1,557.14","2,006.45","1,307.00","39,60,020","6,16,62,93,295.00","90,826"
"05-Jun-2025","EQ","1,547.90","1,567.70","1,541.60","1,551.20","1,554.50","1,554.30","1,554.78","2,006.45","1,307.00","69,48,539","10,80,34,74,457.10","1,28,309"
"04-Jun-2025","EQ","1,543.00","1,557.30","1,541.40","1,543.00","1,550.00","1,551.20","1,550.49","2,006.45","1,307.00","45,48,307","7,05,21,04,860.60","1,18,648"
"03-Jun-2025","EQ","1,559.00","1,567.30","1,535.60","1,553.80","1,543.00","1,543.00","1,546.37","2,006.45","1,307.00","68,53,403","10,59,78,70,232.10","1,95,003"
"02-Jun-2025","EQ","1,560.00","1,560.00","1,539.00","1,562.70","1,551.00","1,553.80","1,550.25","2,006.45","1,307.00","43,74,509","6,78,15,87,274.00","1,31,906"
"30-May-2025","EQ","1,571.00","1,572.00","1,555.10","1,585.60","1,561.90","1,562.70","1,563.06","2,006.45","1,307.00","1,31,48,092","20,55,12,63,119.00","1,67,400"
"29-May-2025","EQ","1,589.00","1,608.90","1,576.60","1,571.80","1,586.50","1,585.60","1,588.46","2,006.45","1,307.00","86,09,500","13,67,58,17,253.90","1,94,291"
"28-May-2025","EQ","1,581.00","1,587.70","1,570.00","1,570.10","1,571.80","1,571.80","1,576.59","2,006.45","1,307.00","36,23,370","5,71,25,74,459.00","1,36,660"
"27-May-2025","EQ","1,579.90","1,582.90","1,556.40","1,580.50","1,570.90","1,570.10","1,567.80","2,006.45","1,307.00","77,75,714","12,19,07,51,506.20","2,06,543"
"26-May-2025","EQ","1,566.60","1,583.80","1,562.70","1,564.80","1,582.00","1,580.50","1,577.54","2,006.45","1,307.00","31,70,102","5,00,09,73,812.70","84,853"
"23-May-2025","EQ","1,550.00","1,587.20","1,550.00","1,547.50","1,566.10","1,564.80","1,573.82","2,006.45","1,307.00","50,38,421","7,92,95,81,517.50","1,19,392"
"22-May-2025","EQ","1,555.50","1,560.80","1,540.00","1,568.50","1,551.00","1,547.50","1,548.79","2,006.45","1,307.00","61,58,990","9,53,89,94,454.70","1,62,974"
"21-May-2025","EQ","1,567.90","1,571.00","1,552.10","1,560.60","1,566.90","1,568.50","1,566.02","2,006.45","1,307.00","41,57,309","6,51,04,14,089.90","1,12,304"
"20-May-2025","EQ","1,570.00","1,583.50","1,558.00","1,559.80","1,563.50","1,560.60","1,566.97","2,006.45","1,307.00","71,43,998","11,19,44,55,092.90","1,60,169"
"19-May-2025","EQ","1,576.50","1,585.00","1,555.70","1,589.90","1,557.90","1,559.80","1,565.44","2,006.45","1,307.00","88,55,798","13,86,32,31,180.10","1,86,064"
"16-May-2025","EQ","1,612.60","1,612.60","1,581.50","1,613.00","1,589.40","1,589.90","1,591.32","2,006.45","1,307.00","45,76,751","7,28,30,67,573.40","1,32,211"
"15-May-2025","EQ","1,589.80","1,618.60","1,571.00","1,592.40","1,609.50","1,613.00","1,600.37","2,006.45","1,307.00","1,11,51,167","17,84,60,28,418.30","2,26,053"
"14-May-2025","EQ","1,574.00","1,595.00","1,569.50","1,568.60","1,592.80","1,592.40","1,588.83","2,006.45","1,307.00","48,70,057","7,73,76,87,686.00","1,44,908"
"13-May-2025","EQ","1,609.00","1,612.20","1,564.60","1,626.90","1,567.90","1,568.60","1,579.63","2,006.45","1,307.00","1,28,46,210","20,29,22,58,361.30","3,35,293"
"12-May-2025","EQ","1,537.00","1,632.00","1,532.00","1,507.60","1,623.50","1,626.90","1,593.89","2,006.45","1,307.00","1,13,72,857","18,12,71,26,262.50","2,90,108"
"09-May-2025","EQ","1,500.70","1,511.40","1,494.10","1,511.40","1,507.20","1,507.60","1,504.20","2,006.45","1,307.00","44,78,653","6,73,67,82,019.20","1,44,158"
"08-May-2025","EQ","1,508.00","1,516.50","1,501.20","1,508.30","1,506.00","1,511.40","1,508.80","2,006.45","1,307.00","84,24,409","12,71,07,83,626.50","2,17,543"
"07-May-2025","EQ","1,500.00","1,518.80","1,496.60","1,511.50","1,508.80","1,508.30","1,509.03","2,006.45","1,307.00","56,91,799","8,58,91,04,210.90","1,44,103"
"06-May-2025","EQ","1,506.00","1,515.60","1,499.10","1,508.60","1,511.00","1,511.50","1,509.58","2,006.45","1,307.00","42,70,530","6,44,66,98,483.90","1,05,354"
"05-May-2025","EQ","1,515.00","1,523.00","1,502.80","1,506.80","1,507.00","1,508.60","1,509.96","2,006.45","1,307.00","42,82,493","6,46,63,87,044.70","1,30,549"
