"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,006.30","1,017.00","1,001.95","1,004.90","1,006.45","1,008.00","1,008.69","1,074.90","854.15","18,64,322","1,88,05,22,469.50","30,065"
"06-Jun-2025","EQ","968.75","1,010.65","967.65","968.75","1,003.20","1,004.90","998.28","1,074.90","823.80","20,89,570","2,08,59,76,652.25","53,074"
"05-Jun-2025","EQ","972.80","976.90","964.65","968.55","970.60","968.75","969.65","1,074.90","823.80","21,82,562","2,11,63,25,682.15","39,957"
"04-Jun-2025","EQ","973.00","979.50","962.15","973.80","968.35","968.55","969.58","1,074.90","823.80","23,98,032","2,32,50,75,210.35","55,518"
"03-Jun-2025","EQ","980.05","987.35","972.05","978.80","974.00","973.80","977.29","1,074.90","823.80","11,38,571","1,11,27,12,043.90","37,126"
"02-Jun-2025","EQ","987.00","987.00","969.25","993.50","978.80","978.80","977.25","1,074.90","823.80","17,90,184","1,74,94,63,082.25","46,303"
"30-May-2025","EQ","1,003.00","1,012.50","990.50","1,006.20","994.00","993.50","996.84","1,074.90","823.80","17,10,817","1,70,54,16,533.20","36,900"
"29-May-2025","EQ","1,020.40","1,023.70","998.20","1,001.00","1,009.90","1,006.20","1,008.63","1,074.90","823.80","32,82,246","3,31,05,74,472.90","75,570"
"28-May-2025","EQ","1,014.90","1,017.90","998.50","1,013.70","1,000.00","1,001.00","1,003.72","1,074.90","823.80","17,90,498","1,79,71,61,567.50","42,441"
"27-May-2025","EQ","1,032.00","1,033.10","1,009.00","1,032.30","1,011.40","1,013.70","1,019.24","1,074.90","823.80","11,58,374","1,18,06,62,127.20","33,363"
"26-May-2025","EQ","1,009.20","1,036.00","979.50","1,008.50","1,030.00","1,032.30","1,016.59","1,074.90","823.80","47,16,572","4,79,47,99,492.90","1,20,873"
"23-May-2025","EQ","1,011.00","1,022.50","1,005.10","1,005.60","1,009.20","1,008.50","1,013.67","1,074.90","823.80","15,68,154","1,58,95,88,922.70","49,284"
"22-May-2025","EQ","1,002.00","1,011.50","987.90","1,000.90","1,008.00","1,005.60","998.72","1,074.90","823.80","12,83,310","1,28,16,63,383.10","45,774"
"21-May-2025","EQ","1,016.00","1,018.90","999.10","1,012.70","1,001.90","1,000.90","1,008.30","1,074.90","823.80","8,75,245","88,25,05,759.60","31,875"
"20-May-2025","EQ","1,031.00","1,034.50","1,010.80","1,019.60","1,013.70","1,012.70","1,020.57","1,074.90","823.80","16,24,336","1,65,77,45,218.70","43,233"
"19-May-2025","EQ","1,033.90","1,034.00","1,016.70","1,021.80","1,018.70","1,019.60","1,022.51","1,074.90","823.80","14,34,608","1,46,69,00,054.10","42,084"
"16-May-2025","EQ","1,043.40","1,044.60","1,020.30","1,038.30","1,024.30","1,021.80","1,026.55","1,074.90","823.80","10,48,380","1,07,62,14,554.10","40,109"
"15-May-2025","EQ","993.00","1,040.60","990.00","989.30","1,037.00","1,038.30","1,022.73","1,074.90","823.80","52,97,654","5,41,80,75,093.50","1,35,759"
"14-May-2025","EQ","995.20","1,012.10","987.00","989.90","989.70","989.30","995.94","1,074.90","823.80","16,50,066","1,64,33,70,414.40","45,556"
"13-May-2025","EQ","1,005.20","1,010.90","988.10","1,005.20","989.40","989.90","994.12","1,074.90","823.80","9,34,177","92,86,82,537.10","35,416"
"12-May-2025","EQ","973.00","1,007.70","969.70","957.00","1,004.30","1,005.20","992.76","1,074.90","823.80","13,35,817","1,32,61,44,079.90","40,280"
"09-May-2025","EQ","935.00","959.00","935.00","953.20","953.70","957.00","954.21","1,074.90","823.80","14,81,537","1,41,36,98,992.90","47,389"
"08-May-2025","EQ","962.50","969.50","949.00","966.10","949.80","953.20","956.74","1,074.90","823.80","16,46,385","1,57,51,62,665.10","52,592"
"07-May-2025","EQ","957.90","975.00","957.90","967.50","966.00","966.10","968.73","1,074.90","823.80","10,14,461","98,27,39,537.50","34,689"
"06-May-2025","EQ","960.00","971.90","955.00","955.50","963.00","967.50","964.58","1,074.90","823.80","14,62,046","1,41,02,56,590.10","40,539"
"05-May-2025","EQ","959.80","972.40","952.70","973.20","955.20","955.50","962.49","1,074.90","823.80","16,46,426","1,58,46,66,059.80","47,398"
"02-May-2025","EQ","1,021.20","1,037.00","948.30","1,029.80","970.00","973.20","976.70","1,074.90","823.80","79,15,918","7,73,15,06,220.60","1,58,550"
"30-Apr-2025","EQ","1,030.00","1,042.30","1,021.00","1,035.60","1,025.10","1,029.80","1,031.03","1,074.90","823.80","17,55,328","1,80,98,02,545.80","50,434"
"29-Apr-2025","EQ","1,055.00","1,061.60","1,034.10","1,054.40","1,035.80","1,035.60","1,046.73","1,074.90","823.80","12,06,750","1,26,31,35,945.10","46,723"
"28-Apr-2025","EQ","1,021.40","1,058.90","1,019.20","1,028.40","1,058.30","1,054.40","1,050.27","1,074.90","823.80","14,85,915","1,56,06,06,924.20","52,873"
"25-Apr-2025","EQ","1,050.00","1,056.90","1,017.60","1,044.50","1,021.40","1,028.40","1,029.13","1,074.90","823.80","27,84,217","2,86,53,15,600.20","65,390"
"24-Apr-2025","EQ","1,035.50","1,047.50","1,029.50","1,039.20","1,044.00","1,044.50","1,039.73","1,074.90","823.80","12,42,921","1,29,23,02,726.30","41,258"
"23-Apr-2025","EQ","1,051.00","1,053.90","1,028.50","1,044.20","1,035.70","1,039.20","1,038.21","1,074.90","823.80","8,93,969","92,81,29,223.70","38,951"
"22-Apr-2025","EQ","1,060.00","1,060.40","1,037.00","1,034.00","1,044.90","1,044.20","1,045.03","1,074.90","823.80","21,53,582","2,25,05,65,564.70","58,416"
"21-Apr-2025","EQ","1,001.00","1,043.80","1,000.50","1,007.20","1,037.50","1,034.00","1,029.04","1,074.90","823.80","13,45,056","1,38,41,19,645.70","52,209"
"17-Apr-2025","EQ","996.00","1,008.60","987.10","1,009.40","1,008.00","1,007.20","999.96","1,074.90","823.80","20,74,019","2,07,39,26,043.30","78,573"
"16-Apr-2025","EQ","1,003.00","1,015.10","992.10","1,008.00","1,010.10","1,009.40","1,001.64","1,074.90","823.80","12,81,034","1,28,31,37,112.70","45,113"
"15-Apr-2025","EQ","1,010.00","1,015.70","1,002.20","990.25","1,010.30","1,008.00","1,007.34","1,074.90","823.80","12,87,903","1,29,73,59,568.90","42,894"
"11-Apr-2025","EQ","972.45","997.00","968.35","945.55","992.70","990.25","987.51","1,074.90","823.80","36,41,633","3,59,61,65,854.35","80,864"
"09-Apr-2025","EQ","945.15","953.40","938.05","954.60","950.00","945.55","944.90","1,074.90","823.80","17,73,658","1,67,59,28,844.20","70,593"
"08-Apr-2025","EQ","949.35","970.45","933.80","930.30","956.20","954.60","952.02","1,074.90","823.80","17,17,533","1,63,51,33,684.05","56,746"
"07-Apr-2025","EQ","906.00","959.00","905.20","1,005.75","930.00","930.30","931.27","1,074.90","823.80","45,81,682","4,26,67,68,990.80","1,50,647"
"04-Apr-2025","EQ","1,032.30","1,038.95","997.85","1,044.05","1,008.35","1,005.75","1,009.02","1,074.90","823.80","38,18,643","3,85,31,01,814.75","79,057"
"03-Apr-2025","EQ","1,045.00","1,055.80","1,041.55","1,055.90","1,043.05","1,044.05","1,047.93","1,074.90","823.80","16,07,693","1,68,47,43,161.55","44,735"
"02-Apr-2025","EQ","1,058.10","1,066.35","1,046.25","1,056.25","1,055.40","1,055.90","1,054.26","1,074.90","823.80","8,78,958","92,66,50,012.25","39,851"
"01-Apr-2025","EQ","1,063.00","1,070.45","1,053.35","1,063.20","1,060.00","1,056.25","1,059.56","1,074.90","823.80","17,76,263","1,88,20,58,519.90","53,366"
"28-Mar-2025","EQ","1,059.75","1,068.20","1,053.95","1,059.75","1,060.00","1,063.20","1,062.40","1,074.90","815.40","16,74,204","1,77,86,82,301.50","44,713"
"27-Mar-2025","EQ","1,051.95","1,069.00","1,050.00","1,056.45","1,060.95","1,059.75","1,061.11","1,074.90","815.40","25,14,499","2,66,81,71,755.05","80,255"
"26-Mar-2025","EQ","1,068.05","1,068.05","1,052.20","1,061.70","1,053.00","1,056.45","1,057.82","1,074.90","815.40","12,54,060","1,32,65,67,804.30","48,933"
"25-Mar-2025","EQ","1,061.35","1,074.90","1,052.00","1,061.35","1,059.80","1,061.70","1,063.50","1,074.90","815.40","15,71,677","1,67,14,82,045.35","65,543"
"24-Mar-2025","EQ","1,063.00","1,072.00","1,056.50","1,058.70","1,061.55","1,061.35","1,063.46","1,072.00","815.40","22,67,252","2,41,11,32,321.35","59,391"
"21-Mar-2025","EQ","1,052.00","1,062.55","1,047.70","1,050.25","1,060.45","1,058.70","1,057.60","1,063.00","778.50","26,30,144","2,78,16,47,853.05","46,711"
"20-Mar-2025","EQ","1,038.00","1,052.80","1,027.20","1,033.35","1,049.10","1,050.25","1,045.45","1,063.00","778.50","23,01,795","2,40,64,04,178.45","54,201"
"19-Mar-2025","EQ","1,036.00","1,047.00","1,024.00","1,018.05","1,031.00","1,033.35","1,033.23","1,063.00","778.50","26,52,155","2,74,02,88,646.25","68,485"
"18-Mar-2025","EQ","1,014.90","1,020.65","1,002.55","1,005.70","1,016.50","1,018.05","1,015.70","1,063.00","778.50","10,69,485","1,08,62,72,935.20","36,870"
"17-Mar-2025","EQ","1,007.55","1,015.45","1,000.15","1,001.20","1,006.75","1,005.70","1,005.29","1,063.00","778.50","15,22,656","1,53,07,08,807.55","38,457"
"13-Mar-2025","EQ","1,014.90","1,016.45","998.80","1,010.40","1,000.00","1,001.20","1,007.40","1,063.00","761.75","12,18,174","1,22,71,88,065.95","42,011"
"12-Mar-2025","EQ","1,024.70","1,024.95","994.10","1,018.65","1,011.20","1,010.40","1,004.44","1,063.00","761.75","12,63,600","1,26,92,10,920.50","51,899"
