"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","2,111.00","2,142.40","2,090.00","2,073.40","2,140.80","2,138.20","2,129.81","2,301.90","1,679.05","57,79,088","12,30,83,78,383.50","1,13,678"
"06-Jun-2025","EQ","2,043.90","2,084.90","2,033.80","2,039.90","2,072.00","2,073.40","2,063.76","2,301.90","1,602.45","44,24,324","9,13,07,23,828.40","1,28,807"
"05-Jun-2025","EQ","2,054.80","2,056.40","2,034.20","2,046.30","2,038.70","2,039.90","2,043.06","2,301.90","1,602.45","37,25,332","7,61,10,88,825.70","1,26,179"
"04-Jun-2025","EQ","2,047.10","2,058.50","2,040.80","2,044.50","2,050.00","2,046.30","2,049.35","2,301.90","1,602.45","23,31,114","4,77,72,63,462.60","75,351"
"03-Jun-2025","EQ","2,070.00","2,075.80","2,034.20","2,063.60","2,041.00","2,044.50","2,046.71","2,301.90","1,602.45","64,63,818","13,22,95,44,700.90","1,46,118"
"02-Jun-2025","EQ","2,067.00","2,075.80","2,051.20","2,074.70","2,061.20","2,063.60","2,063.23","2,301.90","1,602.45","27,01,140","5,57,30,62,627.30","1,00,334"
"30-May-2025","EQ","2,081.60","2,090.20","2,065.50","2,081.60","2,077.30","2,074.70","2,073.92","2,301.90","1,602.45","98,07,728","20,34,04,39,031.70","1,49,470"
"29-May-2025","EQ","2,077.30","2,096.00","2,055.00","2,074.30","2,095.50","2,081.60","2,072.12","2,301.90","1,602.45","49,87,382","10,33,44,77,440.30","2,15,480"
"28-May-2025","EQ","2,075.00","2,080.40","2,063.40","2,077.40","2,075.80","2,074.30","2,071.12","2,301.90","1,602.45","16,34,636","3,38,55,27,423.40","1,29,774"
"27-May-2025","EQ","2,090.00","2,099.00","2,061.20","2,089.30","2,075.00","2,077.40","2,075.40","2,301.90","1,602.45","34,59,940","7,18,07,70,045.40","1,71,852"
"26-May-2025","EQ","2,090.10","2,112.00","2,085.10","2,100.80","2,090.00","2,089.30","2,094.01","2,301.90","1,602.45","20,40,285","4,27,23,68,815.30","1,05,239"
"23-May-2025","EQ","2,065.80","2,109.30","2,065.80","2,065.80","2,101.00","2,100.80","2,092.87","2,301.90","1,602.45","16,50,953","3,45,52,26,380.70","84,436"
"22-May-2025","EQ","2,074.00","2,077.60","2,050.70","2,071.30","2,073.00","2,065.80","2,060.26","2,301.90","1,602.45","32,89,328","6,77,68,86,431.90","1,24,898"
"21-May-2025","EQ","2,095.00","2,096.30","2,060.00","2,090.10","2,072.50","2,071.30","2,075.93","2,301.90","1,602.45","21,41,740","4,44,61,04,290.80","92,311"
"20-May-2025","EQ","2,114.80","2,117.90","2,084.70","2,111.20","2,095.50","2,090.10","2,096.69","2,301.90","1,602.45","39,09,098","8,19,61,84,704.60","1,08,787"
"19-May-2025","EQ","2,102.00","2,124.00","2,100.40","2,108.20","2,110.00","2,111.20","2,113.10","2,301.90","1,602.45","15,05,704","3,18,17,07,246.10","74,401"
"16-May-2025","EQ","2,099.90","2,114.90","2,090.10","2,106.40","2,109.80","2,108.20","2,102.75","2,301.90","1,602.45","20,57,908","4,32,72,58,232.20","1,36,716"
"15-May-2025","EQ","2,085.10","2,112.00","2,065.40","2,092.40","2,101.60","2,106.40","2,088.88","2,301.90","1,602.45","42,62,359","8,90,35,49,720.40","1,58,406"
"14-May-2025","EQ","2,111.00","2,119.90","2,084.00","2,115.60","2,091.90","2,092.40","2,098.93","2,301.90","1,602.45","21,37,594","4,48,66,68,237.30","1,33,616"
"13-May-2025","EQ","2,135.00","2,146.10","2,101.10","2,145.00","2,119.00","2,115.60","2,112.50","2,301.90","1,602.45","43,07,824","9,10,02,90,325.20","1,60,711"
"12-May-2025","EQ","2,134.00","2,163.60","2,126.10","2,103.10","2,143.00","2,145.00","2,147.90","2,301.90","1,602.45","30,21,874","6,49,06,87,308.50","1,50,244"
"09-May-2025","EQ","2,075.00","2,120.00","2,075.00","2,112.60","2,106.60","2,103.10","2,102.27","2,301.90","1,594.00","46,54,300","9,78,45,80,066.80","1,00,815"
"08-May-2025","EQ","2,099.00","2,138.70","2,094.90","2,094.90","2,106.20","2,112.60","2,117.04","2,301.90","1,594.00","69,24,871","14,66,02,06,437.20","2,47,991"
"07-May-2025","EQ","2,063.70","2,101.80","2,054.50","2,074.00","2,100.00","2,094.90","2,082.59","2,301.90","1,594.00","37,39,456","7,78,77,61,747.40","1,51,407"
"06-May-2025","EQ","2,086.00","2,091.40","2,065.00","2,084.90","2,070.00","2,074.00","2,073.44","2,301.90","1,594.00","34,05,097","7,06,02,62,954.30","1,52,782"
"05-May-2025","EQ","2,105.10","2,133.80","2,058.00","2,185.20","2,085.00","2,084.90","2,084.11","2,301.90","1,594.00","88,21,617","18,38,52,32,759.80","3,96,921"
"02-May-2025","EQ","2,204.00","2,223.60","2,171.20","2,208.10","2,180.10","2,185.20","2,191.92","2,301.90","1,543.85","26,79,156","5,87,25,03,958.20","1,52,876"
"30-Apr-2025","EQ","2,213.90","2,231.00","2,188.20","2,205.00","2,202.00","2,208.10","2,213.18","2,301.90","1,543.85","46,22,917","10,23,13,62,749.40","1,67,166"
"29-Apr-2025","EQ","2,225.60","2,247.00","2,198.80","2,225.60","2,202.10","2,205.00","2,219.34","2,301.90","1,543.85","30,58,265","6,78,73,25,662.80","1,15,735"
"28-Apr-2025","EQ","2,197.00","2,231.80","2,189.40","2,204.40","2,222.20","2,225.60","2,223.61","2,301.90","1,543.85","24,38,178","5,42,15,57,256.30","1,35,201"
"25-Apr-2025","EQ","2,220.00","2,233.40","2,178.20","2,223.00","2,196.60","2,204.40","2,199.67","2,301.90","1,543.85","21,36,003","4,69,84,91,084.20","1,02,382"
"24-Apr-2025","EQ","2,218.00","2,237.90","2,213.70","2,227.00","2,218.10","2,223.00","2,226.32","2,301.90","1,543.85","41,68,537","9,28,05,09,280.70","1,27,119"
"23-Apr-2025","EQ","2,285.00","2,290.00","2,220.00","2,268.80","2,221.40","2,227.00","2,240.21","2,301.90","1,543.85","35,23,879","7,89,42,34,352.40","1,27,032"
"22-Apr-2025","EQ","2,249.00","2,301.90","2,245.40","2,241.40","2,265.00","2,268.80","2,281.09","2,301.90","1,543.85","67,32,983","15,35,85,15,073.00","1,84,168"
"21-Apr-2025","EQ","2,195.00","2,261.20","2,175.40","2,188.10","2,248.70","2,241.40","2,233.48","2,261.20","1,543.85","48,86,498","10,91,38,96,073.50","2,25,372"
