"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","3,130.00","3,141.00","3,078.00","3,106.50","3,085.00","3,087.40","3,101.96","3,270.95","2,425.00","13,64,639","4,23,30,53,183.50","76,538"
"06-Jun-2025","EQ","3,041.60","3,112.90","3,027.00","3,041.60","3,106.50","3,106.50","3,075.56","3,270.95","2,425.00","20,28,071","6,23,74,51,267.20","95,355"
"05-Jun-2025","EQ","3,078.00","3,095.00","2,994.80","3,053.40","3,045.00","3,041.60","3,049.40","3,270.95","2,425.00","35,04,632","10,68,70,29,172.00","1,43,954"
"04-Jun-2025","EQ","3,045.10","3,087.00","3,040.10","3,046.50","3,051.00","3,053.40","3,061.48","3,270.95","2,425.00","15,84,653","4,85,13,81,285.30","82,506"
"03-Jun-2025","EQ","3,042.00","3,064.80","3,027.00","3,025.90","3,044.00","3,046.50","3,045.88","3,270.95","2,425.00","32,04,094","9,75,92,96,418.70","1,39,606"
"02-Jun-2025","EQ","2,976.80","3,038.50","2,962.30","2,976.80","3,024.00","3,025.90","3,015.36","3,270.95","2,425.00","29,67,741","8,94,88,07,437.30","1,70,070"
"30-May-2025","EQ","3,005.00","3,017.40","2,957.00","3,009.00","2,971.00","2,976.80","2,977.23","3,270.95","2,425.00","37,00,191","11,01,63,20,512.70","1,13,144"
"29-May-2025","EQ","2,999.00","3,028.90","2,987.20","2,997.80","3,013.60","3,009.00","3,003.39","3,270.95","2,425.00","20,93,429","6,28,73,88,111.40","1,02,777"
"28-May-2025","EQ","3,039.70","3,044.80","2,993.00","3,039.80","2,994.50","2,997.80","3,009.00","3,270.95","2,425.00","14,91,995","4,48,94,15,080.40","93,521"
"27-May-2025","EQ","3,080.20","3,085.00","3,014.60","3,080.20","3,042.00","3,039.80","3,040.70","3,270.95","2,425.00","25,99,143","7,90,32,17,359.60","1,30,075"
"26-May-2025","EQ","3,038.00","3,101.00","3,027.70","3,012.70","3,075.00","3,080.20","3,078.97","3,270.95","2,425.00","21,64,190","6,66,34,81,816.60","1,50,987"
"23-May-2025","EQ","3,020.00","3,030.80","2,984.20","3,006.30","3,014.80","3,012.70","3,011.07","3,270.95","2,425.00","18,28,093","5,50,45,16,972.40","1,05,053"
"22-May-2025","EQ","3,076.60","3,089.80","2,980.50","3,090.70","3,016.00","3,006.30","3,010.09","3,270.95","2,425.00","38,70,830","11,65,15,31,830.40","1,87,573"
"21-May-2025","EQ","3,063.00","3,132.00","3,048.10","3,063.50","3,086.30","3,090.70","3,096.44","3,270.95","2,425.00","13,95,136","4,31,99,50,164.00","78,449"
"20-May-2025","EQ","3,128.20","3,135.30","3,049.10","3,128.00","3,073.00","3,063.50","3,076.55","3,270.95","2,425.00","26,67,772","8,20,75,24,069.70","1,15,914"
"19-May-2025","EQ","3,115.00","3,157.00","3,103.60","3,135.60","3,125.00","3,128.00","3,133.83","3,270.95","2,425.00","20,11,149","6,30,25,92,642.00","1,49,542"
"16-May-2025","EQ","3,135.00","3,149.50","3,115.00","3,144.30","3,133.90","3,135.60","3,134.27","3,270.95","2,160.00","22,69,659","7,11,37,19,402.80","1,86,310"
"15-May-2025","EQ","3,085.00","3,170.70","3,073.00","3,101.80","3,132.00","3,144.30","3,127.25","3,270.95","2,160.00","35,90,003","11,22,68,42,035.00","1,98,690"
"14-May-2025","EQ","3,037.50","3,110.00","3,018.00","3,053.80","3,103.10","3,101.80","3,092.44","3,270.95","2,160.00","22,36,302","6,91,56,34,317.10","98,515"
"13-May-2025","EQ","3,050.00","3,111.00","3,035.00","3,104.70","3,058.00","3,053.80","3,073.02","3,270.95","2,160.00","26,81,662","8,24,08,13,022.90","1,78,009"
"12-May-2025","EQ","3,044.70","3,112.20","3,033.70","2,982.10","3,097.50","3,104.70","3,067.99","3,270.95","2,160.00","21,66,730","6,64,75,00,167.20","1,57,748"
"09-May-2025","EQ","2,961.60","3,057.10","2,955.00","3,033.10","2,989.70","2,982.10","3,009.04","3,270.95","2,160.00","23,08,852","6,94,74,25,357.40","1,27,115"
"08-May-2025","EQ","3,127.40","3,137.00","3,008.50","3,119.90","3,009.00","3,033.10","3,058.10","3,270.95","2,160.00","33,23,894","10,16,47,98,793.40","1,55,291"
"07-May-2025","EQ","3,021.90","3,125.00","3,021.90","3,068.40","3,109.90","3,119.90","3,098.08","3,270.95","2,160.00","29,42,902","9,11,73,59,370.70","1,40,228"
"06-May-2025","EQ","3,150.60","3,159.70","3,056.00","3,021.50","3,058.40","3,068.40","3,097.22","3,270.95","2,160.00","56,83,215","17,60,21,47,039.90","2,66,730"
"05-May-2025","EQ","2,948.90","3,044.00","2,937.70","2,926.20","3,024.00","3,021.50","2,995.56","3,270.95","2,160.00","40,49,197","12,12,96,25,352.00","1,98,957"
"02-May-2025","EQ","2,950.00","3,000.00","2,910.20","2,928.80","2,918.60","2,926.20","2,953.27","3,270.95","2,001.00","33,84,402","9,99,50,52,108.00","1,42,813"
"30-Apr-2025","EQ","2,908.80","2,948.90","2,887.00","2,909.60","2,919.50","2,928.80","2,927.07","3,270.95","2,001.00","26,89,753","7,87,30,97,540.70","1,15,500"
"29-Apr-2025","EQ","2,950.00","2,969.50","2,901.80","2,930.60","2,905.80","2,909.60","2,920.47","3,270.95","2,001.00","20,51,228","5,99,05,42,010.30","1,10,088"
"28-Apr-2025","EQ","2,918.90","2,945.00","2,882.30","2,864.20","2,930.00","2,930.60","2,911.69","3,270.95","2,001.00","18,64,672","5,42,93,40,679.30","1,05,189"
"25-Apr-2025","EQ","2,901.40","2,939.60","2,831.10","2,901.40","2,865.00","2,864.20","2,872.73","3,270.95","2,001.00","22,99,310","6,60,52,95,806.00","1,07,647"
"24-Apr-2025","EQ","2,917.80","2,928.00","2,865.00","2,917.80","2,898.00","2,901.40","2,893.16","3,270.95","2,001.00","24,88,496","7,19,96,08,088.00","1,07,895"
"23-Apr-2025","EQ","2,830.00","2,923.00","2,826.00","2,817.10","2,900.90","2,917.80","2,890.96","3,270.95","2,001.00","39,06,215","11,29,26,94,450.30","1,53,835"
"22-Apr-2025","EQ","2,765.00","2,822.00","2,756.00","2,764.00","2,811.10","2,817.10","2,800.01","3,270.95","2,001.00","31,93,757","8,94,25,40,174.50","1,66,491"
"21-Apr-2025","EQ","2,699.90","2,774.00","2,665.90","2,679.40","2,765.00","2,764.00","2,742.15","3,270.95","2,001.00","31,20,955","8,55,81,40,689.60","1,29,375"
"17-Apr-2025","EQ","2,632.00","2,682.80","2,602.40","2,634.60","2,675.30","2,679.40","2,653.58","3,270.95","1,998.20","26,38,979","7,00,27,33,750.00","1,74,058"
"16-Apr-2025","EQ","2,660.00","2,665.00","2,618.30","2,646.00","2,632.20","2,634.60","2,636.04","3,270.95","1,998.20","30,70,954","8,09,51,44,350.70","2,30,796"
"15-Apr-2025","EQ","2,606.00","2,690.00","2,606.00","2,580.35","2,650.00","2,646.00","2,661.82","3,270.95","1,998.20","32,87,861","8,75,17,06,211.90","2,35,293"
"11-Apr-2025","EQ","2,549.00","2,604.00","2,532.05","2,523.10","2,600.60","2,580.35","2,575.14","3,270.95","1,998.20","36,00,209","9,27,10,28,199.65","2,26,713"
"09-Apr-2025","EQ","2,540.00","2,571.95","2,515.95","2,523.65","2,530.50","2,523.10","2,542.52","3,270.95","1,998.20","33,47,213","8,51,03,65,788.75","1,88,585"
"08-Apr-2025","EQ","2,510.00","2,550.00","2,454.00","2,491.25","2,524.85","2,523.65","2,508.62","3,270.95","1,998.20","42,53,527","10,67,05,02,713.60","2,27,666"
"07-Apr-2025","EQ","2,425.00","2,524.65","2,425.00","2,596.55","2,508.00","2,491.25","2,486.05","3,270.95","1,998.20","39,37,471","9,78,87,65,284.05","2,84,875"
"04-Apr-2025","EQ","2,614.95","2,631.50","2,557.05","2,611.45","2,601.40","2,596.55","2,598.52","3,270.95","1,891.80","35,98,415","9,35,05,69,400.25","1,81,164"
"03-Apr-2025","EQ","2,607.75","2,652.40","2,600.25","2,637.55","2,617.00","2,611.45","2,624.91","3,270.95","1,891.80","23,61,203","6,19,79,50,577.35","1,26,111"
"02-Apr-2025","EQ","2,631.10","2,660.00","2,625.30","2,637.90","2,637.95","2,637.55","2,641.07","3,270.95","1,891.80","22,43,574","5,92,54,34,011.85","1,29,253"
"01-Apr-2025","EQ","2,652.80","2,728.00","2,623.15","2,665.80","2,640.00","2,637.90","2,662.50","3,270.95","1,891.80","33,00,417","8,78,73,74,453.80","1,71,785"
"28-Mar-2025","EQ","2,735.80","2,739.70","2,635.00","2,733.00","2,661.15","2,665.80","2,659.63","3,270.95","1,855.30","60,74,446","16,15,57,85,635.85","2,83,613"
"27-Mar-2025","EQ","2,735.00","2,751.00","2,695.55","2,742.25","2,734.00","2,733.00","2,727.11","3,270.95","1,855.30","43,25,599","11,79,63,76,825.80","2,16,437"
"26-Mar-2025","EQ","2,751.30","2,795.00","2,737.05","2,736.00","2,742.05","2,742.25","2,759.30","3,270.95","1,855.30","31,11,504","8,58,55,69,216.85","1,55,421"
"25-Mar-2025","EQ","2,774.70","2,802.45","2,725.05","2,774.70","2,730.50","2,736.00","2,752.07","3,270.95","1,855.30","35,76,766","9,84,35,20,381.40","2,20,783"
"24-Mar-2025","EQ","2,815.30","2,822.15","2,709.40","2,801.85","2,777.00","2,774.70","2,758.48","3,270.95","1,855.30","53,95,134","14,88,23,45,906.65","2,62,642"
"21-Mar-2025","EQ","2,839.10","2,893.00","2,781.25","2,828.10","2,787.20","2,801.85","2,833.87","3,270.95","1,801.05","38,24,316","10,83,76,17,894.85","1,28,915"
"20-Mar-2025","EQ","2,803.75","2,847.00","2,801.00","2,789.10","2,838.00","2,828.10","2,827.02","3,270.95","1,801.05","23,54,374","6,65,58,53,148.65","1,46,188"
"19-Mar-2025","EQ","2,795.00","2,831.90","2,779.55","2,791.40","2,785.00","2,789.10","2,804.00","3,270.95","1,801.05","24,38,912","6,83,87,03,620.55","1,30,749"
"18-Mar-2025","EQ","2,732.30","2,798.00","2,715.05","2,705.15","2,785.00","2,791.40","2,769.58","3,270.95","1,801.05","35,22,624","9,75,61,90,786.80","1,47,651"
"17-Mar-2025","EQ","2,635.00","2,727.05","2,635.00","2,643.50","2,701.00","2,705.15","2,689.17","3,270.95","1,801.05","25,27,623","6,79,72,00,209.55","1,60,528"
"13-Mar-2025","EQ","2,677.10","2,686.35","2,618.30","2,653.30","2,644.50","2,643.50","2,643.38","3,270.95","1,788.80","24,46,428","6,46,68,47,997.95","1,26,240"
"12-Mar-2025","EQ","2,645.60","2,678.00","2,636.10","2,645.60","2,650.00","2,653.30","2,655.73","3,270.95","1,788.80","34,47,155","9,15,46,99,019.80","1,49,821"
"11-Mar-2025","EQ","2,684.75","2,685.00","2,613.15","2,702.60","2,657.85","2,645.60","2,648.19","3,270.95","1,788.80","36,16,140","9,57,62,28,724.45","2,02,979"
"10-Mar-2025","EQ","2,695.00","2,734.65","2,665.10","2,727.85","2,699.00","2,702.60","2,706.17","3,270.95","1,788.80","25,20,931","6,82,20,78,572.15","1,12,467"
"07-Mar-2025","EQ","2,721.30","2,765.95","2,708.10","2,742.40","2,728.10","2,727.85","2,734.27","3,270.95","1,788.80","18,86,774","5,15,89,52,088.80","1,19,343"
"06-Mar-2025","EQ","2,748.00","2,766.85","2,695.00","2,726.60","2,740.60","2,742.40","2,736.25","3,270.95","1,788.80","37,06,264","10,14,12,82,937.65","1,52,491"
"05-Mar-2025","EQ","2,661.95","2,736.90","2,642.65","2,613.35","2,721.35","2,726.60","2,708.55","3,270.95","1,788.80","36,65,710","9,92,87,69,339.95","1,80,134"
"04-Mar-2025","EQ","2,561.00","2,627.30","2,550.00","2,611.90","2,612.85","2,613.35","2,603.43","3,270.95","1,788.80","19,84,876","5,16,74,87,843.95","1,18,486"
"03-Mar-2025","EQ","2,613.80","2,695.95","2,595.00","2,585.10","2,612.00","2,611.90","2,628.07","3,270.95","1,788.80","43,40,806","11,40,79,48,555.15","2,18,511"
"28-Feb-2025","EQ","2,695.10","2,699.00","2,572.20","2,726.55","2,595.00","2,585.10","2,604.06","3,270.95","1,788.80","75,49,863","19,66,03,15,531.70","3,73,075"
"27-Feb-2025","EQ","2,837.00","2,840.00","2,703.50","2,777.85","2,720.00","2,726.55","2,738.18","3,270.95","1,788.80","26,69,767","7,31,03,09,066.65","1,32,720"
"25-Feb-2025","EQ","2,740.00","2,803.95","2,728.15","2,709.20","2,767.00","2,777.85","2,778.01","3,270.95","1,788.80","49,16,248","13,65,73,66,847.05","2,47,707"
"24-Feb-2025","EQ","2,669.00","2,716.80","2,631.15","2,669.35","2,710.50","2,709.20","2,688.30","3,270.95","1,788.80","61,67,313","16,57,95,58,765.15","2,82,137"
"21-Feb-2025","EQ","2,815.20","2,815.20","2,653.35","2,839.45","2,663.50","2,669.35","2,694.03","3,270.95","1,788.80","89,40,621","24,08,62,80,053.25","4,07,564"
"20-Feb-2025","EQ","2,745.10","2,844.50","2,690.05","2,757.40","2,832.35","2,839.45","2,793.23","3,270.95","1,788.80","37,99,854","10,61,38,49,775.10","2,63,951"
"19-Feb-2025","EQ","2,750.00","2,782.65","2,728.00","2,790.05","2,758.85","2,757.40","2,756.02","3,270.95","1,788.80","26,71,072","7,36,15,29,633.40","2,80,089"
"18-Feb-2025","EQ","2,844.00","2,845.00","2,755.90","2,831.95","2,780.95","2,790.05","2,789.68","3,270.95","1,788.80","23,01,836","6,42,13,97,120.70","1,62,427"
"17-Feb-2025","EQ","2,940.80","2,955.00","2,792.25","2,942.60","2,841.00","2,831.95","2,825.13","3,270.95","1,788.80","47,73,279","13,48,51,51,658.05","2,68,050"
"14-Feb-2025","EQ","2,999.00","3,020.00","2,907.05","2,978.00","2,939.00","2,942.60","2,949.12","3,270.95","1,623.45","19,59,802","5,77,96,99,750.25","1,27,522"
"13-Feb-2025","EQ","3,024.95","3,047.00","2,971.05","2,987.20","2,979.95","2,978.00","3,003.54","3,270.95","1,623.45","24,81,783","7,45,41,37,121.55","1,47,059"
"12-Feb-2025","EQ","3,068.55","3,075.00","2,955.10","3,085.95","2,987.10","2,987.20","3,001.67","3,270.95","1,623.45","46,09,887","13,83,73,73,569.90","2,08,885"
"11-Feb-2025","EQ","3,146.85","3,154.00","3,071.10","3,137.25","3,085.00","3,085.95","3,113.75","3,270.95","1,623.45","24,70,280","7,69,18,30,725.55","1,45,323"
"10-Feb-2025","EQ","3,209.20","3,270.95","3,128.80","3,198.45","3,130.75","3,137.25","3,194.69","3,270.95","1,623.45","38,52,783","12,30,84,45,237.05","2,03,318"
"07-Feb-2025","EQ","3,168.00","3,219.95","3,110.00","3,139.95","3,193.00","3,198.45","3,174.75","3,270.55","1,623.45","47,90,111","15,20,73,85,377.65","2,20,264"
