"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","2,425.00","2,427.30","2,401.00","2,417.20","2,418.00","2,415.30","2,410.31","2,778.00","2,110.00","3,39,437","81,81,47,789.80","26,932"
"06-Jun-2025","EQ","2,403.90","2,422.90","2,390.00","2,401.30","2,413.30","2,417.20","2,411.13","2,778.00","2,110.00","5,02,303","1,21,11,16,402.40","29,324"
"05-Jun-2025","EQ","2,405.00","2,409.00","2,380.50","2,397.50","2,400.00","2,401.30","2,396.73","2,778.00","2,110.00","7,33,958","1,75,91,00,262.40","54,946"
"04-Jun-2025","EQ","2,388.40","2,403.80","2,384.90","2,391.40","2,396.00","2,397.50","2,397.58","2,778.00","2,110.00","5,87,041","1,40,74,77,236.70","48,751"
"03-Jun-2025","EQ","2,415.70","2,426.40","2,382.00","2,406.30","2,391.20","2,391.40","2,398.40","2,778.00","2,110.00","7,34,444","1,76,14,93,769.50","77,818"
"02-Jun-2025","EQ","2,400.00","2,415.80","2,391.00","2,396.20","2,402.50","2,406.30","2,404.90","2,778.00","2,110.00","10,26,359","2,46,82,94,963.00","39,086"
"30-May-2025","EQ","2,435.00","2,457.00","2,390.50","2,435.00","2,393.80","2,396.20","2,405.24","2,778.00","2,110.00","10,67,460","2,56,74,93,058.50","47,450"
"29-May-2025","EQ","2,421.40","2,439.80","2,406.50","2,419.00","2,437.80","2,435.00","2,427.15","2,778.00","2,110.00","9,31,298","2,26,03,96,610.90","55,115"
"28-May-2025","EQ","2,452.10","2,456.70","2,416.00","2,460.90","2,421.00","2,419.00","2,423.73","2,778.00","2,110.00","7,23,621","1,75,38,62,755.70","47,237"
"27-May-2025","EQ","2,450.10","2,482.00","2,432.20","2,454.00","2,460.00","2,460.90","2,454.20","2,778.00","2,110.00","7,92,049","1,94,38,48,033.60","86,090"
"26-May-2025","EQ","2,414.40","2,464.90","2,405.40","2,414.40","2,451.00","2,454.00","2,450.91","2,778.00","2,110.00","6,24,354","1,53,02,33,126.90","52,309"
"23-May-2025","EQ","2,356.00","2,424.00","2,352.10","2,361.70","2,409.90","2,414.40","2,402.01","2,778.00","2,110.00","5,77,230","1,38,65,09,918.60","43,469"
"22-May-2025","EQ","2,385.00","2,385.00","2,340.00","2,392.60","2,358.00","2,361.70","2,357.34","2,778.00","2,110.00","10,80,806","2,54,78,24,818.00","63,407"
