"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","333.90","337.55","332.75","332.85","337.00","337.10","335.51","448.45","292.80","1,94,16,373","6,51,43,17,227.30","1,25,131"
"06-Jun-2025","EQ","329.65","333.50","329.05","328.65","332.50","332.85","331.49","448.45","292.80","1,14,02,511","3,77,98,22,603.30","1,05,503"
"05-Jun-2025","EQ","329.20","331.60","327.60","329.25","328.60","328.65","329.37","448.45","292.80","1,62,70,360","5,35,89,81,871.95","1,14,147"
"04-Jun-2025","EQ","329.00","329.95","324.85","328.25","329.00","329.25","327.52","448.45","292.80","1,56,54,279","5,12,71,05,262.00","1,20,876"
"03-Jun-2025","EQ","333.00","334.75","327.00","332.55","328.80","328.25","329.05","448.45","292.80","1,40,81,719","4,63,35,79,473.55","1,91,772"
"02-Jun-2025","EQ","333.90","334.80","330.30","333.90","332.40","332.55","331.59","448.45","292.80","2,94,79,727","9,77,50,59,484.65","1,17,600"
"30-May-2025","EQ","337.50","340.75","332.85","339.35","334.75","333.90","334.90","448.45","292.80","1,91,43,010","6,41,10,34,745.45","1,21,231"
"29-May-2025","EQ","341.00","342.25","338.05","340.05","339.80","339.35","339.41","448.45","292.80","1,58,84,093","5,39,12,74,577.70","1,77,228"
"28-May-2025","EQ","338.60","340.70","337.10","338.55","339.90","340.05","339.78","448.45","292.80","1,09,85,957","3,73,28,00,513.75","1,12,375"
"27-May-2025","EQ","344.00","344.50","336.80","343.50","338.50","338.55","338.43","448.45","292.80","2,49,37,330","8,43,94,44,895.25","2,14,057"
"26-May-2025","EQ","351.00","351.20","342.55","344.60","343.30","343.50","346.12","448.45","292.80","1,66,55,082","5,76,46,82,994.65","1,32,219"
"23-May-2025","EQ","342.00","344.95","340.15","341.40","344.60","344.60","343.65","448.45","292.80","40,45,937","1,39,03,72,472.35","52,252"
"22-May-2025","EQ","346.15","347.00","338.25","346.15","341.85","341.40","341.21","448.45","292.80","87,17,514","2,97,45,33,448.50","1,06,834"
"21-May-2025","EQ","342.55","347.40","339.85","342.60","346.50","346.15","344.94","448.45","292.80","59,30,972","2,04,58,58,961.95","67,552"
"20-May-2025","EQ","346.90","349.70","341.55","345.15","342.55","342.60","344.53","448.45","292.80","99,86,143","3,44,05,46,343.50","1,30,717"
"19-May-2025","EQ","343.10","347.70","342.40","343.10","345.25","345.15","345.61","448.45","292.80","62,18,209","2,14,90,99,498.95","88,534"
"16-May-2025","EQ","343.00","347.60","342.00","341.95","343.10","343.10","344.11","448.45","292.80","69,20,351","2,38,13,53,138.65","85,343"
"15-May-2025","EQ","339.50","343.75","332.65","338.55","341.90","341.95","336.52","448.45","292.80","4,33,07,763","14,57,39,06,697.30","1,98,145"
"14-May-2025","EQ","342.45","343.85","337.75","341.50","339.50","338.55","340.06","448.45","292.80","2,24,85,535","7,64,63,88,054.20","1,27,914"
"13-May-2025","EQ","348.60","349.80","340.50","348.55","342.30","341.50","343.50","448.45","292.80","1,47,38,980","5,06,28,46,170.30","1,25,785"
"12-May-2025","EQ","340.40","349.20","338.10","334.75","348.95","348.55","346.75","448.45","292.80","79,78,210","2,76,64,10,001.45","1,13,603"
"09-May-2025","EQ","334.20","338.75","330.60","340.00","334.65","334.75","333.72","448.45","292.80","1,13,22,011","3,77,84,02,506.60","1,52,356"
"08-May-2025","EQ","341.05","343.10","338.40","342.05","339.25","340.00","340.32","448.45","292.80","1,42,86,109","4,86,18,98,676.05","1,47,332"
"07-May-2025","EQ","338.00","343.70","337.00","341.80","342.60","342.05","341.18","448.45","292.80","84,65,490","2,88,82,64,078.80","92,112"
"06-May-2025","EQ","349.00","349.50","340.00","348.60","342.20","341.80","342.62","448.45","292.80","89,04,223","3,05,07,38,485.60","1,57,018"
"05-May-2025","EQ","351.00","352.00","345.55","348.45","348.50","348.60","348.54","448.45","292.80","94,92,646","3,30,85,74,507.15","1,98,375"
"02-May-2025","EQ","354.55","358.00","347.60","354.55","348.50","348.45","350.27","448.45","292.80","1,11,65,220","3,91,08,22,367.60","1,73,230"
"30-Apr-2025","EQ","357.00","361.00","352.00","356.95","353.70","354.55","356.16","448.45","292.80","1,67,39,088","5,96,18,72,849.30","1,42,964"
"29-Apr-2025","EQ","364.00","364.35","354.10","361.50","357.90","356.95","358.33","448.45","292.80","94,72,828","3,39,44,10,129.45","1,08,618"
