"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,789.60","1,799.00","1,759.10","1,780.60","1,787.10","1,790.80","1,788.13","1,936.00","1,372.55","12,21,496","2,18,41,90,220.90","64,130"
"06-Jun-2025","EQ","1,774.80","1,783.50","1,751.30","1,774.80","1,777.80","1,780.60","1,773.45","1,936.00","1,307.70","15,89,674","2,81,92,13,890.20","35,821"
"05-Jun-2025","EQ","1,782.00","1,791.00","1,765.00","1,775.90","1,775.00","1,774.80","1,777.82","1,936.00","1,307.70","9,12,222","1,62,17,70,098.50","58,369"
"04-Jun-2025","EQ","1,775.00","1,779.10","1,762.30","1,775.30","1,773.50","1,775.90","1,770.93","1,936.00","1,307.70","9,18,721","1,62,69,91,627.20","42,926"
"03-Jun-2025","EQ","1,809.80","1,814.00","1,770.10","1,802.50","1,779.40","1,775.30","1,784.48","1,936.00","1,307.70","15,76,208","2,81,27,06,470.80","78,985"
"02-Jun-2025","EQ","1,812.20","1,829.00","1,795.60","1,812.20","1,800.90","1,802.50","1,809.50","1,936.00","1,307.70","12,38,769","2,24,15,54,866.20","75,126"
"30-May-2025","EQ","1,825.00","1,833.90","1,804.90","1,825.00","1,809.00","1,812.20","1,815.42","1,936.00","1,307.70","13,64,259","2,47,67,03,390.60","51,608"
"29-May-2025","EQ","1,807.60","1,830.00","1,801.40","1,807.40","1,827.00","1,825.00","1,817.29","1,936.00","1,307.70","11,89,803","2,16,22,14,502.60","65,957"
"28-May-2025","EQ","1,810.60","1,814.50","1,802.10","1,803.30","1,809.80","1,807.40","1,807.23","1,936.00","1,307.70","7,63,018","1,37,89,47,220.40","54,422"
"27-May-2025","EQ","1,801.60","1,809.60","1,794.00","1,801.60","1,804.60","1,803.30","1,801.93","1,936.00","1,307.70","12,19,984","2,19,83,26,693.00","76,229"
"26-May-2025","EQ","1,806.00","1,810.10","1,790.10","1,798.70","1,800.30","1,801.60","1,799.99","1,936.00","1,307.70","6,33,624","1,14,05,18,436.20","33,419"
"23-May-2025","EQ","1,765.00","1,806.00","1,759.80","1,759.30","1,796.90","1,798.70","1,795.72","1,936.00","1,307.70","10,67,774","1,91,74,19,942.60","45,096"
"22-May-2025","EQ","1,766.30","1,768.70","1,741.20","1,763.90","1,762.00","1,759.30","1,751.50","1,936.00","1,307.70","11,03,303","1,93,24,30,988.50","66,318"
"21-May-2025","EQ","1,756.90","1,777.90","1,751.20","1,757.80","1,766.90","1,763.90","1,767.61","1,936.00","1,307.70","5,21,050","92,10,11,898.60","38,876"
"20-May-2025","EQ","1,778.80","1,778.80","1,753.30","1,770.00","1,756.80","1,757.80","1,761.82","1,936.00","1,307.70","5,29,693","93,32,24,073.80","36,475"
"19-May-2025","EQ","1,773.10","1,781.20","1,764.40","1,773.40","1,770.00","1,770.00","1,771.11","1,936.00","1,307.70","2,88,530","51,10,19,421.60","22,831"
"16-May-2025","EQ","1,790.00","1,790.90","1,767.90","1,784.60","1,773.80","1,773.40","1,777.12","1,936.00","1,307.70","6,96,146","1,23,71,36,147.90","38,370"
"15-May-2025","EQ","1,757.70","1,788.40","1,737.10","1,755.20","1,782.00","1,784.60","1,769.86","1,936.00","1,307.70","13,18,425","2,33,34,29,646.50","83,158"
"14-May-2025","EQ","1,741.00","1,760.00","1,737.40","1,740.00","1,757.80","1,755.20","1,751.88","1,936.00","1,307.70","6,03,108","1,05,65,74,653.80","41,177"
"13-May-2025","EQ","1,742.70","1,756.00","1,732.30","1,751.50","1,738.70","1,740.00","1,744.50","1,936.00","1,307.70","4,78,541","83,48,13,060.20","49,453"
"12-May-2025","EQ","1,725.00","1,756.90","1,720.00","1,699.80","1,746.00","1,751.50","1,748.21","1,936.00","1,307.70","7,28,808","1,27,41,10,009.40","46,401"
"09-May-2025","EQ","1,706.00","1,728.70","1,693.10","1,731.50","1,699.60","1,699.80","1,707.90","1,936.00","1,307.70","10,76,900","1,83,92,37,760.90","52,598"
"08-May-2025","EQ","1,741.30","1,744.00","1,721.10","1,744.50","1,723.00","1,731.50","1,734.76","1,936.00","1,307.70","11,07,891","1,92,19,21,073.50","65,207"
"07-May-2025","EQ","1,714.00","1,756.50","1,712.30","1,726.00","1,741.10","1,744.50","1,741.50","1,936.00","1,307.70","7,53,313","1,31,18,90,839.80","61,184"
"06-May-2025","EQ","1,770.00","1,797.80","1,717.20","1,769.90","1,725.10","1,726.00","1,742.22","1,936.00","1,307.70","12,95,777","2,25,75,30,538.30","52,237"
"05-May-2025","EQ","1,773.00","1,787.60","1,766.90","1,764.70","1,770.00","1,769.90","1,775.24","1,936.00","1,307.70","9,47,983","1,68,29,00,982.70","39,005"
"02-May-2025","EQ","1,761.00","1,777.10","1,747.60","1,765.80","1,756.80","1,764.70","1,763.23","1,936.00","1,307.70","14,18,603","2,50,13,18,291.90","68,417"
"30-Apr-2025","EQ","1,722.00","1,772.50","1,718.50","1,730.10","1,761.30","1,765.80","1,758.52","1,936.00","1,307.70","20,31,563","3,57,25,50,646.40","75,207"
"29-Apr-2025","EQ","1,733.90","1,764.90","1,721.00","1,736.10","1,724.40","1,730.10","1,737.65","1,936.00","1,307.70","20,49,847","3,56,19,07,531.60","1,15,093"
