"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","700.00","715.90","692.25","688.25","696.50","698.00","701.94","3,652.25","493.35","1,14,13,586","8,01,16,02,896.85","1,71,722"
"06-Jun-2025","EQ","654.00","690.90","644.30","651.45","687.00","688.25","675.15","3,652.25","493.35","2,01,15,034","13,58,06,60,429.75","2,26,124"
"05-Jun-2025","EQ","647.00","654.80","638.10","641.20","650.40","651.45","647.77","3,652.25","493.35","45,42,850","2,94,27,28,229.70","69,855"
"04-Jun-2025","EQ","649.95","661.85","640.00","648.25","642.05","641.20","648.94","3,652.25","493.35","62,90,382","4,08,20,74,213.60","96,181"
"03-Jun-2025","EQ","648.00","658.75","642.10","642.55","649.00","648.25","649.39","3,652.25","493.35","53,36,167","3,46,52,42,501.75","91,623"
"02-Jun-2025","EQ","638.30","647.90","625.00","639.35","641.05","642.55","637.93","3,652.25","493.35","43,44,402","2,77,14,12,081.90","91,094"
"30-May-2025","EQ","643.10","654.95","637.25","652.25","639.35","639.35","641.97","3,652.25","493.35","66,93,573","4,29,70,66,955.65","67,251"
"29-May-2025","EQ","655.70","659.70","648.10","655.70","653.60","652.25","651.85","3,652.25","493.35","41,73,868","2,72,07,33,062.35","83,822"
"28-May-2025","EQ","661.90","663.90","654.00","661.90","655.50","655.70","657.57","3,652.25","493.35","32,44,100","2,13,32,11,071.50","70,182"
"27-May-2025","EQ","667.80","670.00","657.00","664.50","659.50","661.90","662.14","3,652.25","493.35","24,93,252","1,65,08,81,328.00","58,833"
"26-May-2025","EQ","664.85","667.80","652.10","659.85","663.10","664.50","660.08","3,652.25","493.35","29,63,171","1,95,59,39,370.20","57,166"
"23-May-2025","EQ","651.00","663.60","646.15","649.75","658.95","659.85","658.24","3,652.25","493.35","31,28,629","2,05,94,00,994.45","73,361"
"22-May-2025","EQ","652.00","654.70","640.30","658.00","650.00","649.75","648.03","3,652.25","493.35","68,40,583","4,43,28,86,350.55","1,14,723"
"21-May-2025","EQ","658.35","661.65","638.70","658.35","655.00","658.00","651.06","3,652.25","493.35","79,86,603","5,19,97,67,429.15","1,26,212"
"20-May-2025","EQ","682.05","682.05","656.20","677.80","659.70","658.35","666.39","3,652.25","493.35","70,35,801","4,68,85,54,688.55","1,00,550"
"19-May-2025","EQ","670.00","683.90","666.00","665.50","677.80","677.80","676.69","3,652.25","493.35","43,56,035","2,94,76,74,535.00","80,090"
"16-May-2025","EQ","674.00","674.80","660.05","674.80","666.30","665.50","665.52","3,652.25","493.35","54,15,727","3,60,42,81,094.50","94,920"
"15-May-2025","EQ","654.80","679.95","644.15","651.95","674.00","674.80","667.67","3,652.25","493.35","98,17,422","6,55,48,27,178.80","1,91,235"
