"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,679.90","1,698.80","1,673.30","1,679.20","1,693.40","1,694.40","1,682.02","1,960.35","1,460.90","25,89,656","4,35,58,55,573.00","62,270"
"06-Jun-2025","EQ","1,685.00","1,689.00","1,669.00","1,683.10","1,680.90","1,679.20","1,676.45","1,960.35","1,377.20","25,00,047","4,19,12,08,633.50","98,471"
"05-Jun-2025","EQ","1,662.00","1,694.30","1,662.00","1,664.90","1,681.00","1,683.10","1,680.75","1,960.35","1,377.20","20,37,073","3,42,38,04,103.70","97,217"
"04-Jun-2025","EQ","1,656.00","1,669.00","1,649.00","1,667.50","1,664.00","1,664.90","1,661.81","1,960.35","1,377.20","17,00,482","2,82,58,80,489.20","64,433"
"03-Jun-2025","EQ","1,695.00","1,695.00","1,657.60","1,674.60","1,667.50","1,667.50","1,668.00","1,960.35","1,377.20","25,56,920","4,26,49,41,895.00","1,10,838"
"02-Jun-2025","EQ","1,679.00","1,683.50","1,660.50","1,677.60","1,676.00","1,674.60","1,673.82","1,960.35","1,377.20","18,19,538","3,04,55,87,489.20","96,565"
"30-May-2025","EQ","1,702.00","1,713.60","1,669.10","1,699.80","1,674.90","1,677.60","1,684.07","1,960.35","1,377.20","36,40,641","6,13,10,78,417.30","91,398"
"29-May-2025","EQ","1,675.00","1,703.30","1,670.40","1,666.40","1,699.50","1,699.80","1,690.66","1,960.35","1,377.20","23,77,583","4,01,96,78,075.30","1,26,101"
"28-May-2025","EQ","1,683.40","1,686.90","1,663.00","1,683.40","1,664.00","1,666.40","1,673.47","1,960.35","1,377.20","26,57,712","4,44,76,03,093.80","90,629"
"27-May-2025","EQ","1,676.10","1,692.00","1,661.10","1,676.10","1,681.50","1,683.40","1,679.81","1,960.35","1,377.20","28,00,622","4,70,45,03,192.10","1,34,384"
"26-May-2025","EQ","1,693.10","1,702.40","1,667.00","1,683.60","1,679.10","1,676.10","1,676.52","1,960.35","1,377.20","22,82,131","3,82,60,44,956.40","1,94,713"
"23-May-2025","EQ","1,658.00","1,689.50","1,636.60","1,718.70","1,689.10","1,683.60","1,668.62","1,960.35","1,377.20","83,39,783","13,91,59,33,663.10","4,09,880"
"22-May-2025","EQ","1,734.20","1,740.00","1,707.20","1,731.80","1,724.70","1,718.70","1,717.48","1,960.35","1,377.20","26,70,554","4,58,66,18,230.00","88,389"
"21-May-2025","EQ","1,716.40","1,758.70","1,707.80","1,707.80","1,732.00","1,731.80","1,737.63","1,960.35","1,377.20","27,54,306","4,78,59,60,056.20","84,640"
"20-May-2025","EQ","1,743.80","1,748.00","1,703.30","1,730.20","1,714.00","1,707.80","1,716.16","1,960.35","1,377.20","27,06,777","4,64,52,60,502.90","1,13,019"
"19-May-2025","EQ","1,745.00","1,765.00","1,726.60","1,734.90","1,729.00","1,730.20","1,740.99","1,960.35","1,377.20","20,74,023","3,61,08,45,209.60","1,05,230"
"16-May-2025","EQ","1,740.00","1,741.60","1,719.00","1,740.10","1,730.00","1,734.90","1,732.12","1,960.35","1,377.20","14,48,249","2,50,85,37,705.60","92,593"
"15-May-2025","EQ","1,701.10","1,744.40","1,684.10","1,708.20","1,738.30","1,740.10","1,720.52","1,960.35","1,377.20","38,80,385","6,67,62,83,657.40","1,46,890"
"14-May-2025","EQ","1,702.00","1,711.40","1,692.10","1,700.00","1,710.20","1,708.20","1,703.41","1,960.35","1,377.20","16,39,324","2,79,24,49,090.10","82,274"
"13-May-2025","EQ","1,711.00","1,748.50","1,691.30","1,686.20","1,702.20","1,700.00","1,706.46","1,960.35","1,377.20","69,88,329","11,92,53,08,735.00","2,58,135"
"12-May-2025","EQ","1,695.70","1,712.40","1,623.60","1,744.80","1,689.90","1,686.20","1,672.49","1,960.35","1,377.20","92,21,075","15,42,21,17,345.50","2,78,210"
"09-May-2025","EQ","1,751.90","1,766.30","1,731.70","1,767.20","1,748.00","1,744.80","1,744.80","1,960.35","1,377.20","11,48,956","2,00,46,99,070.20","72,955"
"08-May-2025","EQ","1,781.30","1,788.90","1,755.00","1,781.30","1,755.00","1,767.20","1,770.18","1,960.35","1,377.20","26,47,871","4,68,72,05,153.60","1,13,625"
"07-May-2025","EQ","1,817.90","1,826.40","1,778.70","1,819.10","1,780.90","1,781.30","1,790.26","1,960.35","1,377.20","20,15,237","3,60,78,04,178.10","80,343"
"06-May-2025","EQ","1,820.00","1,827.90","1,799.00","1,836.60","1,819.00","1,819.10","1,816.93","1,960.35","1,377.20","14,14,772","2,57,05,45,159.60","61,418"
"05-May-2025","EQ","1,827.80","1,843.30","1,821.40","1,829.40","1,834.20","1,836.60","1,835.35","1,960.35","1,377.20","12,19,830","2,23,88,16,267.90","65,058"
"02-May-2025","EQ","1,832.30","1,851.20","1,813.80","1,832.30","1,825.00","1,829.40","1,830.45","1,960.35","1,377.20","23,10,897","4,22,99,82,097.00","1,01,579"
"30-Apr-2025","EQ","1,810.00","1,838.90","1,803.30","1,805.50","1,821.60","1,832.30","1,830.15","1,960.35","1,377.20","26,67,314","4,88,15,71,584.90","99,419"
"29-Apr-2025","EQ","1,845.00","1,846.00","1,797.00","1,841.60","1,800.20","1,805.50","1,816.34","1,960.35","1,377.20","28,86,160","5,24,22,46,980.60","1,25,295"
"28-Apr-2025","EQ","1,787.40","1,846.00","1,781.20","1,787.40","1,842.20","1,841.60","1,830.08","1,960.35","1,377.20","32,16,482","5,88,64,25,863.20","1,14,701"
"25-Apr-2025","EQ","1,806.00","1,815.50","1,764.20","1,803.90","1,781.80","1,787.40","1,786.91","1,960.35","1,377.20","20,36,801","3,63,95,71,164.30","88,999"
"24-Apr-2025","EQ","1,790.00","1,807.90","1,773.90","1,788.80","1,806.90","1,803.90","1,795.82","1,960.35","1,377.20","21,01,177","3,77,33,26,510.10","82,971"
"23-Apr-2025","EQ","1,754.20","1,791.30","1,742.10","1,747.40","1,785.20","1,788.80","1,775.91","1,960.35","1,377.20","14,71,029","2,61,24,09,586.10","60,572"
"22-Apr-2025","EQ","1,751.00","1,755.00","1,734.50","1,744.90","1,748.40","1,747.40","1,744.40","1,960.35","1,377.20","9,61,907","1,67,79,53,862.90","51,087"
"21-Apr-2025","EQ","1,761.00","1,761.00","1,731.30","1,751.50","1,746.40","1,744.90","1,744.70","1,960.35","1,377.20","15,39,511","2,68,59,83,207.90","68,239"
"17-Apr-2025","EQ","1,695.00","1,758.00","1,687.40","1,693.10","1,757.00","1,751.50","1,733.13","1,960.35","1,377.20","26,83,908","4,65,15,66,818.30","1,15,404"
"16-Apr-2025","EQ","1,691.10","1,702.70","1,682.10","1,705.00","1,691.00","1,693.10","1,689.80","1,960.35","1,377.20","22,05,374","3,72,66,35,637.50","1,06,358"
"15-Apr-2025","EQ","1,720.00","1,724.50","1,696.80","1,687.55","1,705.20","1,705.00","1,707.12","1,960.35","1,377.20","19,93,085","3,40,24,32,599.20","82,756"
"11-Apr-2025","EQ","1,710.00","1,737.00","1,682.10","1,652.20","1,687.90","1,687.55","1,698.06","1,960.35","1,377.20","38,01,939","6,45,59,20,619.90","2,44,225"
"09-Apr-2025","EQ","1,650.00","1,679.75","1,640.00","1,688.35","1,651.75","1,652.20","1,664.27","1,960.35","1,377.20","34,81,864","5,79,47,51,799.85","1,52,924"
"08-Apr-2025","EQ","1,645.00","1,709.85","1,645.00","1,666.35","1,691.00","1,688.35","1,686.60","1,960.35","1,377.20","28,07,382","4,73,49,39,348.00","1,15,400"
"07-Apr-2025","EQ","1,620.10","1,692.00","1,620.10","1,709.35","1,677.10","1,666.35","1,658.96","1,960.35","1,377.20","57,15,334","9,48,15,03,895.75","2,21,015"
"04-Apr-2025","EQ","1,778.85","1,778.85","1,658.05","1,770.00","1,705.00","1,709.35","1,703.68","1,960.35","1,377.20","53,45,276","9,10,66,54,027.50","2,28,975"
"03-Apr-2025","EQ","1,755.00","1,812.70","1,750.00","1,713.65","1,772.00","1,770.00","1,784.75","1,960.35","1,377.20","57,15,573","10,20,08,82,418.55","2,28,089"
"02-Apr-2025","EQ","1,695.00","1,718.45","1,685.90","1,698.35","1,713.95","1,713.65","1,708.74","1,960.35","1,377.20","33,69,489","5,75,75,93,865.60","1,09,070"
"01-Apr-2025","EQ","1,731.00","1,733.95","1,681.60","1,734.70","1,698.30","1,698.35","1,703.36","1,960.35","1,377.20","41,42,445","7,05,60,55,656.00","1,77,054"
"28-Mar-2025","EQ","1,731.45","1,741.35","1,705.20","1,731.45","1,733.95","1,734.70","1,725.59","1,960.35","1,377.20","19,56,781","3,37,66,11,044.05","81,975"
"27-Mar-2025","EQ","1,751.00","1,752.30","1,720.00","1,758.95","1,734.35","1,731.45","1,728.71","1,960.35","1,377.20","32,79,881","5,66,99,74,285.25","1,37,932"
"26-Mar-2025","EQ","1,767.95","1,770.80","1,746.10","1,764.75","1,750.05","1,758.95","1,756.72","1,960.35","1,377.20","17,62,361","3,09,59,78,071.15","94,260"
"25-Mar-2025","EQ","1,784.80","1,795.95","1,758.50","1,784.80","1,761.00","1,764.75","1,770.77","1,960.35","1,377.20","14,71,028","2,60,48,52,598.05","86,803"
