"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","715.00","726.00","713.10","711.00","717.50","717.80","719.66","1,179.00","535.75","99,00,412","7,12,49,12,015.55","1,68,982"
"06-Jun-2025","EQ","710.00","715.90","701.20","710.15","711.60","711.00","709.28","1,179.00","535.75","1,19,75,812","8,49,42,37,171.55","1,79,459"
"05-Jun-2025","EQ","712.80","714.45","704.00","709.15","710.10","710.15","709.00","1,179.00","535.75","1,02,03,331","7,23,41,25,107.05","1,52,774"
"04-Jun-2025","EQ","701.80","715.45","698.40","703.85","710.25","709.15","708.91","1,179.00","535.75","1,12,87,991","8,00,22,10,218.05","2,77,497"
"03-Jun-2025","EQ","715.00","718.35","702.30","711.60","704.30","703.85","708.08","1,179.00","535.75","91,61,608","6,48,71,96,518.30","2,08,760"
"02-Jun-2025","EQ","717.00","719.00","707.40","719.50","711.55","711.60","712.42","1,179.00","535.75","97,12,446","6,91,93,69,538.35","1,78,127"
"30-May-2025","EQ","724.45","728.55","712.50","724.45","718.65","719.50","718.99","1,179.00","535.75","1,45,33,919","10,44,97,31,838.45","1,70,723"
"29-May-2025","EQ","724.50","728.70","720.00","717.95","725.45","724.45","723.93","1,179.00","535.75","88,38,921","6,39,87,30,595.85","1,36,523"
"28-May-2025","EQ","720.00","722.00","716.20","716.45","717.25","717.95","719.01","1,179.00","535.75","75,68,961","5,44,21,27,705.70","1,17,049"
"27-May-2025","EQ","729.00","729.35","715.20","729.00","717.00","716.45","719.68","1,179.00","535.75","1,22,23,125","8,79,67,82,486.15","2,13,762"
"26-May-2025","EQ","722.00","738.00","721.20","718.25","729.20","729.00","731.82","1,179.00","535.75","1,30,17,400","9,52,64,31,160.15","1,74,194"
"23-May-2025","EQ","718.75","721.80","715.00","717.45","718.00","718.25","719.01","1,179.00","535.75","79,15,166","5,69,10,49,306.85","1,14,102"
"22-May-2025","EQ","725.00","725.00","710.65","726.80","718.50","717.45","716.57","1,179.00","535.75","1,00,46,820","7,19,92,24,435.35","1,78,556"
"21-May-2025","EQ","719.00","729.50","718.00","718.90","726.25","726.80","725.35","1,179.00","535.75","89,98,596","6,52,71,26,522.45","1,45,016"
"20-May-2025","EQ","730.00","737.75","717.00","729.50","720.70","718.90","726.33","1,179.00","535.75","1,44,72,506","10,51,18,04,020.40","2,23,690"
"19-May-2025","EQ","732.00","738.10","728.00","730.70","728.70","729.50","733.16","1,179.00","535.75","1,04,60,217","7,66,89,71,582.95","1,89,525"
"16-May-2025","EQ","730.00","742.00","725.55","728.10","731.10","730.70","733.15","1,179.00","535.75","2,06,31,512","15,12,60,18,409.45","3,01,374"
