"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","3,400.00","3,434.00","3,390.90","3,384.20","3,423.00","3,421.90","3,420.68","4,592.25","3,056.05","17,18,678","5,87,90,53,289.40","73,412"
"06-Jun-2025","EQ","3,371.10","3,390.90","3,358.70","3,371.10","3,388.00","3,384.20","3,376.59","4,592.25","3,056.05","20,70,390","6,99,08,55,288.40","94,941"
"05-Jun-2025","EQ","3,409.00","3,409.00","3,363.70","3,380.90","3,374.00","3,371.10","3,380.39","4,592.25","3,056.05","35,84,683","12,11,76,23,680.00","1,29,913"
"04-Jun-2025","EQ","3,389.00","3,394.80","3,370.00","3,405.20","3,381.00","3,380.90","3,382.86","4,592.25","3,056.05","25,44,807","8,60,87,17,239.60","1,85,107"
"03-Jun-2025","EQ","3,446.00","3,473.50","3,400.50","3,449.80","3,411.40","3,405.20","3,418.44","4,592.25","3,056.05","28,48,125","9,73,61,54,029.80","1,95,278"
"02-Jun-2025","EQ","3,450.00","3,460.00","3,418.60","3,463.40","3,445.80","3,449.80","3,441.46","4,592.25","3,056.05","18,77,585","6,46,16,35,240.30","1,05,414"
"30-May-2025","EQ","3,490.00","3,506.70","3,453.10","3,498.10","3,460.00","3,463.40","3,473.80","4,592.25","3,056.05","34,04,365","11,82,60,74,213.60","1,04,081"
"29-May-2025","EQ","3,504.70","3,532.50","3,486.50","3,497.70","3,494.00","3,498.10","3,500.24","4,592.25","3,056.05","31,88,072","11,15,90,21,439.90","1,46,463"
"28-May-2025","EQ","3,520.00","3,529.00","3,493.00","3,498.70","3,500.10","3,497.70","3,501.32","4,592.25","3,056.05","12,22,933","4,28,18,80,586.60","80,594"
"27-May-2025","EQ","3,532.00","3,540.00","3,483.10","3,537.30","3,501.00","3,498.70","3,500.34","4,592.25","3,056.05","24,67,680","8,63,77,18,829.70","1,65,908"
"26-May-2025","EQ","3,521.00","3,545.00","3,510.10","3,514.60","3,538.00","3,537.30","3,536.37","4,592.25","3,056.05","9,67,470","3,42,13,30,419.50","67,043"
"23-May-2025","EQ","3,477.00","3,535.00","3,465.60","3,477.00","3,508.00","3,514.60","3,511.99","4,592.25","3,056.05","12,74,331","4,47,54,40,377.40","71,383"
"22-May-2025","EQ","3,495.00","3,497.80","3,451.30","3,525.80","3,483.40","3,477.00","3,473.54","4,592.25","3,056.05","20,34,383","7,06,65,03,817.80","1,38,574"
"21-May-2025","EQ","3,508.00","3,537.00","3,498.30","3,498.30","3,521.10","3,525.80","3,523.98","4,592.25","3,056.05","14,40,153","5,07,50,75,089.30","72,782"
"20-May-2025","EQ","3,531.80","3,558.00","3,494.00","3,518.80","3,503.00","3,498.30","3,515.81","4,592.25","3,056.05","20,38,374","7,16,65,41,410.90","1,38,343"
"19-May-2025","EQ","3,550.00","3,550.00","3,503.70","3,561.30","3,518.00","3,518.80","3,522.37","4,592.25","3,056.05","25,37,377","8,93,75,85,448.80","1,29,050"
"16-May-2025","EQ","3,593.90","3,593.90","3,546.10","3,579.90","3,561.30","3,561.30","3,559.81","4,592.25","3,056.05","16,66,727","5,93,32,24,873.80","1,17,749"
"15-May-2025","EQ","3,564.00","3,600.00","3,514.10","3,548.70","3,576.50","3,579.90","3,565.55","4,592.25","3,056.05","35,48,330","12,65,17,35,793.00","1,72,937"
"14-May-2025","EQ","3,521.00","3,561.00","3,508.60","3,515.00","3,547.00","3,548.70","3,543.04","4,592.25","3,056.05","21,19,499","7,50,94,59,955.30","1,36,543"
"13-May-2025","EQ","3,620.40","3,623.00","3,510.50","3,620.40","3,518.00","3,515.00","3,541.51","4,592.25","3,056.05","30,62,887","10,84,72,50,162.20","2,21,289"
"12-May-2025","EQ","3,505.00","3,630.50","3,502.20","3,440.30","3,626.50","3,620.40","3,577.93","4,592.25","3,056.05","22,28,678","7,97,40,51,782.10","1,46,104"
"09-May-2025","EQ","3,399.00","3,446.20","3,398.10","3,448.90","3,439.90","3,440.30","3,428.44","4,592.25","3,056.05","25,31,757","8,67,99,86,664.60","1,51,453"
"08-May-2025","EQ","3,448.00","3,477.00","3,428.70","3,445.10","3,434.20","3,448.90","3,451.58","4,592.25","3,056.05","25,43,591","8,77,94,05,820.40","1,16,139"
"07-May-2025","EQ","3,420.60","3,459.50","3,420.60","3,460.00","3,448.00","3,445.10","3,442.07","4,592.25","3,056.05","14,77,128","5,08,43,83,270.50","89,334"
"06-May-2025","EQ","3,460.00","3,473.00","3,437.00","3,454.30","3,451.60","3,460.00","3,458.05","4,592.25","3,056.05","13,24,763","4,58,11,01,196.30","65,526"
"05-May-2025","EQ","3,450.00","3,504.50","3,446.40","3,444.70","3,454.60","3,454.30","3,466.59","4,592.25","3,056.05","12,84,443","4,45,26,37,028.70","96,657"
"02-May-2025","EQ","3,472.00","3,491.50","3,420.00","3,453.70","3,438.00","3,444.70","3,450.76","4,592.25","3,056.05","21,15,624","7,30,05,05,304.30","1,24,212"
"30-Apr-2025","EQ","3,472.00","3,509.90","3,366.00","3,472.50","3,431.80","3,453.70","3,464.02","4,592.25","3,056.05","28,09,332","9,73,15,86,389.30","1,29,048"
"29-Apr-2025","EQ","3,455.00","3,495.00","3,430.40","3,443.50","3,473.00","3,472.50","3,470.18","4,592.25","3,056.05","15,78,332","5,47,70,91,995.80","95,060"
"28-Apr-2025","EQ","3,435.00","3,457.80","3,405.00","3,448.00","3,441.00","3,443.50","3,438.58","4,592.25","3,056.05","15,93,296","5,47,86,82,188.50","94,204"
"25-Apr-2025","EQ","3,420.00","3,477.80","3,405.00","3,401.60","3,434.00","3,448.00","3,442.01","4,592.25","3,056.05","27,42,991","9,44,14,14,787.60","1,51,400"
"24-Apr-2025","EQ","3,401.10","3,412.50","3,387.70","3,413.00","3,406.00","3,401.60","3,398.95","4,592.25","3,056.05","22,52,175","7,65,50,36,870.70","1,58,061"
"23-Apr-2025","EQ","3,365.00","3,420.90","3,337.30","3,314.40","3,405.00","3,413.00","3,398.75","4,592.25","3,056.05","35,43,923","12,04,48,99,557.30","1,64,989"
"22-Apr-2025","EQ","3,322.60","3,333.90","3,295.00","3,321.60","3,312.50","3,314.40","3,315.22","4,592.25","3,056.05","27,10,498","8,98,58,99,446.70","1,51,282"
"21-Apr-2025","EQ","3,290.10","3,354.00","3,284.10","3,298.90","3,319.00","3,321.60","3,325.96","4,592.25","3,056.05","24,32,946","8,09,18,78,392.80","1,27,748"
"17-Apr-2025","EQ","3,245.50","3,303.60","3,218.00","3,273.80","3,297.40","3,298.90","3,262.86","4,592.25","3,056.05","29,32,346","9,56,78,36,127.70","1,83,984"
"16-Apr-2025","EQ","3,248.20","3,278.10","3,229.00","3,248.20","3,274.00","3,273.80","3,260.92","4,592.25","3,056.05","23,84,391","7,77,53,04,840.90","1,31,199"
"15-Apr-2025","EQ","3,314.40","3,314.40","3,238.60","3,231.50","3,255.00","3,248.20","3,257.87","4,592.25","3,056.05","35,12,160","11,44,21,74,035.70","1,66,106"
"11-Apr-2025","EQ","3,289.55","3,298.95","3,206.00","3,246.60","3,238.00","3,231.50","3,243.04","4,592.25","3,056.05","71,08,961","23,05,46,18,625.45","3,54,463"
"09-Apr-2025","EQ","3,260.55","3,270.00","3,212.05","3,292.95","3,239.00","3,246.60","3,248.58","4,592.25","3,056.05","29,90,265","9,71,41,05,049.50","1,84,251"
"08-Apr-2025","EQ","3,302.05","3,349.00","3,255.30","3,274.05","3,292.80","3,292.95","3,296.22","4,592.25","3,056.05","55,57,558","18,31,89,27,917.45","2,36,248"
"07-Apr-2025","EQ","3,100.00","3,291.40","3,056.05","3,299.40","3,285.00","3,274.05","3,167.51","4,592.25","3,056.05","66,23,955","20,98,14,63,559.10","3,86,019"
"04-Apr-2025","EQ","3,362.60","3,399.65","3,295.50","3,403.15","3,304.85","3,299.40","3,318.10","4,592.25","3,295.50","53,17,367","17,64,35,41,008.05","2,16,133"
"03-Apr-2025","EQ","3,491.00","3,502.00","3,396.15","3,543.95","3,403.30","3,403.15","3,422.75","4,592.25","3,396.15","45,37,821","15,53,18,09,156.15","2,48,807"
"02-Apr-2025","EQ","3,544.00","3,564.10","3,530.05","3,550.80","3,545.00","3,543.95","3,547.15","4,592.25","3,457.00","17,64,313","6,25,82,90,323.80","80,651"
"01-Apr-2025","EQ","3,572.70","3,584.00","3,525.00","3,606.15","3,556.45","3,550.80","3,548.01","4,592.25","3,457.00","26,18,493","9,29,04,45,221.40","1,67,344"
"28-Mar-2025","EQ","3,651.00","3,660.95","3,591.90","3,651.20","3,604.00","3,606.15","3,613.75","4,592.25","3,457.00","20,51,919","7,41,51,24,946.40","1,29,740"
"27-Mar-2025","EQ","3,614.85","3,663.00","3,610.50","3,635.80","3,645.00","3,651.20","3,649.02","4,592.25","3,457.00","25,28,474","9,22,64,48,354.45","1,25,080"
"26-Mar-2025","EQ","3,647.75","3,680.50","3,625.85","3,657.75","3,630.55","3,635.80","3,656.16","4,592.25","3,457.00","17,34,499","6,34,15,97,992.40","1,41,204"
"25-Mar-2025","EQ","3,645.00","3,710.00","3,638.00","3,628.95","3,641.00","3,657.75","3,673.54","4,592.25","3,457.00","31,35,390","11,51,79,85,340.80","1,81,313"
"24-Mar-2025","EQ","3,600.00","3,649.75","3,566.60","3,578.10","3,633.00","3,628.95","3,615.19","4,592.25","3,457.00","18,34,751","6,63,29,70,557.70","1,07,825"
"21-Mar-2025","EQ","3,475.00","3,616.25","3,465.00","3,563.15","3,578.00","3,578.10","3,561.68","4,592.25","3,457.00","41,61,925","14,82,34,64,307.85","1,88,951"
"20-Mar-2025","EQ","3,512.00","3,578.95","3,512.00","3,497.10","3,556.50","3,563.15","3,559.81","4,592.25","3,457.00","28,45,192","10,12,83,43,015.65","1,56,792"
"19-Mar-2025","EQ","3,547.00","3,547.00","3,462.75","3,552.45","3,505.00","3,497.10","3,484.81","4,592.25","3,457.00","30,51,244","10,63,29,94,898.70","1,81,144"
"18-Mar-2025","EQ","3,502.35","3,556.95","3,478.45","3,497.70","3,545.65","3,552.45","3,530.44","4,592.25","3,457.00","30,69,109","10,83,52,99,304.90","1,39,204"
"17-Mar-2025","EQ","3,489.00","3,530.45","3,477.35","3,511.05","3,499.90","3,497.70","3,496.62","4,592.25","3,457.00","26,90,906","9,40,90,68,295.75","1,71,510"
"13-Mar-2025","EQ","3,502.30","3,524.30","3,484.10","3,506.20","3,509.05","3,511.05","3,504.71","4,592.25","3,457.00","16,93,004","5,93,34,91,139.45","98,963"
"12-Mar-2025","EQ","3,565.00","3,569.25","3,486.85","3,575.30","3,507.80","3,506.20","3,504.81","4,592.25","3,457.00","31,74,167","11,12,48,52,701.55","1,75,588"
"11-Mar-2025","EQ","3,558.00","3,588.75","3,537.65","3,589.65","3,585.00","3,575.30","3,567.93","4,592.25","3,457.00","19,95,450","7,11,96,17,263.55","1,42,820"
"10-Mar-2025","EQ","3,606.50","3,622.10","3,582.60","3,611.20","3,589.00","3,589.65","3,602.11","4,592.25","3,457.00","10,04,626","3,61,87,76,661.30","75,981"
"07-Mar-2025","EQ","3,600.00","3,625.00","3,574.40","3,601.60","3,602.00","3,611.20","3,605.34","4,592.25","3,457.00","20,51,315","7,39,56,90,221.35","1,31,372"
"06-Mar-2025","EQ","3,557.00","3,609.45","3,536.10","3,547.05","3,592.10","3,601.60","3,571.61","4,592.25","3,457.00","27,86,513","9,95,23,39,476.20","2,01,910"
"05-Mar-2025","EQ","3,520.85","3,600.35","3,520.85","3,532.05","3,557.00","3,547.05","3,561.68","4,592.25","3,457.00","25,01,894","8,91,09,37,236.55","1,45,336"
"04-Mar-2025","EQ","3,474.00","3,551.00","3,464.30","3,493.05","3,533.00","3,532.05","3,518.16","4,592.25","3,457.00","27,97,737","9,84,28,80,030.30","1,57,084"
"03-Mar-2025","EQ","3,485.00","3,523.25","3,476.15","3,483.25","3,506.00","3,493.05","3,497.97","4,592.25","3,457.00","49,90,439","17,45,63,99,246.20","2,48,034"
"28-Feb-2025","EQ","3,584.95","3,600.00","3,457.00","3,612.55","3,478.00","3,483.25","3,491.80","4,592.25","3,457.00","70,85,018","24,73,94,64,379.85","3,40,110"
"27-Feb-2025","EQ","3,611.70","3,638.00","3,600.70","3,629.55","3,608.05","3,612.55","3,613.50","4,592.25","3,591.50","38,23,856","13,81,74,96,735.80","2,12,465"
"25-Feb-2025","EQ","3,625.00","3,658.00","3,621.25","3,675.60","3,627.00","3,629.55","3,638.67","4,592.25","3,591.50","41,01,954","14,92,56,47,967.55","1,98,489"
"24-Feb-2025","EQ","3,743.15","3,763.20","3,670.00","3,786.00","3,671.00","3,675.60","3,701.20","4,592.25","3,591.50","25,08,516","9,28,45,23,845.20","1,72,279"
"21-Feb-2025","EQ","3,776.10","3,817.00","3,775.00","3,779.40","3,789.90","3,786.00","3,792.04","4,592.25","3,591.50","18,33,931","6,95,43,38,537.80","1,25,392"
"20-Feb-2025","EQ","3,761.50","3,788.00","3,751.30","3,784.10","3,788.00","3,779.40","3,772.99","4,592.25","3,591.50","28,88,572","10,89,85,64,437.85","1,84,053"
"19-Feb-2025","EQ","3,872.20","3,874.95","3,768.15","3,873.20","3,785.00","3,784.10","3,796.48","4,592.25","3,591.50","43,66,672","16,57,80,04,180.70","2,29,923"
"18-Feb-2025","EQ","3,898.40","3,924.40","3,864.50","3,904.50","3,873.00","3,873.20","3,891.66","4,592.25","3,591.50","21,49,879","8,36,65,96,747.55","1,35,773"
"17-Feb-2025","EQ","3,856.50","3,934.00","3,856.20","3,934.85","3,908.00","3,904.50","3,911.78","4,592.25","3,591.50","17,99,806","7,04,04,39,519.80","1,68,626"
"14-Feb-2025","EQ","3,925.00","3,948.00","3,900.00","3,910.15","3,928.00","3,934.85","3,921.57","4,592.25","3,591.50","16,81,975","6,59,59,86,554.05","1,63,805"
"13-Feb-2025","EQ","3,968.00","3,984.45","3,902.25","3,950.15","3,920.00","3,910.15","3,930.80","4,592.25","3,591.50","22,77,310","8,95,16,39,767.60","1,63,030"
"12-Feb-2025","EQ","3,971.10","4,021.75","3,940.15","3,963.55","3,956.25","3,950.15","3,978.32","4,592.25","3,591.50","16,78,002","6,67,56,28,781.95","1,28,576"
"11-Feb-2025","EQ","4,018.40","4,040.00","3,955.00","4,036.95","3,967.00","3,963.55","3,989.58","4,592.25","3,591.50","18,10,908","7,22,47,58,107.05","1,21,478"
"10-Feb-2025","EQ","4,040.00","4,052.00","4,014.35","4,029.40","4,034.00","4,036.95","4,035.26","4,592.25","3,591.50","13,39,511","5,40,52,79,190.45","1,33,697"
"07-Feb-2025","EQ","4,090.00","4,090.00","4,008.00","4,082.75","4,032.00","4,029.40","4,033.06","4,592.25","3,591.50","15,48,940","6,24,69,65,406.40","1,77,110"
"06-Feb-2025","EQ","4,105.40","4,139.50","4,051.55","4,091.10","4,087.00","4,082.75","4,080.65","4,592.25","3,591.50","22,84,536","9,32,23,89,842.50","1,83,903"
"05-Feb-2025","EQ","4,150.00","4,150.00","4,076.00","4,107.05","4,086.00","4,091.10","4,096.29","4,592.25","3,591.50","16,93,912","6,93,87,52,665.75","1,30,235"
"04-Feb-2025","EQ","4,083.70","4,118.85","4,066.05","4,068.65","4,105.15","4,107.05","4,098.00","4,592.25","3,591.50","25,47,132","10,43,81,41,551.80","1,41,942"
"03-Feb-2025","EQ","4,030.90","4,077.00","3,998.70","4,073.15","4,064.00","4,068.65","4,045.97","4,592.25","3,591.50","12,65,713","5,12,10,41,211.00","1,55,134"
"01-Feb-2025","EQ","4,113.00","4,135.90","4,056.00","4,112.40","4,073.00","4,073.15","4,082.48","4,592.25","3,591.50","4,37,172","1,78,47,47,121.10","49,186"
"31-Jan-2025","EQ","4,110.00","4,128.45","4,085.25","4,100.05","4,114.15","4,112.40","4,106.05","4,592.25","3,591.50","14,92,943","6,13,01,03,902.20","1,21,858"
