"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","1,575.00","1,591.50","1,571.10","1,571.10","1,578.10","1,579.10","1,582.51","1,807.70","1,209.40","5,98,108","94,65,13,477.90","42,435"
"06-Jun-2025","EQ","1,564.80","1,573.50","1,555.40","1,562.80","1,573.50","1,571.10","1,568.50","1,807.70","1,193.65","8,28,051","1,29,87,97,814.10","43,231"
"05-Jun-2025","EQ","1,560.00","1,570.30","1,547.00","1,556.70","1,562.00","1,562.80","1,560.37","1,807.70","1,193.65","15,29,586","2,38,67,27,728.90","80,709"
"04-Jun-2025","EQ","1,544.80","1,566.60","1,544.00","1,543.80","1,561.80","1,556.70","1,558.22","1,807.70","1,193.65","14,39,090","2,24,24,21,293.00","82,156"
"03-Jun-2025","EQ","1,555.90","1,564.90","1,533.90","1,549.10","1,544.80","1,543.80","1,544.34","1,807.70","1,193.65","23,16,285","3,57,71,24,892.00","1,05,490"
"02-Jun-2025","EQ","1,565.00","1,569.00","1,542.10","1,573.90","1,551.00","1,549.10","1,550.04","1,807.70","1,193.65","21,20,693","3,28,71,62,315.90","87,183"
"30-May-2025","EQ","1,595.00","1,595.00","1,568.00","1,600.00","1,573.00","1,573.90","1,575.77","1,807.70","1,193.65","27,80,942","4,38,21,11,446.50","72,085"
"29-May-2025","EQ","1,592.10","1,604.90","1,584.50","1,580.30","1,602.00","1,600.00","1,595.68","1,807.70","1,193.65","17,99,251","2,87,10,19,840.20","82,261"
"28-May-2025","EQ","1,600.80","1,602.00","1,578.10","1,592.40","1,578.10","1,580.30","1,586.56","1,807.70","1,193.65","8,20,958","1,30,24,97,757.60","47,698"
"27-May-2025","EQ","1,601.40","1,604.30","1,578.50","1,601.40","1,594.80","1,592.40","1,591.23","1,807.70","1,193.65","13,94,001","2,21,81,78,651.30","75,095"
"26-May-2025","EQ","1,583.00","1,604.40","1,583.00","1,580.30","1,602.00","1,601.40","1,597.62","1,807.70","1,193.65","7,11,029","1,13,59,53,963.70","44,437"
"23-May-2025","EQ","1,575.00","1,604.00","1,567.80","1,565.60","1,581.20","1,580.30","1,590.26","1,807.70","1,193.65","11,59,290","1,84,35,75,635.80","50,439"
"22-May-2025","EQ","1,589.70","1,589.70","1,558.00","1,598.20","1,572.00","1,565.60","1,566.98","1,807.70","1,193.65","17,89,310","2,80,38,09,199.50","76,394"
"21-May-2025","EQ","1,577.00","1,603.00","1,569.40","1,576.00","1,596.10","1,598.20","1,594.60","1,807.70","1,193.65","9,30,031","1,48,30,28,369.30","66,473"
"20-May-2025","EQ","1,612.00","1,619.50","1,573.30","1,597.80","1,579.00","1,576.00","1,583.92","1,807.70","1,193.65","18,69,716","2,96,14,75,052.10","82,545"
"19-May-2025","EQ","1,617.00","1,626.20","1,593.10","1,617.00","1,597.50","1,597.80","1,603.50","1,807.70","1,193.65","6,81,874","1,09,33,84,302.10","51,000"
"16-May-2025","EQ","1,635.00","1,635.90","1,601.30","1,629.10","1,616.80","1,617.00","1,613.88","1,807.70","1,193.65","11,59,095","1,87,06,44,782.50","86,977"
"15-May-2025","EQ","1,606.00","1,636.40","1,600.20","1,603.20","1,628.00","1,629.10","1,622.99","1,807.70","1,193.65","29,72,408","4,82,41,77,517.90","1,78,333"
"14-May-2025","EQ","1,584.00","1,609.40","1,578.10","1,572.50","1,607.40","1,603.20","1,596.82","1,807.70","1,193.65","23,54,571","3,75,98,15,795.30","1,04,121"
"13-May-2025","EQ","1,600.30","1,600.90","1,565.10","1,573.10","1,573.20","1,572.50","1,578.18","1,807.70","1,193.65","37,24,272","5,87,75,73,194.60","1,69,200"
"12-May-2025","EQ","1,522.00","1,576.50","1,517.40","1,493.70","1,573.80","1,573.10","1,553.23","1,807.70","1,193.65","18,91,418","2,93,78,14,204.60","67,324"
"09-May-2025","EQ","1,480.00","1,501.30","1,478.10","1,502.80","1,495.60","1,493.70","1,492.92","1,807.70","1,193.65","9,23,174","1,37,82,20,605.70","65,628"
