"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","3,564.80","3,580.00","3,521.20","3,559.90","3,533.90","3,533.90","3,542.12","3,867.00","2,925.00","5,40,262","1,91,36,74,011.20","56,193"
"06-Jun-2025","EQ","3,524.00","3,570.90","3,486.20","3,504.00","3,561.90","3,559.90","3,541.14","3,867.00","2,925.00","6,02,422","2,13,32,63,196.40","44,834"
"05-Jun-2025","EQ","3,498.70","3,535.00","3,474.20","3,499.80","3,502.40","3,504.00","3,504.79","3,867.00","2,925.00","6,08,651","2,13,31,96,612.40","56,202"
"04-Jun-2025","EQ","3,506.10","3,519.80","3,486.00","3,519.80","3,498.70","3,499.80","3,501.24","3,867.00","2,925.00","4,10,354","1,43,67,47,340.50","38,244"
"03-Jun-2025","EQ","3,525.50","3,580.00","3,503.50","3,525.50","3,521.00","3,519.80","3,524.65","3,867.00","2,925.00","6,76,943","2,38,59,84,927.60","65,935"
"02-Jun-2025","EQ","3,525.10","3,542.00","3,475.90","3,555.00","3,534.90","3,525.50","3,512.05","3,867.00","2,925.00","7,26,392","2,55,11,24,749.70","53,984"
"30-May-2025","EQ","3,580.00","3,605.00","3,542.10","3,588.30","3,550.00","3,555.00","3,564.53","3,867.00","2,925.00","9,62,944","3,43,24,46,825.50","49,315"
"29-May-2025","EQ","3,580.00","3,600.00","3,560.10","3,574.70","3,600.00","3,588.30","3,582.16","3,867.00","2,925.00","5,13,095","1,83,79,89,558.50","40,146"
"28-May-2025","EQ","3,595.00","3,601.60","3,545.00","3,589.40","3,572.00","3,574.70","3,571.58","3,867.00","2,925.00","4,49,324","1,60,47,97,879.40","36,449"
"27-May-2025","EQ","3,615.00","3,639.00","3,562.20","3,610.30","3,589.60","3,589.40","3,588.33","3,867.00","2,925.00","10,19,733","3,65,91,37,821.50","1,13,185"
"26-May-2025","EQ","3,576.00","3,640.00","3,570.40","3,579.70","3,614.40","3,610.30","3,610.92","3,867.00","2,925.00","5,25,514","1,89,75,87,778.80","58,759"
"23-May-2025","EQ","3,531.00","3,606.30","3,523.00","3,541.00","3,579.00","3,579.70","3,576.65","3,867.00","2,925.00","4,16,717","1,49,04,48,831.00","40,811"
"22-May-2025","EQ","3,565.00","3,575.00","3,516.10","3,580.50","3,550.80","3,541.00","3,540.38","3,867.00","2,925.00","7,09,846","2,51,31,21,336.50","57,639"
"21-May-2025","EQ","3,570.00","3,623.10","3,567.30","3,580.60","3,584.00","3,580.50","3,588.62","3,867.00","2,925.00","4,15,016","1,48,93,35,907.20","35,704"
"20-May-2025","EQ","3,617.70","3,620.00","3,575.10","3,617.70","3,579.40","3,580.60","3,593.71","3,867.00","2,925.00","8,11,416","2,91,59,91,036.40","63,401"
"19-May-2025","EQ","3,617.00","3,649.50","3,611.40","3,633.70","3,612.00","3,617.70","3,627.37","3,867.00","2,925.00","3,76,760","1,36,66,48,570.10","50,988"
"16-May-2025","EQ","3,654.00","3,655.90","3,613.40","3,636.80","3,633.20","3,633.70","3,630.78","3,867.00","2,925.00","5,25,064","1,90,63,89,308.60","40,579"
"15-May-2025","EQ","3,597.00","3,665.00","3,553.90","3,587.60","3,628.80","3,636.80","3,619.48","3,867.00","2,925.00","12,27,751","4,44,38,14,864.60","98,154"
"14-May-2025","EQ","3,555.00","3,610.00","3,550.00","3,563.20","3,585.20","3,587.60","3,586.87","3,867.00","2,925.00","5,88,159","2,10,96,52,660.90","49,709"
"13-May-2025","EQ","3,562.90","3,588.40","3,540.10","3,562.90","3,556.00","3,563.20","3,561.60","3,867.00","2,925.00","9,96,541","3,54,92,80,743.30","91,133"
"12-May-2025","EQ","3,537.20","3,585.00","3,530.30","3,510.30","3,567.00","3,562.90","3,561.90","3,867.00","2,925.00","9,56,930","3,40,84,90,656.70","79,243"
"09-May-2025","EQ","3,367.00","3,530.00","3,354.20","3,369.30","3,509.90","3,510.30","3,496.81","3,867.00","2,925.00","28,63,992","10,01,48,33,930.60","2,04,685"
"08-May-2025","EQ","3,349.90","3,412.50","3,325.00","3,338.90","3,345.00","3,369.30","3,373.34","3,867.00","2,925.00","15,97,339","5,38,83,67,799.20","1,11,344"
"07-May-2025","EQ","3,280.00","3,381.00","3,260.20","3,299.30","3,338.00","3,338.90","3,332.39","3,867.00","2,925.00","10,47,443","3,49,04,92,196.10","69,814"
"06-May-2025","EQ","3,321.80","3,325.30","3,245.50","3,321.80","3,291.00","3,299.30","3,281.15","3,867.00","2,925.00","6,50,789","2,13,53,39,392.10","63,207"
"05-May-2025","EQ","3,357.70","3,408.50","3,307.00","3,341.00","3,315.00","3,321.80","3,350.37","3,867.00","2,925.00","5,65,178","1,89,35,54,061.90","51,968"
"02-May-2025","EQ","3,362.10","3,381.50","3,324.00","3,379.70","3,330.00","3,341.00","3,350.10","3,867.00","2,925.00","6,68,467","2,23,94,31,081.30","80,561"
