"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","11,260.00","11,318.00","11,166.00","11,253.00","11,266.00","11,260.00","11,229.46","12,339.00","10,047.85","2,09,231","2,34,95,51,120.00","27,354"
"06-Jun-2025","EQ","11,180.00","11,311.00","11,120.00","11,159.00","11,235.00","11,253.00","11,220.34","12,339.00","9,534.95","1,43,723","1,61,26,20,616.00","22,734"
"05-Jun-2025","EQ","11,038.00","11,180.00","11,003.00","11,033.00","11,180.00","11,159.00","11,133.68","12,339.00","9,534.95","1,91,183","2,12,85,71,174.00","26,613"
"04-Jun-2025","EQ","11,040.00","11,055.00","10,920.00","11,035.00","11,038.00","11,033.00","11,000.42","12,339.00","9,534.95","3,45,047","3,79,56,63,327.00","38,589"
"03-Jun-2025","EQ","11,280.00","11,292.00","11,000.00","11,195.00","11,013.00","11,035.00","11,071.41","12,339.00","9,534.95","3,49,615","3,87,07,31,311.00","79,530"
"02-Jun-2025","EQ","11,180.00","11,219.00","11,019.00","11,210.00","11,165.00","11,195.00","11,110.78","12,339.00","9,534.95","3,14,936","3,49,91,85,381.00","52,589"
"30-May-2025","EQ","11,265.00","11,310.00","11,170.00","11,269.00","11,176.00","11,210.00","11,219.24","12,339.00","9,534.95","3,94,181","4,42,24,12,024.00","40,072"
"29-May-2025","EQ","11,249.00","11,337.00","11,151.00","11,238.00","11,265.00","11,269.00","11,264.41","12,339.00","9,534.95","3,50,206","3,94,48,63,912.00","70,921"
"28-May-2025","EQ","11,455.00","11,470.00","11,200.00","11,421.00","11,213.00","11,238.00","11,313.40","12,339.00","9,534.95","2,01,200","2,27,62,55,744.00","41,163"
"27-May-2025","EQ","11,676.00","11,722.00","11,375.00","11,689.00","11,422.00","11,421.00","11,439.21","12,339.00","9,534.95","4,78,345","5,47,18,90,893.00","86,461"
"26-May-2025","EQ","11,800.00","11,884.00","11,645.00","11,746.00","11,676.00","11,689.00","11,697.03","12,339.00","9,534.95","1,98,003","2,31,60,46,197.00","36,816"
"23-May-2025","EQ","11,727.00","11,875.00","11,661.00","11,680.00","11,738.00","11,746.00","11,783.72","12,339.00","9,534.95","1,81,463","2,13,83,09,627.00","30,000"
"22-May-2025","EQ","11,666.00","11,700.00","11,517.00","11,666.00","11,677.00","11,680.00","11,635.44","12,339.00","9,534.95","1,75,370","2,04,05,07,209.00","41,391"
"21-May-2025","EQ","11,697.00","11,910.00","11,634.00","11,697.00","11,660.00","11,666.00","11,727.94","12,339.00","9,534.95","1,73,017","2,02,91,32,823.00","31,695"
"20-May-2025","EQ","11,969.00","11,980.00","11,669.00","11,929.00","11,696.00","11,697.00","11,780.76","12,339.00","9,534.95","1,58,934","1,87,23,63,250.00","38,666"
"19-May-2025","EQ","11,904.00","11,991.00","11,880.00","11,905.00","11,919.00","11,929.00","11,939.76","12,339.00","9,534.95","1,28,237","1,53,11,19,028.00","30,035"
"16-May-2025","EQ","11,950.00","11,990.00","11,857.00","11,894.00","11,915.00","11,905.00","11,917.28","12,339.00","9,427.10","2,09,706","2,49,91,24,960.00","58,092"
"15-May-2025","EQ","11,672.00","11,932.00","11,643.00","11,672.00","11,898.00","11,894.00","11,810.51","12,339.00","9,427.10","3,71,371","4,38,60,81,964.00","85,017"
"14-May-2025","EQ","11,676.00","11,741.00","11,624.00","11,661.00","11,692.00","11,672.00","11,679.31","12,339.00","9,427.10","1,79,337","2,09,45,32,337.00","37,721"
"13-May-2025","EQ","11,700.00","11,748.00","11,566.00","11,736.00","11,675.00","11,661.00","11,660.55","12,339.00","9,427.10","3,07,678","3,58,76,95,343.00","73,888"
"12-May-2025","EQ","11,590.00","11,767.00","11,565.00","11,364.00","11,745.00","11,736.00","11,662.23","12,339.00","9,427.10","1,82,795","2,13,17,96,695.00","42,975"
