"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jun-2025","EQ","249.60","253.40","249.22","248.59","251.72","251.29","250.95","596.00","228.00","91,93,904","2,30,71,85,889.04","1,01,064"
"06-Jun-2025","EQ","247.10","249.98","247.10","247.94","248.50","248.59","248.50","596.00","228.00","44,45,411","1,10,46,78,645.34","65,205"
"05-Jun-2025","EQ","246.90","249.49","246.88","246.86","248.20","247.94","247.93","596.00","228.00","64,68,060","1,60,36,34,635.44","68,321"
"04-Jun-2025","EQ","246.51","249.81","246.51","246.22","247.05","246.86","247.41","596.00","228.00","66,98,150","1,65,72,03,859.15","94,039"
"03-Jun-2025","EQ","248.00","249.50","245.73","247.68","246.47","246.22","246.59","596.00","228.00","85,73,438","2,11,41,03,012.25","1,32,360"
"02-Jun-2025","EQ","247.60","248.42","246.20","249.67","247.58","247.68","247.48","596.00","228.00","58,46,259","1,44,68,51,228.58","90,742"
"30-May-2025","EQ","250.00","251.11","248.52","250.14","249.60","249.67","249.74","596.00","228.00","1,38,58,429","3,46,09,47,506.02","79,659"
"29-May-2025","EQ","249.65","251.74","248.10","247.43","250.52","250.14","249.97","596.00","228.00","1,17,85,042","2,94,59,32,209.83","1,13,827"
"28-May-2025","EQ","249.59","250.14","246.96","248.25","247.50","247.43","247.90","596.00","228.00","62,05,160","1,53,82,80,827.26","57,452"
"27-May-2025","EQ","250.99","250.99","247.99","250.24","248.35","248.25","248.75","596.00","228.00","68,61,143","1,70,66,97,927.30","69,257"
"26-May-2025","EQ","248.49","250.85","248.20","247.36","250.25","250.24","249.71","596.00","228.00","36,90,751","92,16,05,957.89","47,579"
"23-May-2025","EQ","246.10","250.49","245.60","245.94","247.80","247.36","248.47","596.00","228.00","74,37,642","1,84,80,63,525.68","62,388"
"22-May-2025","EQ","249.00","249.89","245.00","250.92","246.05","245.94","246.57","596.00","228.00","1,14,69,037","2,82,79,46,396.28","1,34,939"
"21-May-2025","EQ","249.71","252.11","248.10","249.71","250.78","250.92","250.77","596.00","228.00","53,13,593","1,33,25,05,542.00","84,857"
"20-May-2025","EQ","253.00","254.60","249.31","251.75","250.20","249.71","251.24","596.00","228.00","93,66,429","2,35,32,17,770.36","74,602"
"19-May-2025","EQ","254.31","254.74","251.28","254.31","251.55","251.75","252.64","596.00","228.00","67,88,784","1,71,51,00,637.07","84,813"
"16-May-2025","EQ","257.00","257.00","253.53","256.57","254.45","254.31","254.65","596.00","228.00","66,40,387","1,69,10,07,320.80","66,512"
"15-May-2025","EQ","253.20","257.10","250.62","252.94","256.10","256.57","254.19","596.00","228.00","1,20,83,645","3,07,15,69,687.64","1,17,124"
"14-May-2025","EQ","251.57","253.69","250.75","251.57","253.20","252.94","252.34","596.00","228.00","88,39,105","2,23,05,00,015.74","88,004"
"13-May-2025","EQ","256.95","256.95","250.62","257.28","251.80","251.57","252.86","596.00","228.00","1,17,14,159","2,96,20,85,356.65","1,00,429"
"12-May-2025","EQ","245.09","257.94","244.88","242.01","256.50","257.28","252.78","596.00","228.00","1,97,91,711","5,00,29,86,476.09","1,36,844"
"09-May-2025","EQ","236.60","242.95","236.50","241.57","241.71","242.01","240.70","596.00","228.00","1,05,82,438","2,54,72,26,086.27","97,358"
"08-May-2025","EQ","243.11","245.83","239.31","244.04","240.50","241.57","242.35","596.00","228.00","1,14,34,833","2,77,11,77,904.14","1,08,236"
"07-May-2025","EQ","236.01","244.45","236.01","241.19","244.00","244.04","242.30","596.00","228.00","91,30,056","2,21,22,55,938.67","88,615"
"06-May-2025","EQ","244.50","245.90","240.61","243.57","240.70","241.19","243.01","596.00","228.00","88,69,045","2,15,52,33,525.77","70,760"
